,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,F,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,T,TRV,UNH,UTX,V,VZ,WMT,XOM
1998-01-02,0.5084,19.6514,31.2332,13.9442,7.6505,18.6129,30.6589,25.7629,,12.9378,,13.3302,35.7909,11.7977,19.4223,19.4755,19.6666,14.3351,24.5506,25.2023,10.6408,3.8123,12.9295,23.548000000000002,12.6188,23.3688,5.3742,12.0062,,15.9913,13.6772,17.623
1998-01-05,0.4968,19.6935,31.0735,14.1405,7.6347,18.0755,30.4721,25.5509,,13.1669,,13.1457,36.0688,12.1015,19.4044,19.7959,19.5197,14.2959,24.5153,25.3662,10.5799,4.074,13.6333,24.0193,12.2602,23.6536,5.3666,11.9947,,15.5077,13.8057,17.4265
1998-01-06,0.5925,19.2902,30.5942,14.0324,7.5359,17.6123,29.7757,25.4552,,12.992,,13.23,35.6656,11.879000000000001,19.1058,18.8716,19.4286,14.3351,24.5888,25.0149,10.6408,4.0683,13.196,23.9465,12.208,23.2805,5.3947,11.8617,,15.8805,13.8925,16.8028
1998-01-07,0.5475,19.1108,30.754,13.7848,7.3132,18.2403,28.9884,25.5051,,13.1022,,13.3735,35.3267,11.8172,19.2939,19.0811,19.4463,14.2207,24.7888,24.6167,10.5134,4.0331,13.3463,23.6934,12.3575,23.1923,5.4412,11.8207,,15.6976,13.8508,17.3382
1998-01-08,0.569,18.723,29.6358,13.3209,7.3962,17.5526,28.7663,25.2954,,12.9815,,13.3166,35.3064,12.0706,19.5178,18.3434,19.5755,13.9588,24.4947,24.8744,10.5897,4.015,13.2609,23.4199,12.2406,22.6939,5.4618,11.7189,,15.4759,13.6529,16.9623
1998-01-09,0.569,18.1691,28.837,12.9311,7.1485,16.9866,27.4441,24.8578,,12.6651,,12.8472,33.9069,11.6759,19.2939,17.935,18.840999999999998,13.6579,24.2948,24.1014,10.3057,3.759,12.6306,22.9486,12.1237,21.5548,5.3536,11.2461,,15.3535,13.2639,16.555
1998-01-12,0.5709,18.1137,28.9968,13.2156,7.3382,17.5072,27.5703,24.4538,,13.0147,,13.2459,33.9272,12.2851,19.685,18.067,19.4081,13.9588,24.3477,24.8744,10.5085,3.8009,13.0576,23.9465,12.305,22.0873,5.2584,11.4414,,15.6302,13.7189,16.7316
1998-01-13,0.61,18.3486,28.7923,13.1075,7.3791,17.8224,27.4744,24.5988,,13.0585,,13.4738,34.6049,12.4978,19.8163,18.2448,19.2083,14.1846,24.7358,24.8978,10.722000000000001,3.8960000000000004,13.2062,23.6032,12.4202,22.2838,5.1914,11.6467,,15.8413,13.7189,17.1047
1998-01-14,0.6178,18.4749,29.5527,13.1986,7.5108,18.0302,28.0093,24.9872,,13.0025,,13.6014,34.7744,12.2542,19.8522,18.3769,18.9879,14.1635,24.7153,25.741,10.6408,3.9198,13.2916,23.4374,12.4744,22.1955,5.2865,11.8831,,15.8413,13.7848,17.3183
1998-01-15,0.6003,18.0317,28.1981,13.0193,7.5688,18.1639,27.4088,24.7775,,12.7088,,13.5148,35.0522,12.2331,19.6103,18.1779,18.7294,14.0883,24.2566,25.4599,10.7366,3.9379,12.95,23.256999999999998,12.5269,22.2126,5.0832,11.6368,,15.7863,13.8717,16.9452
1998-01-16,0.5884,18.1691,27.7572,12.9649,7.6268,18.3287,27.8529,24.8914,,12.8277,,13.5148,35.5809,12.1519,20.2253,18.574,19.0966,14.314,24.6388,25.7176,10.9751,3.9198,13.1533,23.0737,12.5794,22.2496,5.2043,11.6975,,15.8076,13.9377,17.3183
1998-01-20,0.5963,18.2666,27.7955,12.8762,7.8402,18.6129,28.514,25.733,,13.2106,,13.8429,36.7228,12.3858,20.691,18.8716,19.3728,14.4464,24.6388,27.0526,11.1829,3.9674,13.8041,23.4927,12.8014,24.2431,5.1849,11.7189,,16.0736,14.5003,17.3382
1998-01-21,0.5916,18.0871,28.115,13.4142,7.8244,18.3884,28.3878,25.6035,,13.2106,,13.8293,33.9272,12.4572,20.3388,18.5089,19.2435,14.2598,24.3813,26.7013,11.1171,3.9617,13.4949,23.639,12.7166,24.0808,5.1849,11.7599,,15.9974,14.1322,17.3895
1998-01-22,0.6022,17.7392,28.9137,13.0365,7.6096,18.0158,28.2314,24.9872,,13.1459,,13.5581,33.673,12.4264,20.076,18.354,19.2259,14.4103,23.8989,26.3734,11.2494,3.8304,13.4317,23.3122,13.0352,24.7044,5.1914,12.2525,,16.141,13.8925,16.9623
1998-01-23,0.61,17.5177,28.3131,13.0193,7.6017,17.672,28.2617,25.5388,,12.9483,,13.6447,33.611999999999995,12.5385,19.9656,18.1779,18.747,14.1635,24.1386,26.4437,11.2186,3.8189,13.3343,22.8744,12.8132,25.0262,5.1167,12.2623,,16.141,13.7189,16.8199
1998-01-26,0.6081,17.5886,28.3961,13.0565,7.4621,18.0445,29.2104,25.2151,,13.0585,,13.4009,33.2495,12.6197,20.0581,17.9807,18.5267,14.1454,24.2689,26.7013,11.5026,3.8189,13.2814,22.9094,12.8657,24.8639,5.0627,12.8566,,16.0967,13.4375,17.1588
1998-01-27,0.5981,18.5014,28.754,13.2711,7.8073,18.2547,28.2617,26.6185,,13.3312,,13.7427,32.7005,12.8633,20.1328,18.53,18.5825,14.2387,23.8427,26.8184,11.7817,3.8542,13.442,23.604,13.1826,24.6873,5.1914,12.9601,,16.250999999999998,13.6529,17.1958
1998-01-28,0.6003,18.3774,30.0703,13.7718,8.1539,18.1806,29.2104,27.1882,,13.3312,,13.7996,32.8699,13.1427,19.9656,18.6621,18.840999999999998,14.3351,25.0088,27.5445,12.0909,3.8837,13.6333,23.1283,13.0453,24.7585,5.2725,13.3492,,16.2741,14.1113,16.8569
1998-01-29,0.5787,18.5568,30.3514,13.8777,8.4003,18.3741,29.2104,27.5248,,13.4833,,13.7996,33.2732,13.3247,19.9656,18.8047,19.0232,14.4284,25.2485,27.6148,12.03,3.9074,13.9117,22.7635,13.2571,24.6703,5.3536,13.5659,,16.3397,13.9585,17.3012
1998-01-30,0.5728,18.5435,30.4345,13.7346,8.3093,17.8511,28.5796,27.6802,,13.5497,,13.786,33.4629,13.1622,19.9835,18.8716,19.0232,14.1846,24.7128,27.4977,12.1063,3.8123,13.9647,22.8744,13.1724,24.7842,5.5429,13.3393,,16.4177,13.8265,16.8911
1998-02-02,0.5534,19.195,30.869,14.3784,8.4253,18.0612,29.9018,28.1721,,13.7351,,14.0845,34.0763,13.497,20.5418,19.5758,19.5932,14.3351,25.7131,27.5913,12.568,3.9198,14.115,23.2013,13.3215,24.7756,5.6651,13.8729,,16.4727,14.1738,17.23
