,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,F,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,T,TRV,UNH,UTX,V,VZ,WMT,XOM
1998-01-02,,,,,,,,,,,,,,,19.4223,,,,,,,,,,,23.3688,5.3742,12.0062,,15.9913,13.6772,17.623
1998-01-05,,,,,,,,,,,,,,,19.4044,,,,,,,,,,,23.6536,5.3666,11.9947,,15.5077,13.8057,17.4265
1998-01-06,,,,,,,,,,,,,,,19.1058,,,,,,,,,,,23.2805,5.3947,11.8617,,15.8805,13.8925,16.8028
1998-01-07,,,,,,,,,,,,,,,19.2939,,,,,,,,,,,23.1923,5.4412,11.8207,,15.6976,13.8508,17.3382
1998-01-08,,,,,,,,,,,,,,,19.5178,,,,,,,,,,,22.6939,5.4618,11.7189,,15.4759,13.6529,16.9623
1998-01-09,,,,,,,,,,,,,,,19.2939,,,,,,,,,,,21.5548,5.3536,11.2461,,15.3535,13.2639,16.555
1998-01-12,,,,,,,,,,,,,,,19.685,,,,,,,,,,,22.0873,5.2584,11.4414,,15.6302,13.7189,16.7316
1998-01-13,,,,,,,,,,,,,,,19.8163,,,,,,,,,,,22.2838,5.1914,11.6467,,15.8413,13.7189,17.1047
1998-01-14,,,,,,,,,,,,,,,19.8522,,,,,,,,,,,22.1955,5.2865,11.8831,,15.8413,13.7848,17.3183
1998-01-15,,,,,,,,,,,,,,,19.6103,,,,,,,,,,,22.2126,5.0832,11.6368,,15.7863,13.8717,16.9452
1998-01-16,,,,,,,,,,,,,,,20.2253,,,,,,,,,,,22.2496,5.2043,11.6975,,15.8076,13.9377,17.3183
1998-01-20,,,,,,,,,,,,,,,20.691,,,,,,,,,,,24.2431,5.1849,11.7189,,16.0736,14.5003,17.3382
1998-01-21,,,,,,,,,,,,,,,20.3388,,,,,,,,,,,24.0808,5.1849,11.7599,,15.9974,14.1322,17.3895
1998-01-22,,,,,,,,,,,,,,,20.076,,,,,,,,,,,24.7044,5.1914,12.2525,,16.141,13.8925,16.9623
1998-01-23,,,,,,,,,,,,,,,19.9656,,,,,,,,,,,25.0262,5.1167,12.2623,,16.141,13.7189,16.8199
1998-01-26,,,,,,,,,,,,,,,20.0581,,,,,,,,,,,24.8639,5.0627,12.8566,,16.0967,13.4375,17.1588
1998-01-27,,,,,,,,,,,,,,,20.1328,,,,,,,,,,,24.6873,5.1914,12.9601,,16.251,13.6529,17.1958
1998-01-28,,,,,,,,,,,,,,,19.9656,,,,,,,,,,,24.7585,5.2725,13.3492,,16.2741,14.1113,16.8569
1998-01-29,,,,,,,,,,,,,,,19.9656,,,,,,,,,,,24.6703,5.3536,13.5659,,16.3397,13.9585,17.3012
1998-01-30,,,,,,,,,,,,,,,19.9835,,,,,,,,,,,24.7842,5.5429,13.3393,,16.4177,13.8265,16.8911
1998-02-02,,,,,,,,,,,,,,,20.5418,,,,,,,,,,,24.7756,5.6651,13.8729,,16.4727,14.1738,17.23
1998-02-03,,,,,,,,,,,,,,,20.7477,,,,,,,,,,,25.0433,5.637,14.0059,,16.5845,14.5871,17.3183
1998-02-04,,,,,,,,,,,,,,,20.488,,,,,,,,,,,24.8126,5.6716,13.8942,,16.3628,14.9345,17.5318
1998-02-05,,,,,,,,,,,,,,,20.5627,,,,,,,,,,,25.0262,5.6445,13.8942,,16.141,14.8685,17.6401
1998-02-06,,,,,,,,,,,,,,,20.8224,,,,,,,,,,,25.0604,5.651,13.9238,,16.141,14.9553,17.7739
1998-02-09,,,,,,,,,,,,,,,20.5627,,,,,,,,,,,25.0604,5.8608,13.8532,,16.0861,14.7608,17.7739
1998-02-10,,,,,,,,,,,,,,,20.8224,,,,,,,,,,,24.9009,5.8814,14.2833,,15.9406,14.9796,17.7911
1998-02-11,,,,,,,,,,,,,,,20.6552,,,,,,,,,,,24.9351,5.8068,14.1914,,15.9974,14.9136,17.9717
1998-02-12,,,,,,,,,,,,,,,20.8313,,,,,,,,,,,24.6332,6.0566,14.3244,,15.8643,15.5214,18.0778
1998-02-13,,,,,,,,,,,,,,,20.6816,,,,,,,,,,,24.7756,6.2935,14.0994,,15.7632,15.3478,18.0979
1998-02-17,,,,,,,,,,,,,,,20.8134,,,,,,,,,,,25.1145,6.1442,14.2111,,15.9087,15.5422,17.8112
1998-02-18,,,,,,,,,,,,,,,21.1128,,,,,,,,,,,25.0974,6.3205,14.2111,,15.9743,15.8027,18.2928
1998-02-19,,,,,,,,,,,,,,,21.1308,,,,,,,,,,,24.8126,6.34,14.0776,,15.7082,15.7159,18.2412
1998-02-20,,,,,,,,,,,,,,,20.9811,,,,,,,,,,,25.2199,6.34,14.2012,,15.7863,15.7611,18.4361
1998-02-23,,,,,,,,,,,,,,,21.562,,,,,,,,,,,24.9892,6.4481,14.1386,,15.82,16.0424,17.9173
1998-02-24,,,,,,,,,,,,,,,21.9004,,,,,,,,,,,24.8297,6.4481,13.9738,,15.7082,16.282,17.9889
1998-02-25,,,,,,,,,,,,,,,22.2359,,,,,,,,,,,24.8838,6.5433,14.417,,15.7632,16.5633,18.0061
1998-02-26,,,,,,,,,,,,,,,22.2748,,,,,,,,,,,25.0063,6.5844,14.8191,,15.82,16.4105,18.0778
1998-02-27,,,,,,,,,,,,,,,22.5743,,,,,,,,,,,25.2398,6.5638,14.7153,,15.9193,16.0841,18.2756
1998-03-02,,,,,,,,,,,,,,,22.3856,,,,,,,,,,,25.2199,6.6179,14.8504,,16.3734,16.282,18.2039
1998-03-03,,,,,,,,,,,,,,,22.3107,,,,,,,,,,,24.7756,6.7866,14.8603,,16.5171,16.8238,18.4189
1998-03-04,,,,,,,,,,,,,,,21.9543,,,,,,,,,,,25.0063,6.9489,14.7054,,16.3078,16.8238,18.1867
1998-03-05,,,,,,,,,,,,,,,21.6369,,,,,,,,,,,25.0063,6.8548,14.623,,16.3628,16.9767,18.0434
1998-03-06,,,,,,,,,,,,,,,22.125,,,,,,,,,,,25.4335,6.9218,14.8092,,16.9055,17.4316,17.9889
1998-03-09,,,,,,,,,,,,,,,22.2179,,,,,,,,,,,25.7894,6.9824,14.9212,,16.6732,17.8206,17.9173
1998-03-10,,,,,,,,,,,,,,,22.4605,,,,,,,,,,,25.7894,7.1511,14.9328,,16.6288,17.713,18.1867
1998-03-11,,,,,,,,,,,,,,,22.742,,,,,,,,,,,26.1824,7.1111,14.9015,,16.9605,17.6921,18.3301
1998-03-12,,,,,,,,,,,,,,,22.7599,,,,,,,,,,,26.1454,7.2257,14.8092,,16.8505,17.8206,18.3129
1998-03-13,,,,,,,,,,,,,,,22.4994,,,,,,,,,,,26.2166,7.0905,14.8701,,17.0829,17.8449,18.4361
1998-03-16,,,,,,,,,,,,,,,22.4245,,,,,,,,,,,26.3248,7.0505,14.9838,,17.5157,17.8866,18.4017
1998-03-17,,,,,,,,,,,,,,,22.4784,,,,,,,,,,,26.7349,7.03,14.974,,17.537,17.8658,18.0434
1998-03-18,,,,,,,,,,,,,,,22.4036,,,,,,,,,,,26.6979,7.0905,15.0975,,17.7374,17.6532,18.525
1998-03-19,,,,,,,,,,,,,,,22.3107,,,,,,,,,,,26.8232,7.0094,15.1997,,18.2695,17.5245,18.5795
1998-03-20,,,,,,,,,,,,,,,22.6851,,,,,,,,,,,26.3419,6.9348,15.3233,,18.5356,17.4132,19.2417
1998-03-23,,,,,,,,,,,,,,,22.2179,,,,,,,,,,,25.9518,6.9965,15.2623,,18.4238,17.2845,19.494
1998-03-24,,,,,,,,,,,,,,,22.125,,,,,,,,,,,25.7012,7.1717,15.2623,,18.5906,17.5663,19.6
1998-03-25,,,,,,,,,,,,,,,21.9184,,,,,,,,,,,25.647,7.2052,15.2211,,18.3476,17.2636,19.4223
1998-03-26,,,,,,,,,,,,,,,21.7687,,,,,,,,,,,25.7723,7.2192,15.0761,,18.1028,17.3054,19.5484
