,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,104.87,112.5,101.69,111.94,3.5554,4783900,0.0,1.0
2000-01-04,108.25,110.62,101.19,102.5,3.2556,4574800,0.0,1.0
2000-01-05,103.75,110.56,103.0,104.0,3.3032,6949300,0.0,1.0
2000-01-06,106.12,107.0,95.0,95.0,3.0174,6856900,0.0,1.0
2000-01-07,96.5,101.0,95.5,99.5,3.1603,4113700,0.0,1.0
2000-01-10,102.0,102.25,94.75,97.75,3.1047,4509500,0.0,1.0
2000-01-11,95.94,99.37,90.5,92.75,2.9459,3942400,0.0,1.0
2000-01-12,95.0,95.5,86.5,87.19,2.7693,8714900,0.0,1.0
2000-01-13,94.48,98.75,92.5,96.75,3.0729,9220400,0.0,1.0
2000-01-14,100.0,102.25,99.37,100.44,3.1901,3485500,0.0,1.0
2000-01-18,101.0,106.0,100.44,103.94,3.3013,4099800,0.0,1.0
2000-01-19,105.62,108.75,103.37,106.56,3.3845,5336100,0.0,1.0
2000-01-20,115.5,121.5,113.5,113.5,3.6049,16349400,0.0,1.0
2000-01-21,114.25,114.25,110.19,111.31,3.5354,4427900,0.0,1.0
2000-01-24,108.44,112.75,105.12,106.25,3.3747,3936400,0.0,1.0
2000-01-25,105.0,113.12,102.37,112.25,3.5652,4438800,0.0,1.0
2000-01-26,110.0,114.19,109.75,110.19,3.4998,3278200,0.0,1.0
2000-01-27,108.81,113.0,107.0,110.0,3.4938,3037000,0.0,1.0
2000-01-28,108.19,110.87,100.62,101.62,3.2276,3779900,0.0,1.0
2000-01-31,101.0,103.87,94.5,103.75,3.2953,6265000,0.0,1.0
2000-02-01,104.0,105.0,100.0,100.25,3.1841,2839600,0.0,1.0
2000-02-02,100.75,102.12,97.0,98.81,3.1384,4144600,0.0,1.0
2000-02-03,100.31,104.25,100.25,103.31,3.2813,4242800,0.0,1.0
2000-02-04,103.94,110.0,103.62,108.0,3.4303,3797500,0.0,1.0
2000-02-07,108.0,114.25,105.94,114.06,3.6227,3938100,0.0,1.0
2000-02-08,114.0,116.12,111.25,114.87,3.6485,3648600,0.0,1.0
2000-02-09,114.12,117.12,112.44,112.62,3.577,2672900,0.0,1.0
2000-02-10,112.87,113.87,110.0,113.5,3.6049,2705200,0.0,1.0
2000-02-11,113.62,114.12,108.25,108.75,3.4541,1895100,0.0,1.0
2000-02-14,109.31,115.87,108.62,115.81,3.6783,3281600,0.0,1.0
2000-02-15,115.25,119.94,115.19,119.0,3.7796,4337000,0.0,1.0
2000-02-16,117.75,118.12,112.12,114.12,3.6246,3377200,0.0,1.0
2000-02-17,115.19,115.5,113.12,114.87,3.6485,2584800,0.0,1.0
2000-02-18,114.62,115.37,110.87,111.25,3.5335,2084300,0.0,1.0
2000-02-22,110.12,116.94,106.69,113.81,3.6148,3770500,0.0,1.0
2000-02-23,113.23,119.0,111.0,116.25,3.6923,4224100,0.0,1.0
2000-02-24,117.31,119.12,111.75,115.2,3.6589,3361000,0.0,1.0
2000-02-25,114.81,117.0,110.12,110.37,3.5055,2224500,0.0,1.0
2000-02-28,110.12,115.0,108.37,113.25,3.597,2931500,0.0,1.0
2000-02-29,113.56,117.25,112.56,114.62,3.6405,3294300,0.0,1.0
2000-03-01,118.56,132.06,118.5,130.31,4.1389,9616100,0.0,1.0
2000-03-02,127.0,127.94,120.69,122.0,3.8749,2779100,0.0,1.0
2000-03-03,124.87,128.23,120.0,128.0,4.0655,2887200,0.0,1.0
2000-03-06,126.0,129.13,125.0,125.69,3.9921,1880000,0.0,1.0
2000-03-07,126.44,127.44,121.12,122.87,3.9026,2437600,0.0,1.0
2000-03-08,122.87,123.94,118.56,122.0,3.8749,2421700,0.0,1.0
2000-03-09,120.87,125.0,118.25,122.25,3.8829,2470700,0.0,1.0
2000-03-10,121.69,127.94,121.0,125.75,3.994,2219700,0.0,1.0
2000-03-13,122.12,126.5,119.5,121.31,3.853,2713900,0.0,1.0
2000-03-14,121.22,124.25,114.0,114.25,3.6288,3826600,0.0,1.0
2000-03-15,115.62,120.25,114.12,116.25,3.6923,3960800,0.0,1.0
2000-03-16,117.31,122.0,114.5,121.56,3.8609,3375900,0.0,1.0
2000-03-17,120.12,125.0,119.62,125.0,3.9702,2723600,0.0,1.0
2000-03-20,123.5,126.25,122.37,123.0,3.9067,1825800,0.0,1.0
2000-03-21,122.56,136.75,121.62,134.94,4.2859,4681500,0.0,1.0
2000-03-22,132.78,144.38,131.56,144.19,4.5797,5071400,0.0,1.0
2000-03-23,142.0,150.38,140.0,141.31,4.4882,5022900,0.0,1.0
2000-03-24,142.44,143.94,135.5,138.69,4.405,3990300,0.0,1.0
2000-03-27,137.63,144.75,136.88,139.56,4.4327,2492700,0.0,1.0
2000-03-28,137.25,142.0,137.13,139.13,4.419,1812200,0.0,1.0
2000-03-29,139.38,139.44,133.83,135.94,4.3177,2141400,0.0,1.0
2000-03-30,133.56,137.69,125.44,125.75,3.994,3700000,0.0,1.0
2000-03-31,127.44,137.25,126.0,135.81,4.3136,3612800,0.0,1.0
2000-04-03,135.5,139.5,129.44,133.31,4.2341,2933600,0.0,1.0
2000-04-04,132.63,133.0,116.75,127.31,4.0436,5895800,0.0,1.0
2000-04-05,126.47,132.88,124.0,130.38,4.1411,4086300,0.0,1.0
2000-04-06,130.63,134.5,123.25,125.19,3.9762,2318100,0.0,1.0
2000-04-07,127.25,131.88,125.5,131.75,4.1846,2164600,0.0,1.0
2000-04-10,131.69,132.75,124.75,125.0,3.9702,1895200,0.0,1.0
2000-04-11,123.5,124.87,118.06,119.44,3.7936,4837700,0.0,1.0
2000-04-12,119.0,119.0,104.87,109.25,3.47,8403000,0.0,1.0
2000-04-13,111.5,120.0,108.5,113.81,3.6148,4730600,0.0,1.0
2000-04-14,109.31,118.0,109.0,111.87,3.5532,5960900,0.0,1.0
2000-04-17,109.5,123.94,109.06,123.87,3.9343,3656800,0.0,1.0
2000-04-18,123.5,126.87,119.37,126.87,4.0296,3490400,0.0,1.0
