,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,93.13,93.75,91.69,92.19,28.9587,2321200,0.0,1.0
2000-01-04,91.13,91.56,88.75,88.81,27.8969,3911100,0.0,1.0
2000-01-05,88.81,90.81,88.44,90.19,28.3304,4114800,0.0,1.0
2000-01-06,90.31,93.94,90.13,92.56,29.0749,2678200,0.0,1.0
2000-01-07,94.13,96.94,93.63,96.5,30.3125,4931900,0.0,1.0
2000-01-10,96.69,96.94,94.06,94.06,29.5461,2464300,0.0,1.0
2000-01-11,93.0,94.94,92.94,94.06,29.5461,3076500,0.0,1.0
2000-01-12,93.88,95.06,93.19,93.5,29.3702,2581600,0.0,1.0
2000-01-13,93.94,96.0,93.06,93.38,29.3325,2329600,0.0,1.0
2000-01-14,93.94,94.38,92.81,93.69,29.4298,2702400,0.0,1.0
2000-01-18,92.0,93.06,91.06,91.31,28.6822,2435000,0.0,1.0
2000-01-19,91.0,92.06,90.63,91.63,28.7828,2753700,0.0,1.0
2000-01-20,92.25,92.31,90.06,91.94,28.8801,2411700,0.0,1.0
2000-01-21,91.75,91.75,89.63,89.88,28.2331,4269000,0.0,1.0
2000-01-24,90.13,90.19,83.56,83.69,26.2887,5652100,0.0,1.0
2000-01-25,83.88,86.94,83.56,85.25,26.7787,6478400,0.0,1.0
2000-01-26,86.25,86.88,83.06,83.5,26.229,4745700,0.0,1.0
2000-01-27,83.75,83.94,80.5,80.5,25.2866,6203300,0.0,1.0
2000-01-28,80.88,85.19,80.88,84.5,26.5431,6170000,0.0,1.0
2000-01-31,85.19,86.75,82.81,86.06,27.0331,4527600,0.0,1.0
2000-02-01,85.44,85.5,84.38,84.81,26.6405,3039600,0.0,1.0
2000-02-02,85.5,86.31,84.94,85.25,26.7787,2895800,0.0,1.0
2000-02-03,85.0,85.0,81.88,83.31,26.1693,5118600,0.0,1.0
2000-02-04,82.13,83.63,81.81,82.13,25.7986,3453000,0.0,1.0
2000-02-07,81.56,82.0,81.0,81.44,25.5819,2911000,0.0,1.0
2000-02-08,82.44,83.0,81.25,82.06,25.7766,3062700,0.0,1.0
2000-02-09,82.06,82.13,79.69,80.0,25.1296,6211300,0.0,1.0
2000-02-10,79.81,80.38,77.5,78.0,24.5013,5672400,0.0,1.0
2000-02-11,77.75,78.44,75.94,77.44,24.4134,5116600,0.28,1.0
2000-02-14,76.94,78.25,76.69,77.63,24.4733,3686500,0.0,1.0
2000-02-15,77.69,80.25,77.5,79.69,25.1227,4931700,0.0,1.0
2000-02-16,80.25,80.63,78.94,79.81,25.1605,4623600,0.0,1.0
2000-02-17,80.94,81.13,78.75,79.19,24.9651,2887200,0.0,1.0
2000-02-18,78.5,78.94,76.88,77.44,24.4134,4123100,0.0,1.0
2000-02-22,78.0,79.06,76.75,78.63,24.7885,3653700,0.0,1.0
2000-02-23,78.13,78.31,76.13,76.13,24.0004,4146600,0.0,1.0
2000-02-24,75.0,75.25,72.0,73.75,23.2501,9256400,0.0,1.0
2000-02-25,72.56,72.63,70.31,72.0,22.6984,6610700,0.0,1.0
2000-02-28,72.0,72.94,70.06,72.75,22.9348,6768900,0.0,1.0
2000-02-29,73.25,73.44,71.25,72.0,22.6984,5091600,0.0,1.0
2000-03-01,72.25,73.38,71.06,73.38,23.1334,4698600,0.0,1.0
2000-03-02,73.0,74.94,72.63,73.69,23.2312,3396500,0.0,1.0
2000-03-03,74.25,74.25,72.25,73.5,23.1713,2897300,0.0,1.0
2000-03-06,72.94,72.94,70.25,70.5,22.2255,3815700,0.0,1.0
2000-03-07,70.5,70.5,66.13,68.5,21.595,8263200,0.0,1.0
2000-03-08,67.69,71.75,67.25,71.0,22.3831,6418400,0.0,1.0
2000-03-09,71.0,73.0,69.94,72.69,22.9159,4832700,0.0,1.0
2000-03-10,72.69,73.75,69.88,70.88,22.3453,4361100,0.0,1.0
2000-03-13,69.63,71.56,69.31,70.0,22.0679,2881300,0.0,1.0
2000-03-14,71.81,74.63,71.75,72.75,22.9348,5171100,0.0,1.0
2000-03-15,72.25,78.19,71.81,76.94,24.2557,6010100,0.0,1.0
2000-03-16,79.88,80.5,78.94,79.81,25.1605,7679500,0.0,1.0
2000-03-17,79.31,79.94,78.19,79.56,25.0817,5502100,0.0,1.0
2000-03-20,79.69,79.94,78.56,79.31,25.0029,3377600,0.0,1.0
2000-03-21,78.13,81.0,78.13,80.25,25.2992,4013800,0.0,1.0
2000-03-22,80.88,82.25,79.69,82.25,25.9297,4991500,0.0,1.0
2000-03-23,81.25,81.94,79.94,80.0,25.2204,5195000,0.0,1.0
2000-03-24,73.0,74.0,70.19,72.25,22.7772,19381800,0.0,1.0
2000-03-27,71.0,71.25,68.63,69.75,21.989,11303800,0.0,1.0
2000-03-28,69.44,72.0,69.38,72.0,22.6984,9187800,0.0,1.0
2000-03-29,70.06,72.13,70.06,71.06,22.402,7348000,0.0,1.0
2000-03-30,70.56,71.63,70.31,70.75,22.3043,5169100,0.0,1.0
2000-03-31,71.0,71.13,70.06,70.25,22.1467,4006700,0.0,1.0
