,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,79.5,80.75,77.88,78.31,24.3531,6729100,0.0,1.0
2000-01-04,77.38,78.19,76.5,76.81,23.8866,7255400,0.0,1.0
2000-01-05,78.0,81.25,77.81,80.63,25.0745,8742500,0.0,1.0
2000-01-06,80.63,85.81,80.19,85.19,26.4926,9730800,0.0,1.0
2000-01-07,85.94,86.25,84.0,84.94,26.4149,8301900,0.0,1.0
2000-01-10,84.19,84.63,83.56,83.75,26.0448,4272700,0.0,1.0
2000-01-11,83.75,85.25,83.63,84.75,26.3558,4361300,0.0,1.0
2000-01-12,83.25,84.38,82.81,83.5,25.9671,5157100,0.0,1.0
2000-01-13,83.5,86.0,83.13,85.44,26.5704,6028000,0.0,1.0
2000-01-14,85.5,85.5,83.0,83.75,26.0448,5634400,0.0,1.0
2000-01-18,82.75,85.5,82.38,84.75,26.3558,5964700,0.0,1.0
2000-01-19,84.25,85.88,83.69,85.56,26.6077,6544400,0.0,1.0
2000-01-20,85.19,85.25,82.69,83.69,26.0262,4806700,0.0,1.0
2000-01-21,84.0,85.19,83.31,85.0,26.4335,7171800,0.0,1.0
2000-01-24,85.44,86.31,83.0,84.25,26.2003,6229700,0.0,1.0
2000-01-25,84.0,86.13,83.81,84.06,26.1412,5960800,0.0,1.0
2000-01-26,84.06,84.56,82.69,83.5,25.9671,4649000,0.0,1.0
2000-01-27,83.31,83.31,79.75,81.0,25.1896,5274200,0.0,1.0
2000-01-28,80.0,81.0,78.88,78.88,24.5303,5180500,0.0,1.0
2000-01-31,78.63,83.56,77.88,82.88,25.7743,7306100,0.0,1.0
2000-02-01,83.31,83.44,81.38,83.19,25.8707,5332700,0.0,1.0
2000-02-02,83.25,84.88,83.25,83.81,26.0635,5781400,0.0,1.0
2000-02-03,83.44,84.0,80.06,82.38,25.6188,5805400,0.0,1.0
2000-02-04,83.5,83.5,80.06,80.88,25.1523,5718100,0.0,1.0
2000-02-07,79.5,81.25,79.5,80.75,25.1119,3550600,0.0,1.0
2000-02-08,81.0,81.88,78.69,78.94,24.549,4686000,0.0,1.0
2000-02-09,76.75,77.31,76.0,76.25,23.8493,6204100,0.44,1.0
2000-02-10,76.25,77.69,75.31,75.88,23.7335,6737800,0.0,1.0
2000-02-11,76.0,76.69,72.69,73.88,23.108,6232900,0.0,1.0
2000-02-14,74.5,76.94,74.44,76.44,23.9087,4876800,0.0,1.0
2000-02-15,77.75,80.56,77.44,79.31,24.8064,5391800,0.0,1.0
2000-02-16,79.0,80.38,78.38,80.0,25.0222,5132100,0.0,1.0
2000-02-17,79.0,79.0,77.31,77.88,24.3591,5839200,0.0,1.0
2000-02-18,77.31,77.38,75.0,75.0,23.4583,6900300,0.0,1.0
2000-02-22,76.25,76.94,74.5,75.44,23.5959,5427400,0.0,1.0
2000-02-23,74.13,75.81,73.13,74.63,23.3426,4440800,0.0,1.0
2000-02-24,72.69,73.44,71.5,72.81,22.7733,5393200,0.0,1.0
2000-02-25,72.56,74.38,70.0,71.06,22.226,5900300,0.0,1.0
2000-02-28,71.0,75.31,69.88,73.5,22.9891,5937600,0.0,1.0
2000-02-29,73.5,75.63,72.94,75.31,23.5553,5234600,0.0,1.0
2000-03-01,75.38,76.25,73.19,76.06,23.7898,4942300,0.0,1.0
2000-03-02,76.0,77.69,75.56,77.0,24.0839,4901100,0.0,1.0
2000-03-03,76.5,76.5,74.25,75.69,23.6741,5103900,0.0,1.0
2000-03-06,74.0,75.0,72.0,72.94,22.814,5248700,0.0,1.0
2000-03-07,72.13,81.0,72.0,80.0,25.0222,11405800,0.0,1.0
2000-03-08,77.5,82.0,77.5,79.63,24.9065,9990700,0.0,1.0
2000-03-09,78.0,80.56,77.44,80.44,25.1598,5453100,0.0,1.0
2000-03-10,80.0,80.19,76.31,77.03,24.0932,4715000,0.0,1.0
2000-03-13,76.5,77.94,74.38,75.88,23.7335,4733700,0.0,1.0
2000-03-14,75.13,78.0,74.63,77.25,24.1621,4523800,0.0,1.0
2000-03-15,77.19,78.0,74.69,77.75,24.3184,5939900,0.0,1.0
2000-03-16,78.0,79.94,75.88,79.75,24.944,5800400,0.0,1.0
2000-03-17,79.31,79.69,77.0,77.13,24.1245,7464600,0.0,1.0
2000-03-20,76.19,77.31,74.31,74.88,23.4208,5342800,0.0,1.0
2000-03-21,75.75,77.75,75.63,77.0,24.0839,5440300,0.0,1.0
2000-03-22,77.0,77.0,74.44,74.94,23.4395,7126600,0.0,1.0
2000-03-23,74.63,76.06,74.31,75.5,23.6147,5057800,0.0,1.0
2000-03-24,75.75,77.56,75.62,77.25,24.1621,4402200,0.0,1.0
2000-03-27,77.25,78.19,75.75,76.51,23.9306,4831500,0.0,1.0
2000-03-28,75.63,79.0,75.63,79.0,24.7094,4134800,0.0,1.0
2000-03-29,78.19,81.94,77.75,80.5,25.1786,10376800,0.0,1.0
2000-03-30,81.44,81.81,77.69,78.63,24.5937,6637100,0.0,1.0
2000-03-31,78.88,79.94,77.81,78.0,24.3966,6299800,0.0,1.0
2000-04-03,77.75,80.75,77.69,80.5,25.1786,4977800,0.0,1.0
2000-04-04,79.94,82.88,79.94,82.5,25.8041,8194600,0.0,1.0
2000-04-05,82.0,83.13,79.5,79.75,24.944,6513400,0.0,1.0
2000-04-06,80.56,82.0,80.06,81.75,25.5696,4132600,0.0,1.0
2000-04-07,81.0,81.38,79.06,79.56,24.8846,3912800,0.0,1.0
2000-04-10,79.0,79.63,78.13,78.25,24.4748,4546200,0.0,1.0
2000-04-11,78.94,80.94,78.69,79.38,24.8283,5333200,0.0,1.0
2000-04-12,80.0,81.5,79.69,79.94,25.0034,4297200,0.0,1.0
2000-04-13,79.94,81.0,78.81,80.0,25.0222,4454700,0.0,1.0
2000-04-14,79.81,81.75,78.0,78.75,24.6312,5924100,0.0,1.0
2000-04-17,78.63,79.38,75.13,75.5,23.6147,8103200,0.0,1.0
2000-04-18,76.0,76.81,75.0,76.19,23.8305,6030000,0.0,1.0
2000-04-19,76.25,78.44,76.0,77.44,24.2215,6050000,0.0,1.0
2000-04-20,77.44,79.0,77.06,79.0,24.7094,4029000,0.0,1.0
2000-04-24,78.63,81.0,77.19,79.88,24.9847,4454600,0.0,1.0
