,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2022-11-07,146.2,147.54,143.76,146.98,146.98,2917984,0.0,1.0
2022-11-04,142.4,146.356,141.0,144.72,144.72,3322250,0.0,1.0
2022-11-03,141.09,142.2,138.77,139.31,139.31,3960528,0.0,1.0
2022-11-02,146.58,149.03,143.3701,143.5,143.5,2852089,0.0,1.0
2022-11-01,149.96,150.63,146.63,147.08,147.08,2675699,0.0,1.0
2022-10-31,150.0,150.3,148.32,148.45,148.45,3043149,0.0,1.0
2022-10-28,146.56,150.91,146.05,150.44,150.44,3383315,0.0,1.0
2022-10-27,148.44,149.71,146.41,146.97,146.97,2101525,0.0,1.0
2022-10-26,147.56,149.5,146.47,146.88,146.88,3560551,0.0,1.0
2022-10-25,142.48,147.44,141.6,147.02,147.02,3889104,0.0,1.0
2022-10-24,141.3,143.79,140.37,141.63,141.63,4299569,0.0,1.0
2022-10-21,140.99,141.32,132.21,140.04,140.04,11755398,0.0,1.0
2022-10-20,144.0,147.315,142.15,142.42,142.42,4319336,0.0,1.0
2022-10-19,145.43,147.07,142.6,143.97,143.97,2804054,0.0,1.0
2022-10-18,146.13,147.05,143.55,145.99,145.99,3963269,0.0,1.0
2022-10-17,140.58,142.22,140.09,141.54,141.54,3139254,0.0,1.0
2022-10-14,142.96,143.88,136.14,136.81,136.81,3873599,0.0,1.0
2022-10-13,131.35,142.55,130.65,141.55,141.55,5232724,0.52,1.0
2022-10-12,137.31,138.45,136.11,136.74,136.239508693,2397555,0.0,1.0
2022-10-11,136.37,139.21,135.39,137.35,136.847275991,2588904,0.0,1.0
2022-10-10,140.01,140.38,136.65,137.51,137.006690364,2893409,0.0,1.0
2022-10-07,140.42,141.29,138.08,139.0,138.491236714,2579628,0.0,1.0
2022-10-06,143.05,145.06,142.13,142.38,141.858865348,2526239,0.0,1.0
2022-10-05,142.92,145.29,142.08,144.37,143.841581615,2073878,0.0,1.0
2022-10-04,143.03,145.55,143.03,145.46,144.927592032,2408884,0.0,1.0
2022-10-03,137.95,140.77,134.92,140.02,139.507503343,2677118,0.0,1.0
2022-09-30,137.4,138.67,134.615,134.91,134.416206799,3717212,0.0,1.0
2022-09-29,138.39,138.95,135.84,137.79,137.285665517,2280921,0.0,1.0
2022-09-28,138.5,141.18,136.52,140.56,140.045526853,5269635,0.0,1.0
2022-09-27,139.44,140.38,136.1,137.49,136.986763567,2828818,0.0,1.0
2022-09-26,140.04,141.29,136.695,137.45,136.946909974,3808706,0.0,1.0
2022-09-23,140.775,141.96,138.09,140.26,139.746624903,3035586,0.0,1.0
2022-09-22,148.82,148.89,142.465,143.03,142.506486239,3202885,0.0,1.0
2022-09-21,154.67,154.81,148.66,148.71,148.165696488,2599851,0.0,1.0
2022-09-20,153.58,154.59,152.13,153.48,152.918237489,1725941,0.0,1.0
2022-09-19,151.25,155.48,150.7,155.36,154.791356374,2472633,0.0,1.0
2022-09-16,154.08,154.08,150.51,153.08,152.519701556,6527339,0.0,1.0
2022-09-15,156.43,158.79,155.9,156.13,155.558538045,2371603,0.0,1.0
2022-09-14,156.18,157.555,153.5,156.3,155.727915816,2840430,0.0,1.0
2022-09-13,158.14,159.81,154.84,155.35,154.781392975,3519831,0.0,1.0
2022-09-12,159.5,163.45,159.34,162.45,161.855405786,4146273,0.0,1.0
2022-09-09,154.45,158.59,154.3,158.44,157.860083058,3543560,0.0,1.0
2022-09-08,150.92,153.69,149.515,153.52,152.958091082,3399245,0.0,1.0
2022-09-07,148.4,152.7,148.38,152.25,151.692739495,1766424,0.0,1.0
2022-09-06,150.0,151.31,146.55,148.6,148.056099106,2741951,0.0,1.0
2022-09-02,153.48,153.98,148.93,149.79,149.241743507,2028573,0.0,1.0
