,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-05-31,345.85,345.85,341.36,341.61,341.61,3216382,0.0,1.0
2019-05-30,350.0,351.92,347.9366,349.87,349.87,2183884,0.0,1.0
2019-05-29,352.59,352.79,346.05,348.8,348.8,4160546,0.0,1.0
2019-05-28,355.29,359.31,354.88,354.88,354.88,3504281,0.0,1.0
2019-05-24,355.0,361.4,353.0,354.9,354.9,5387544,0.0,1.0
2019-05-23,345.92,351.47,341.15,350.55,350.55,5305388,0.0,1.0
2019-05-22,357.22,357.57,351.75,352.78,352.78,3841430,0.0,1.0
2019-05-21,358.03,360.77,354.88,358.75,358.75,4022572,0.0,1.0
2019-05-20,353.0,355.9406,350.53,352.79,352.79,3219868,0.0,1.0
2019-05-17,351.5,359.99,351.1636,355.02,355.02,5282942,0.0,1.0
2019-05-16,348.64,356.5,345.82,353.81,353.81,6036506,0.0,1.0
2019-05-15,339.8,348.7999,337.64,345.64,345.64,4809967,0.0,1.0
2019-05-14,339.9,346.1,337.2289,343.04,343.04,4747753,0.0,1.0
2019-05-13,344.51,346.63,337.0,337.37,337.37,7757832,0.0,1.0
2019-05-10,351.87,355.54,347.55,354.67,354.67,4574070,0.0,1.0
2019-05-09,354.76,355.65,347.47,354.13,354.13,6075156,2.055,1.0
2019-05-08,357.77,361.52,353.33,359.75,357.6744,6029997,0.0,1.0
2019-05-07,366.33,367.71,355.02,357.23,355.169,9740301,0.0,1.0
2019-05-06,367.88,372.48,365.63,371.6,369.4561,4747601,0.0,1.0
2019-05-03,376.08,377.9,374.22,376.46,374.288,2953838,0.0,1.0
2019-05-02,375.5,377.65,373.25,375.8,373.6318,2438759,0.0,1.0
2019-05-01,378.53,381.1951,376.38,376.8,374.6261,2765572,0.0,1.0
2019-04-30,379.5,381.14,375.05,377.69,375.5109,3732809,0.0,1.0
2019-04-29,378.49,385.3,376.76,379.05,376.8631,5457300,0.0,1.0
2019-04-26,383.89,384.0,378.14,380.79,378.593,4259621,0.0,1.0
2019-04-25,376.01,384.8,372.76,382.8,380.5914,6614992,0.0,1.0
2019-04-24,377.89,381.15,373.66,375.46,373.2938,9855141,0.0,1.0
2019-04-23,375.54,376.87,372.61,374.02,371.8621,4894517,0.0,1.0
2019-04-22,375.69,378.95,374.9,375.17,373.0055,4147652,0.0,1.0
2019-04-18,377.52,382.17,377.52,380.07,377.8772,4703105,0.0,1.0
2019-04-17,384.1,384.19,377.4837,377.52,375.3419,4424421,0.0,1.0
2019-04-16,376.51,384.64,375.03,381.72,379.5177,7083834,0.0,1.0
2019-04-15,376.7,377.9,373.68,375.46,373.2938,3822079,0.0,1.0
2019-04-12,375.75,379.95,372.0,379.64,377.4497,7334644,0.0,1.0
2019-04-11,364.62,371.08,364.21,370.16,368.0244,6598367,0.0,1.0
2019-04-10,368.4,368.79,362.92,364.94,362.8345,8284959,0.0,1.0
2019-04-09,370.29,372.24,367.75,369.04,366.9108,7980062,0.0,1.0
2019-04-08,376.2,379.8,371.86,374.52,372.3592,14482604,0.0,1.0
2019-04-05,398.07,398.66,390.95,391.93,389.6688,6857151,0.0,1.0
2019-04-04,385.99,397.06,385.1,395.86,393.5761,9388082,0.0,1.0
2019-04-03,389.68,391.5386,384.07,384.74,382.5203,7350347,0.0,1.0
2019-04-02,388.5,394.8299,388.5,390.75,388.4956,6401023,0.0,1.0
2019-04-01,385.8,392.9,383.1,391.54,389.281,7735719,0.0,1.0
2019-03-29,376.52,382.18,374.74,381.42,379.2194,7694707,0.0,1.0
2019-03-28,376.6,376.66,372.33,374.44,372.2797,4921337,0.0,1.0
2019-03-27,371.89,376.66,365.55,374.21,372.051,9599957,0.0,1.0
2019-03-26,375.58,375.6,367.6,370.38,368.2431,6479729,0.0,1.0
2019-03-25,365.0,371.21,362.89,370.46,368.3226,7939602,0.0,1.0
2019-03-22,368.79,369.86,361.525,362.17,360.0805,10143922,0.0,1.0
2019-03-21,374.04,377.0,372.23,372.7,370.5497,6950985,0.0,1.0
2019-03-20,374.7,380.8,373.68,376.16,373.9898,8737593,0.0,1.0
