,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-05-31,119.79,120.7491,118.74,119.81,119.81,4711613,0.0,1.0
2019-05-30,121.61,122.6778,121.2775,121.84,121.84,2878304,0.0,1.0
2019-05-29,120.5,122.825,120.26,121.48,121.48,5330040,0.0,1.0
2019-05-28,122.9,123.46,121.51,121.59,121.59,4889389,0.0,1.0
2019-05-24,123.52,124.08,122.21,122.9,122.9,3802541,0.0,1.0
2019-05-23,122.1,123.76,121.41,122.26,122.26,4964856,0.0,1.0
2019-05-22,124.25,125.4393,123.52,123.56,123.56,4620431,0.0,1.0
2019-05-21,123.33,125.071,122.72,124.95,124.95,5492942,0.0,1.0
2019-05-20,121.56,123.025,121.31,122.43,122.43,6312469,0.0,1.0
2019-05-17,124.38,125.53,122.315,122.76,122.76,6122573,0.0,1.0
2019-05-16,128.43,128.53,126.415,126.61,126.61,4316590,0.0,1.0
2019-05-15,125.91,127.96,124.98,127.3,127.3,2875870,0.0,1.0
2019-05-14,126.5,128.555,125.7,127.47,127.47,4019072,0.0,1.0
2019-05-13,127.51,127.52,124.08,125.3,125.3,8580682,0.0,1.0
2019-05-10,130.53,131.73,127.92,131.34,131.34,5240634,0.0,1.0
2019-05-09,130.22,131.68,128.18,131.2,131.2,5906152,0.0,1.0
2019-05-08,133.02,134.42,131.79,131.95,131.95,4140454,0.0,1.0
2019-05-07,135.2,136.0,132.06,133.67,133.67,5622885,0.0,1.0
2019-05-06,134.78,137.49,134.31,136.76,136.76,4866540,0.0,1.0
2019-05-03,136.12,139.2,135.8,139.06,139.06,4154832,0.0,1.0
2019-05-02,138.52,138.54,134.38,135.17,135.17,5405699,0.0,1.0
2019-05-01,139.58,139.93,137.64,138.15,138.15,3652030,0.0,1.0
2019-04-30,139.99,140.0,137.58,139.42,139.42,3862031,0.0,1.0
2019-04-29,139.5,140.45,138.82,139.02,139.02,3374270,0.0,1.0
2019-04-26,136.56,139.03,135.89,139.03,139.03,5119376,0.0,1.0
2019-04-25,137.05,137.46,134.09,136.13,136.13,5094869,0.0,1.0
2019-04-24,139.75,140.3,136.56,137.73,137.73,8694391,0.0,1.0
2019-04-23,142.0,143.13,141.44,142.03,142.03,5930455,0.0,1.0
2019-04-22,142.95,143.18,141.43,142.38,142.38,3637910,0.0,1.0
2019-04-18,142.8,144.77,142.42,143.36,143.36,4504507,0.86,1.0
2019-04-17,143.0,144.495,142.46,142.74,141.8888,3469375,0.0,1.0
2019-04-16,140.56,142.21,139.59,142.03,141.1831,2673062,0.0,1.0
2019-04-15,141.67,142.43,139.67,140.25,139.4137,3030187,0.0,1.0
2019-04-12,141.0,141.92,139.81,141.2,140.358,4382980,0.0,1.0
2019-04-11,137.59,139.585,136.98,138.87,138.0419,2762939,0.0,1.0
2019-04-10,137.16,138.2099,136.28,137.53,136.7099,3310886,0.0,1.0
2019-04-09,138.65,138.905,136.07,136.35,135.5369,3316822,0.0,1.0
2019-04-08,140.0,140.12,138.61,139.82,138.9862,2497583,0.0,1.0
2019-04-05,141.1,141.15,139.92,140.36,139.523,2812451,0.0,1.0
2019-04-04,139.14,140.87,139.0,140.13,139.2944,2988945,0.0,1.0
2019-04-03,139.85,140.55,138.41,139.26,138.4296,4821813,0.0,1.0
2019-04-02,140.15,140.69,139.23,140.19,139.354,2529038,0.0,1.0
2019-04-01,137.69,140.37,136.32,140.25,139.4137,5081522,0.0,1.0
2019-03-29,134.0,136.28,133.62,135.49,134.6821,4681573,0.0,1.0
2019-03-28,131.9,132.8,131.16,132.37,131.5807,2487176,0.0,1.0
2019-03-27,132.27,132.47,130.25,131.2,130.4176,2378318,0.0,1.0
2019-03-26,132.69,133.56,131.13,131.84,131.0538,2638304,0.0,1.0
2019-03-25,129.59,132.0,129.23,131.38,130.5966,3199920,0.0,1.0
2019-03-22,132.99,133.3,129.49,129.77,128.9962,5745823,0.0,1.0
2019-03-21,132.16,134.6,132.01,134.06,133.2606,2635695,0.0,1.0
2019-03-20,133.83,134.15,132.06,133.01,132.2168,3522060,0.0,1.0
2019-03-19,135.35,135.71,133.51,134.15,133.35,3315928,0.0,1.0
2019-03-18,132.7,134.2,132.53,134.1,133.3003,4095418,0.0,1.0
2019-03-15,133.87,134.53,131.9808,132.67,131.8789,7049923,0.0,1.0
2019-03-14,132.84,134.07,132.02,133.69,132.8928,3742487,0.0,1.0
2019-03-13,133.98,134.31,132.69,133.5,132.7039,4285187,0.0,1.0
2019-03-12,133.24,133.38,131.92,132.48,131.69,4208776,0.0,1.0
2019-03-11,131.91,133.4,131.595,133.11,132.3163,3914781,0.0,1.0
2019-03-08,130.5,132.13,130.23,131.35,130.5667,4237956,0.0,1.0
2019-03-07,134.38,134.81,131.62,132.8,132.0081,4290794,0.0,1.0
2019-03-06,137.54,137.6589,134.73,134.83,134.026,3886033,0.0,1.0
2019-03-05,138.06,138.46,137.0,137.14,136.3222,3122878,0.0,1.0
2019-03-04,138.8,139.7704,137.095,138.35,137.525,3859825,0.0,1.0
2019-03-01,138.86,139.4999,136.94,137.47,136.6503,3810952,0.0,1.0
2019-02-28,138.55,139.0,137.14,137.34,136.521,4023970,0.0,1.0
2019-02-27,137.86,139.64,137.14,139.58,138.7477,3441015,0.0,1.0
2019-02-26,136.53,139.03,135.27,137.98,137.1572,7275601,0.0,1.0
2019-02-25,140.99,142.55,140.18,141.41,140.5668,4444059,0.0,1.0
2019-02-22,138.78,139.69,137.93,138.68,137.853,3485007,0.0,1.0
