,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2022-11-07,44.832,44.98,44.405,44.55,44.55,21382988,0.0,1.0
2022-11-04,44.5,45.08,43.8315,44.52,44.52,19648749,0.0,1.0
2022-11-03,44.03,44.15,43.39,43.85,43.85,17895616,0.0,1.0
2022-11-02,45.47,46.21,44.55,44.57,44.57,15309364,0.0,1.0
2022-11-01,45.58,45.79,45.06,45.46,45.46,12088885,0.0,1.0
2022-10-31,45.305,45.64,45.055,45.43,45.43,17793744,0.0,1.0
2022-10-28,44.69,45.71,44.65,45.64,45.64,17978327,0.0,1.0
2022-10-27,44.77,45.085,44.36,44.42,44.42,18102450,0.0,1.0
2022-10-26,44.93,45.23,44.28,44.38,44.38,20055302,0.0,1.0
2022-10-25,43.34,44.4,43.2,44.36,44.36,19165167,0.0,1.0
2022-10-24,43.115,43.73,42.9,43.54,43.54,18785257,0.0,1.0
2022-10-21,41.85,42.97,41.81,42.8,42.8,25035034,0.0,1.0
2022-10-20,41.56,42.615,41.455,41.71,41.71,16830456,0.0,1.0
2022-10-19,41.63,42.235,41.47,41.88,41.88,19071943,0.0,1.0
2022-10-18,41.92,42.22,41.26,41.79,41.79,18223318,0.0,1.0
2022-10-17,41.04,41.525,40.95,41.3,41.3,27845187,0.0,1.0
2022-10-14,40.84,40.96,39.92,40.2,40.2,19572198,0.0,1.0
2022-10-13,39.03,40.8,38.605,40.61,40.61,26328346,0.0,1.0
2022-10-12,39.7,39.86,39.25,39.27,39.27,17279923,0.0,1.0
2022-10-11,39.81,40.11,39.27,39.58,39.58,19386431,0.0,1.0
2022-10-10,40.625,40.805,39.6,39.89,39.89,16628441,0.0,1.0
2022-10-07,41.25,41.25,40.0809,40.27,40.27,19055395,0.0,1.0
2022-10-06,41.65,42.09,41.37,41.52,41.52,18198825,0.0,1.0
2022-10-05,41.585,42.25,41.4,41.99,41.99,14289744,0.0,1.0
2022-10-04,41.56,42.035,41.39,41.82,41.82,22889355,0.38,1.0
2022-10-03,40.67,41.53,40.47,41.29,40.9181943128,22203577,0.0,1.0
2022-09-30,40.66,41.04,39.96,40.0,39.6398104265,27989869,0.0,1.0
2022-09-29,41.05,41.1,40.15,40.57,40.2046777251,19496426,0.0,1.0
2022-09-28,40.85,41.57,40.592,41.34,40.9677440758,23217706,0.0,1.0
2022-09-27,41.14,41.46,40.225,40.52,40.1551279621,15027873,0.0,1.0
2022-09-26,40.66,41.19,40.37,40.58,40.2145876777,22694823,0.0,1.0
2022-09-23,41.25,41.25,40.12,40.66,40.2938672986,19067689,0.0,1.0
2022-09-22,41.34,41.55,41.14,41.15,40.7794549763,16549324,0.0,1.0
2022-09-21,42.32,42.865,41.57,41.59,41.215492891,21415876,0.0,1.0
2022-09-20,43.01,43.02,42.2625,42.58,42.1965781991,16813923,0.0,1.0
2022-09-19,42.895,43.44,42.76,43.3,42.9100947867,13667537,0.0,1.0
2022-09-16,43.11,43.58,42.785,43.3,42.9100947867,32696096,0.0,1.0
2022-09-15,43.81,43.87,43.09,43.29,42.9001848341,18148604,0.0,1.0
2022-09-14,44.04,44.27,43.5604,43.96,43.5641516588,27551508,0.0,1.0
2022-09-13,45.72,45.91,44.02,44.11,43.7128009479,23028647,0.0,1.0
2022-09-12,46.11,46.73,45.97,46.4,45.9821800948,17923005,0.0,1.0
2022-09-09,45.66,45.89,45.395,45.77,45.3578530806,15499423,0.0,1.0
2022-09-08,44.76,45.47,44.62,45.37,44.9614549763,14231500,0.0,1.0
2022-09-07,44.75,45.165,44.35,45.02,44.6146066351,18297407,0.0,1.0
2022-09-06,44.66,44.787,43.98,44.47,44.0695592417,14350087,0.0,1.0
2022-09-02,45.71,45.92,44.275,44.59,44.188478673,14720949,0.0,1.0
2022-09-01,44.57,45.34,44.4,45.29,44.8821753555,16236428,0.0,1.0
2022-08-31,45.78,45.83,44.585,44.72,44.3173080569,23006140,0.0,1.0
2022-08-30,45.75,45.87,44.9608,45.24,44.8326255924,14279071,0.0,1.0
2022-08-29,45.72,46.0,45.49,45.71,45.2983933649,13326756,0.0,1.0
2022-08-26,47.08,47.27,45.88,45.89,45.4767725118,20309829,0.0,1.0
2022-08-25,47.25,47.43,46.84,47.27,46.8443459716,23039278,0.0,1.0
2022-08-24,47.09,47.405,46.87,47.07,46.6461469194,14946488,0.0,1.0
2022-08-23,47.59,48.04,47.39,47.41,46.9830853081,13596810,0.0,1.0
2022-08-22,48.47,48.5,47.515,47.71,47.2803838863,20534051,0.0,1.0
2022-08-19,49.01,49.46,48.535,48.7,48.2614691943,23130410,0.0,1.0
2022-08-18,49.795,50.0,49.11,49.37,48.925436019,39999935,0.0,1.0
2022-08-17,46.36,47.1,46.225,46.66,46.2398388626,27975611,0.0,1.0
2022-08-16,46.57,47.01,46.4401,46.77,46.3488483412,21153702,0.0,1.0
2022-08-15,46.39,46.62,46.025,46.59,46.1704691943,15456070,0.0,1.0
2022-08-12,46.09,46.61,45.97,46.61,46.1902890995,16967587,0.0,1.0
2022-08-11,46.11,46.425,45.77,45.9,45.4866824645,15849321,0.0,1.0
2022-08-10,45.71,46.06,45.43,46.02,45.6056018957,18935426,0.0,1.0
2022-08-09,45.15,45.18,44.7249,44.92,44.515507109,12826332,0.0,1.0
2022-08-08,45.49,45.52,44.855,45.02,44.6146066351,15466668,0.0,1.0
2022-08-05,44.91,45.07,44.54,45.01,44.6046966825,19533918,0.0,1.0
2022-08-04,45.9,45.93,45.005,45.38,44.9713649289,15249317,0.0,1.0
2022-08-03,44.9,45.82,44.79,45.71,45.2983933649,14943774,0.0,1.0
2022-08-02,45.52,45.7,44.9019,44.92,44.515507109,15005410,0.0,1.0
2022-08-01,45.06,45.427,44.76,45.28,44.8722654028,14153363,0.0,1.0
2022-07-29,45.11,45.49,44.83,45.37,44.9614549763,23701677,0.0,1.0
2022-07-28,44.88,45.865,44.71,45.62,45.2092037915,17576191,0.0,1.0
2022-07-27,44.19,44.79,43.83,44.64,44.238028436,22348959,0.0,1.0
2022-07-26,44.37,44.54,43.75,43.83,43.4353222749,19513029,0.0,1.0
2022-07-25,44.66,44.66,44.11,44.34,43.9407298578,12954742,0.0,1.0
2022-07-22,44.78,44.92,44.25,44.46,44.0596492891,14854639,0.0,1.0
2022-07-21,44.29,44.69,44.07,44.58,44.1785687204,15364579,0.0,1.0
2022-07-20,44.08,44.315,43.66,44.13,43.7326208531,15599217,0.0,1.0
2022-07-19,42.82,44.09,42.65,44.03,43.633521327,22861380,0.0,1.0
2022-07-18,43.3,43.32,42.405,42.6,42.2163981043,16743800,0.0,1.0
2022-07-15,42.5,43.13,42.5,43.07,42.6821658768,19897839,0.0,1.0
2022-07-14,41.79,42.47,41.35,42.33,41.9488293839,17336231,0.0,1.0
2022-07-13,41.854,43.05,41.8,42.7,42.3154976303,16854195,0.0,1.0
2022-07-12,43.58,43.83,42.66,42.86,42.474056872,17385309,0.0,1.0
2022-07-11,43.34,43.68,43.07,43.25,42.8605450237,15279568,0.0,1.0
2022-07-08,43.03,43.605,42.94,43.39,42.9992843602,11816977,0.0,1.0
2022-07-07,42.88,43.36,42.79,43.22,42.8308151659,22316703,0.0,1.0
2022-07-06,42.12,42.93,42.01,42.69,42.3055876777,17250440,0.0,1.0
2022-07-05,41.52,41.97,40.82,41.96,41.5821611374,24448142,0.38,1.0
2022-07-01,42.52,42.7,41.57,42.6,41.8375074269,24338545,0.0,1.0
2022-06-30,42.37,43.14,42.19,42.64,41.8767914714,24947921,0.0,1.0
2022-06-29,43.14,43.26,42.6938,42.88,42.1124957386,13450785,0.0,1.0
2022-06-28,43.91,44.4713,42.99,43.06,42.289273939,20094262,0.0,1.0
2022-06-27,44.29,44.29,43.625,43.77,42.9865657295,22755296,0.0,1.0
2022-06-24,43.44,44.215,43.24,44.1,43.3106590969,30543781,0.0,1.0
2022-06-23,43.41,43.46,42.715,42.93,42.1616007943,33801716,0.0,1.0
2022-06-22,43.47,44.115,43.17,43.57,42.7901455068,19942288,0.0,1.0
