,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2022-11-07,182.5,186.38,182.11,185.61,185.61,7577990,0.0,1.0
2022-11-04,184.84,185.4,180.6,183.42,183.42,7491859,0.0,1.0
2022-11-03,177.97,182.19,177.41,181.13,181.13,6607761,0.0,1.0
2022-11-02,180.93,182.9,178.27,178.5,178.5,8095097,0.0,1.0
2022-11-01,183.87,184.5,181.9,182.22,182.22,9185616,0.0,1.0
2022-10-31,178.06,183.84,178.06,180.9,180.9,13281031,0.0,1.0
2022-10-28,181.47,182.86,176.53,179.98,179.98,10773913,0.0,1.0
2022-10-27,179.89,181.4,177.48,177.9,177.9,9177445,0.0,1.0
2022-10-26,175.32,178.48,175.17,177.09,177.09,6867398,0.0,1.0
2022-10-25,173.06,175.0,172.1668,174.93,174.93,7280616,0.0,1.0
2022-10-24,172.08,174.67,171.61,173.13,173.13,7007718,0.0,1.0
2022-10-21,169.15,173.84,168.85,173.19,173.19,7971263,0.0,1.0
2022-10-20,169.3,171.82,167.94,168.96,168.96,8871544,0.0,1.0
2022-10-19,163.59,169.21,163.59,168.0,168.0,9766782,0.0,1.0
2022-10-18,162.36,163.31,158.96,162.72,162.72,5631214,0.0,1.0
2022-10-17,163.29,164.91,161.1,161.31,161.31,5890355,0.0,1.0
2022-10-14,164.04,165.46,159.93,160.14,160.14,7330891,0.0,1.0
2022-10-13,156.35,165.99,156.35,165.28,165.28,10227528,0.0,1.0
2022-10-12,156.14,158.8058,155.52,157.64,157.64,4942040,0.0,1.0
2022-10-11,154.75,159.93,154.11,157.17,157.17,7533526,0.0,1.0
2022-10-10,161.0,161.47,156.44,157.14,157.14,5904458,0.0,1.0
2022-10-07,162.51,163.93,159.06,160.03,160.03,9972528,0.0,1.0
2022-10-06,157.34,161.94,157.2,161.42,161.42,9498285,0.0,1.0
2022-10-05,155.84,159.73,154.8,158.53,158.53,10633060,0.0,1.0
2022-10-04,154.43,157.875,153.63,157.63,157.63,9520192,0.0,1.0
2022-10-03,148.97,152.34,148.3,151.73,151.73,9597434,0.0,1.0
2022-09-30,144.03,145.135,142.4901,143.67,143.67,9402735,0.0,1.0
2022-09-29,144.505,145.4114,142.27,144.77,144.77,8197558,0.0,1.0
2022-09-28,142.08,146.44,141.4,145.78,145.78,8279791,0.0,1.0
2022-09-27,142.29,143.77,140.46,141.02,141.02,10121025,0.0,1.0
2022-09-26,143.57,145.05,140.89,140.96,140.96,9443962,0.0,1.0
2022-09-23,149.75,150.18,143.66,144.77,144.77,13919660,0.0,1.0
2022-09-22,157.6,158.28,154.74,154.89,154.89,6344457,0.0,1.0
2022-09-21,158.31,158.78,154.95,155.01,155.01,6876977,0.0,1.0
2022-09-20,156.04,156.85,154.3438,156.28,156.28,8955194,0.0,1.0
2022-09-19,152.93,156.95,152.8,156.9,156.9,6813836,0.0,1.0
2022-09-16,160.52,161.14,155.61,156.45,156.45,43741590,0.0,1.0
2022-09-15,160.68,161.695,159.58,160.62,160.62,9664953,0.0,1.0
2022-09-14,160.94,163.57,160.345,163.27,163.27,11160784,0.0,1.0
2022-09-13,161.41,162.66,158.74,159.41,159.41,10308253,0.0,1.0
2022-09-12,162.81,164.53,161.25,162.5,162.5,8920774,0.0,1.0
2022-09-09,158.41,160.65,157.53,159.97,159.97,8262324,0.0,1.0
2022-09-08,155.59,156.38,153.38,155.95,155.95,9232512,0.0,1.0
2022-09-07,154.06,155.82,152.62,155.11,155.11,9442085,0.0,1.0
2022-09-06,159.89,159.99,155.71,157.12,157.12,8458003,0.0,1.0
2022-09-02,158.24,159.125,156.72,157.85,157.85,7526632,0.0,1.0
2022-09-01,156.48,156.88,153.2275,155.54,155.54,8244374,0.0,1.0
2022-08-31,157.61,161.41,156.15,158.06,158.06,13582719,0.0,1.0
2022-08-30,162.32,162.56,158.76,160.62,160.62,8814325,0.0,1.0
2022-08-29,163.89,166.83,163.64,164.63,164.63,8437407,0.0,1.0
2022-08-26,164.18,166.13,162.46,163.41,163.41,7765789,0.0,1.0
2022-08-25,163.92,164.9,162.61,164.62,164.62,8050712,0.0,1.0
2022-08-24,161.66,163.35,160.67,163.19,163.19,9468086,0.0,1.0
2022-08-23,159.1,162.34,158.71,161.99,161.99,10354806,0.0,1.0
2022-08-22,156.69,157.74,154.42,156.9,156.9,9146956,0.0,1.0
2022-08-19,158.46,159.74,157.62,157.69,157.69,6834151,0.0,1.0
2022-08-18,157.15,159.66,157.09,159.02,159.02,6477525,1.42,1.0
2022-08-17,156.63,159.3406,155.51,157.7,156.30425081,6741052,0.0,1.0
2022-08-16,157.41,157.92,155.82,156.41,155.025668163,7218400,0.0,1.0
2022-08-15,155.18,157.79,153.44,156.81,155.422127898,8975241,0.0,1.0
2022-08-12,158.25,159.91,157.14,159.85,158.43522189,7244736,0.0,1.0
2022-08-11,158.11,161.16,157.62,159.62,158.207257542,7888554,0.0,1.0
2022-08-10,156.0,156.47,152.93,155.82,154.440890052,6145793,0.0,1.0
2022-08-09,155.94,157.8,154.6,155.41,154.034518823,5842157,0.0,1.0
2022-08-08,153.59,154.98,153.1524,153.41,152.052220145,5971746,0.0,1.0
2022-08-05,149.64,155.01,149.02,153.64,152.280184493,7170150,0.0,1.0
2022-08-04,155.32,155.44,150.725,151.14,149.802311144,10640043,0.0,1.0
2022-08-03,159.31,159.96,154.35,155.36,153.984961356,8751360,0.0,1.0
2022-08-02,160.89,161.47,158.3,159.14,157.731505859,5928321,0.0,1.0
2022-08-01,161.18,161.86,159.15,160.51,159.089380454,8017771,0.0,1.0
2022-07-29,156.545,164.66,155.9,163.78,162.330438793,17143672,0.0,1.0
2022-07-28,150.69,151.47,148.03,150.39,149.05894914,6574257,0.0,1.0
2022-07-27,148.34,150.2,146.66,149.26,147.938950386,6223030,0.0,1.0
2022-07-26,149.5,150.68,146.5301,147.32,146.016120668,6112846,0.0,1.0
2022-07-25,145.7,148.61,144.18,148.48,147.165853902,6210859,0.0,1.0
2022-07-22,145.56,146.3,143.42,144.19,142.913823236,5889480,0.0,1.0
