,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2017-08-31,83.54,85.16,83.31,83.93,83.93,33154128,0.0,1.0
2017-08-30,81.73,83.28,81.66,83.19,83.19,1717148,0.0,1.0
2017-08-29,82.51,82.6,82.1,82.24,82.24,1827509,0.0,1.0
2017-08-28,82.86,83.04,82.33,82.88,82.88,1364129,0.0,1.0
2017-08-25,82.68,82.92,82.33,82.66,82.66,1440374,0.0,1.0
2017-08-24,82.84,82.92,82.35,82.39,82.39,2029016,0.0,1.0
2017-08-23,82.82,83.47,82.6,82.76,82.76,2594426,0.0,1.0
2017-08-22,82.15,83.16,82.01,83.01,83.01,1644388,0.0,1.0
2017-08-21,81.33,81.92,80.87,81.83,81.83,1650696,0.0,1.0
2017-08-18,80.76,81.42,80.48,81.18,81.18,1940821,0.0,1.0
2017-08-17,81.68,81.95,80.86,80.86,80.86,3318969,0.0,1.0
2017-08-16,81.75,82.03,81.4,82.01,82.01,2397065,0.0,1.0
2017-08-15,81.21,81.66,81.01,81.58,81.58,1902623,0.0,1.0
2017-08-14,81.29,81.79,81.0,81.15,81.15,1596349,0.0,1.0
2017-08-11,81.04,81.25,80.69,80.97,80.97,1943988,0.0,1.0
2017-08-10,81.03,81.19,80.1,80.81,80.81,2408468,0.0,1.0
2017-08-09,81.2,81.62,80.93,81.33,81.33,1515707,0.0,1.0
2017-08-08,81.59,81.95,80.93,81.12,81.12,1559641,0.0,1.0
2017-08-07,81.95,82.23,81.47,81.79,81.79,1589302,0.0,1.0
2017-08-04,81.5,82.13,81.39,82.01,82.01,2237451,0.0,1.0
2017-08-03,82.36,82.6,81.02,81.33,81.33,1896010,0.0,1.0
2017-08-02,82.23,82.54,81.77,82.32,82.32,1490306,0.0,1.0
2017-08-01,82.6,82.84,81.95,82.66,82.66,3298571,0.0,1.0
2017-07-31,84.25,84.33,82.21,82.21,82.21,2166422,0.0,1.0
2017-07-28,84.98,85.5,83.37,83.98,83.98,2349859,0.0,1.0
2017-07-27,85.16,85.98,84.02,84.59,84.59,2190615,0.38,1.0
2017-07-26,85.14,85.35,84.2,84.81,84.4307,1488926,0.0,1.0
2017-07-25,85.8,86.36,85.12,85.49,85.1077,2195271,0.0,1.0
2017-07-24,84.49,85.15,84.11,84.35,83.9728,1815010,0.0,1.0
2017-07-21,84.83,85.04,84.25,84.54,84.1619,1730448,0.0,1.0
2017-07-20,85.46,85.48,84.62,84.83,84.4506,1539677,0.0,1.0
2017-07-19,84.23,85.35,84.19,85.35,84.9683,1453399,0.0,1.0
2017-07-18,84.38,84.55,83.83,84.0,83.6243,1153799,0.0,1.0
2017-07-17,84.78,85.0,84.22,84.66,84.2814,1256868,0.0,1.0
2017-07-14,83.98,84.97,83.79,84.75,84.371,1397666,0.0,1.0
2017-07-13,84.64,84.96,83.71,83.8,83.4252,1636678,0.0,1.0
2017-07-12,83.35,84.97,83.0,84.84,84.4606,2245597,0.0,1.0
2017-07-11,82.58,82.67,81.8,82.57,82.2007,1303353,0.0,1.0
2017-07-10,81.8,83.09,81.55,82.57,82.2007,1470534,0.0,1.0
2017-07-07,81.77,82.08,81.19,82.03,81.6631,1831842,0.0,1.0
2017-07-06,81.04,81.86,80.48,81.59,81.2251,2192517,0.0,1.0
2017-07-05,82.08,82.08,80.69,81.22,80.8568,1494223,0.0,1.0
2017-07-03,81.27,82.43,81.02,82.13,81.7627,1180328,0.0,1.0
2017-06-30,80.52,81.19,80.14,80.71,80.3491,2336989,0.0,1.0
2017-06-29,81.16,82.16,80.33,80.46,80.1002,2453204,0.0,1.0
2017-06-28,81.41,81.62,81.08,81.28,80.9165,1164881,0.0,1.0
2017-06-27,81.3,81.3,80.53,80.69,80.3291,1532246,0.0,1.0
2017-06-26,81.22,81.64,80.72,81.16,80.797,1580072,0.0,1.0
2017-06-23,81.2,81.56,80.92,80.99,80.6278,1833020,0.0,1.0
2017-06-22,81.0,81.68,80.98,81.34,80.9762,1528484,0.0,1.0
2017-06-21,83.44,83.44,80.85,80.92,80.5581,2583975,0.0,1.0
2017-06-20,83.2,83.67,82.9,83.12,82.7483,1630022,0.0,1.0
2017-06-19,82.66,83.82,82.66,83.56,83.1863,2116047,0.0,1.0
2017-06-16,82.62,82.84,81.72,82.47,82.1012,4577614,0.0,1.0
2017-06-15,82.72,82.8,80.81,82.17,81.8025,3365441,0.0,1.0
2017-06-14,83.72,83.93,82.45,82.82,82.4496,3215779,0.0,1.0
2017-06-13,82.14,83.9,82.09,83.88,83.5049,3042376,0.0,1.0
2017-06-12,82.74,83.32,81.95,82.14,81.7727,3381412,0.0,1.0
2017-06-09,81.75,82.97,81.57,82.9,82.5293,2853163,0.0,1.0
2017-06-08,81.35,81.81,81.18,81.67,81.3048,2492105,0.0,1.0
2017-06-07,81.29,81.41,80.64,81.35,80.9862,2002414,0.0,1.0
2017-06-06,80.45,81.64,80.26,81.06,80.6975,1645854,0.0,1.0
2017-06-05,80.25,80.82,80.18,80.66,80.2993,1465326,0.0,1.0
2017-06-02,80.09,80.8,80.09,80.51,80.1499,1951440,0.0,1.0
2017-06-01,78.78,80.06,78.78,80.04,79.682,2156959,0.0,1.0
2017-05-31,77.78,78.99,77.35,78.92,78.5671,3118819,0.0,1.0
2017-05-30,77.72,77.92,77.4,77.68,77.3326,1379259,0.0,1.0
2017-05-26,77.31,78.05,77.21,77.85,77.5018,1101591,0.0,1.0
2017-05-25,78.76,78.95,77.13,77.39,77.0439,1724340,0.0,1.0
2017-05-24,77.5,78.54,77.48,78.38,78.0295,2601033,0.0,1.0
2017-05-23,77.57,77.95,77.27,77.34,76.9941,2016710,0.0,1.0
2017-05-22,78.12,78.6,77.31,77.38,77.0339,2565840,0.0,1.0
2017-05-19,77.21,78.55,77.09,77.82,77.472,2430468,0.0,1.0
2017-05-18,76.3,77.42,75.5,77.04,76.6955,2591122,0.0,1.0
2017-05-17,79.1,79.1,76.5,76.56,76.2176,2540286,0.0,1.0
2017-05-16,79.7,79.84,79.06,79.1,78.7463,1784268,0.0,1.0
2017-05-15,79.6,80.4,79.31,79.46,79.1046,2884822,0.0,1.0
2017-05-12,78.79,79.35,78.77,79.3,78.9454,1993034,0.0,1.0
2017-05-11,78.71,79.19,77.44,78.96,78.6069,2668317,0.38,1.0
2017-05-10,79.39,79.68,78.83,79.18,78.4484,3515195,0.0,1.0
2017-05-09,80.17,80.52,79.23,79.49,78.7555,2174855,0.0,1.0
2017-05-08,80.99,80.99,79.95,80.26,79.5184,2638006,0.0,1.0
2017-05-05,79.16,81.26,78.85,81.14,80.3902,5351425,0.0,1.0
2017-05-04,79.3,79.3,78.22,78.79,78.062,4425938,0.0,1.0
2017-05-03,79.46,79.73,78.08,79.0,78.27,4714000,0.0,1.0
2017-05-02,79.76,80.0,79.16,79.94,79.2013,2314645,0.0,1.0
2017-05-01,79.91,80.08,79.26,79.49,78.7555,1926806,0.0,1.0
2017-04-28,80.2,80.2,79.17,79.75,79.0131,1955327,0.0,1.0
2017-04-27,81.59,81.59,79.95,80.13,79.3896,3399861,0.0,1.0
2017-04-26,82.01,82.28,81.38,81.61,80.8559,2453192,0.0,1.0
2017-04-25,81.32,82.3,81.01,82.21,81.4504,3243319,0.0,1.0
2017-04-24,79.42,80.07,79.24,79.37,78.6366,2345907,0.0,1.0
2017-04-21,78.41,78.8,78.12,78.65,77.9233,2098744,0.0,1.0
2017-04-20,78.08,79.02,77.85,78.29,77.5666,2319182,0.0,1.0
2017-04-19,78.21,78.29,77.51,77.77,77.0514,2428549,0.0,1.0
2017-04-18,77.71,78.27,77.39,77.88,77.1604,2256698,0.0,1.0
2017-04-17,77.72,78.12,77.27,78.09,77.3684,2353739,0.0,1.0
2017-04-13,78.17,78.2,77.34,77.44,76.7244,2620307,0.0,1.0
2017-04-12,79.01,79.32,78.3,78.43,77.7053,1975800,0.0,1.0
2017-04-11,79.61,79.97,78.89,79.14,78.4087,1992299,0.0,1.0
2017-04-10,79.89,80.19,79.57,80.0,79.2608,2919806,0.0,1.0
2017-04-07,80.25,80.5,79.92,80.05,79.3103,1917738,0.0,1.0
2017-04-06,80.59,81.14,80.22,80.64,79.8949,1935111,0.0,1.0
