,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2022-11-07,100.88,101.56,98.99,100.43,100.43,11355242,0.0,1.0
2022-11-04,101.15,101.16,98.11,99.58,99.58,11035804,0.0,1.0
2022-11-03,100.2,100.7,98.56,99.25,99.25,8978373,0.0,1.0
2022-11-02,105.45,106.08,101.785,101.82,101.82,9591406,0.0,1.0
2022-11-01,107.7,108.84,105.64,106.0,106.0,7955761,0.0,1.0
2022-10-31,105.66,106.9,104.82,106.54,106.54,8814813,0.0,1.0
2022-10-28,104.08,106.09,103.525,105.95,105.95,7250889,0.0,1.0
2022-10-27,105.805,106.87,104.31,104.44,104.44,8673519,0.0,1.0
2022-10-26,103.53,107.43,103.53,104.63,104.63,9223759,0.0,1.0
2022-10-25,102.16,104.7299,102.03,104.36,104.36,7687535,0.0,1.0
2022-10-24,102.12,103.19,100.12,101.72,101.72,8221477,0.0,1.0
2022-10-21,98.35,102.3,97.89,102.04,102.04,10193360,0.0,1.0
2022-10-20,98.23,100.75,98.11,98.59,98.59,8212442,0.0,1.0
2022-10-19,100.44,101.865,98.5,98.99,98.99,11730993,0.0,1.0
2022-10-18,99.87,100.3696,97.635,98.48,98.48,8533516,0.0,1.0
2022-10-17,96.38,97.97,96.26,97.33,97.33,7083842,0.0,1.0
2022-10-14,97.47,98.09,94.33,94.45,94.45,8208884,0.0,1.0
2022-10-13,91.57,96.97,90.71,96.64,96.64,11025428,0.0,1.0
2022-10-12,93.16,94.07,92.2,93.41,93.41,6156217,0.0,1.0
2022-10-11,94.81,95.06,92.65,93.1,93.1,8900901,0.0,1.0
2022-10-10,97.59,97.74,94.42,95.16,95.16,9532334,0.0,1.0
2022-10-07,98.51,98.8,96.4469,97.16,97.16,7051019,0.0,1.0
2022-10-06,100.43,101.46,99.8701,100.04,100.04,6728200,0.0,1.0
2022-10-05,100.04,101.22,98.7,100.8,100.8,7562771,0.0,1.0
2022-10-04,98.68,101.52,98.2301,101.44,101.44,10229002,0.0,1.0
2022-10-03,95.73,97.78,94.504,97.13,97.13,9468403,0.0,1.0
2022-09-30,96.5,97.4778,94.28,94.33,94.33,12094936,0.0,1.0
2022-09-29,98.53,98.6,96.23,97.45,97.45,9435058,0.0,1.0
2022-09-28,95.79,99.87,95.45,99.4,99.4,12895460,0.0,1.0
2022-09-27,99.53,99.64,95.432,95.85,95.85,13360187,0.0,1.0
2022-09-26,98.95,100.66,98.06,98.12,98.12,9760467,0.0,1.0
2022-09-23,100.62,101.18,98.02,99.5,99.5,11976927,0.0,1.0
2022-09-22,104.21,104.66,102.02,102.16,102.16,10551159,0.0,1.0
2022-09-21,107.39,108.04,104.49,104.49,104.49,9776355,0.0,1.0
2022-09-20,108.28,108.41,106.86,107.57,107.57,6957409,0.0,1.0
2022-09-19,107.53,109.2245,107.036,109.17,109.17,7979457,0.0,1.0
2022-09-16,109.21,109.58,106.96,108.25,108.25,15978828,0.0,1.0
2022-09-15,112.39,114.41,110.71,110.77,110.77,9739754,0.0,1.0
2022-09-14,111.85,112.74,109.88,112.5,112.5,8610446,0.0,1.0
2022-09-13,113.05,113.82,111.17,111.76,111.76,10504583,0.0,1.0
2022-09-12,116.14,117.49,115.27,116.39,116.39,7923353,0.0,1.0
2022-09-09,113.27,115.525,113.19,115.18,115.18,9573346,0.0,1.0
