,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-05-31,9.34,9.47,9.3,9.44,9.44,46337464,0.0,1.0
2019-05-30,9.37,9.51,9.29,9.47,9.47,50531402,0.0,1.0
2019-05-29,9.31,9.39,9.15,9.37,9.37,44587955,0.0,1.0
2019-05-28,9.41,9.54,9.27,9.36,9.36,72211711,0.0,1.0
2019-05-24,9.62,9.675,9.435,9.45,9.45,47533063,0.0,1.0
2019-05-23,9.81,9.8265,9.47,9.56,9.56,56841498,0.0,1.0
2019-05-22,9.95,10.12,9.88,9.9,9.9,51644074,0.0,1.0
2019-05-21,9.96,9.96,9.8,9.96,9.96,60413441,0.0,1.0
2019-05-20,9.91,10.06,9.78,9.88,9.88,52207128,0.0,1.0
2019-05-17,10.01,10.16,9.98,10.0,10.0,37062484,0.0,1.0
2019-05-16,10.22,10.29,10.06,10.13,10.13,54505514,0.0,1.0
2019-05-15,10.15,10.39,10.115,10.26,10.26,53716381,0.0,1.0
2019-05-14,9.94,10.35,9.91,10.32,10.32,70520502,0.0,1.0
2019-05-13,9.85,10.065,9.82,9.87,9.87,60136022,0.0,1.0
2019-05-10,10.02,10.18,9.77,10.13,10.13,63130239,0.0,1.0
2019-05-09,10.11,10.21,10.02,10.04,10.04,59499847,0.0,1.0
2019-05-08,10.08,10.25,10.08,10.16,10.16,47349335,0.0,1.0
2019-05-07,10.34,10.36,10.06,10.11,10.11,56894190,0.0,1.0
2019-05-06,10.24,10.49,10.21,10.43,10.43,43631823,0.0,1.0
2019-05-03,10.3,10.5,10.24,10.5,10.5,68815516,0.0,1.0
2019-05-02,10.1501,10.4,10.08,10.25,10.25,79225838,0.0,1.0
2019-05-01,10.15,10.42,10.09,10.1,10.1,99374438,0.0,1.0
2019-04-30,10.23,10.53,9.96,10.17,10.17,177185459,0.0,1.0
2019-04-29,9.57,9.74,9.54,9.73,9.73,66009501,0.0,1.0
2019-04-26,9.12,9.59,9.11,9.57,9.57,74289722,0.0,1.0
2019-04-25,9.22,9.23,8.98,9.12,9.12,62378004,0.0,1.0
2019-04-24,9.31,9.35,9.21,9.32,9.32,28785063,0.0,1.0
2019-04-23,9.3,9.37,9.22,9.33,9.33,40504646,0.0,1.0
2019-04-22,9.25,9.35,9.18,9.32,9.32,67122510,0.0,1.0
2019-04-18,9.13,9.35,9.095,9.35,9.35,51509079,0.0,1.0
2019-04-17,9.16,9.18,9.06,9.12,9.12,48065082,0.0,1.0
2019-04-16,9.04,9.185,8.99,9.14,9.14,60235960,0.0,1.0
2019-04-15,9.01,9.05,8.79,8.98,8.98,82946746,0.0,1.0
2019-04-12,9.15,9.21,8.99,9.0,9.0,69332035,0.0,1.0
2019-04-11,9.12,9.26,9.095,9.12,9.12,54814779,0.0,1.0
