,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2022-11-07,360.01,362.96,358.5188,362.56,362.56,2526872,0.0,1.0
2022-11-04,354.0,358.38,351.23,357.91,357.91,3172674,0.0,1.0
2022-11-03,347.5,350.67,342.59,348.87,348.87,2515632,0.0,1.0
2022-11-02,347.62,357.44,346.74,349.79,349.79,3224731,0.0,1.0
2022-11-01,345.13,348.69,343.77,348.58,348.58,2316558,0.0,1.0
2022-10-31,341.07,346.18,340.57,344.51,344.51,2224025,0.0,1.0
2022-10-28,338.52,342.58,336.0,341.82,341.82,1677052,0.0,1.0
2022-10-27,339.31,341.93,336.53,337.18,337.18,1998784,0.0,1.0
2022-10-26,334.52,338.67,334.14,335.69,335.69,2177102,0.0,1.0
2022-10-25,327.86,333.6,325.918,332.4,332.4,1837717,0.0,1.0
2022-10-24,328.5,331.2363,325.85,328.7,328.7,2232767,0.0,1.0
2022-10-21,311.0,325.775,309.4939,325.1,325.1,3545738,0.0,1.0
2022-10-20,312.1,316.05,309.0,310.81,310.81,2382314,0.0,1.0
2022-10-19,312.61,314.79,308.0601,311.76,311.76,2363833,0.0,1.0
2022-10-18,321.67,324.48,312.0,313.85,313.85,6428583,0.0,1.0
2022-10-17,304.41,311.62,304.14,306.71,306.71,3118594,0.0,1.0
2022-10-14,307.46,311.615,299.07,299.99,299.99,2398350,0.0,1.0
2022-10-13,290.42,308.755,287.75,307.07,307.07,2724865,0.0,1.0
2022-10-12,293.99,299.78,291.71,295.31,295.31,1763838,0.0,1.0
2022-10-11,298.01,302.52,293.92,294.21,294.21,2392772,0.0,1.0
2022-10-10,303.63,304.72,298.43,300.54,300.54,1309747,0.0,1.0
2022-10-07,304.0,305.15,299.15,301.08,301.08,1790105,0.0,1.0
2022-10-06,307.39,309.08,303.4201,304.67,304.67,1367385,0.0,1.0
2022-10-05,306.58,310.21,303.6,309.0,309.0,1992774,0.0,1.0
2022-10-04,306.8,315.16,305.875,314.87,314.87,2399524,0.0,1.0
2022-10-03,297.17,301.23,291.1,299.15,299.15,1938770,0.0,1.0
2022-09-30,296.0,301.09,292.7,293.05,293.05,1970815,0.0,1.0
2022-09-29,297.07,299.35,291.55,296.11,296.11,1930765,0.0,1.0
2022-09-28,294.0,302.41,292.46,300.79,300.79,2289657,0.0,1.0
2022-09-27,297.5,299.15,288.6193,291.38,291.38,2007408,0.0,1.0
2022-09-26,299.0,302.1,292.31,294.62,294.62,2308809,0.0,1.0
2022-09-23,307.55,309.79,297.46,301.97,301.97,2918467,0.0,1.0
2022-09-22,322.32,323.385,311.2,312.92,312.92,2197872,0.0,1.0
2022-09-21,324.92,329.79,320.63,320.71,320.71,1796654,0.0,1.0
2022-09-20,325.7,326.8,320.01,323.26,323.26,1569913,0.0,1.0
2022-09-19,320.57,329.29,320.54,328.66,328.66,1652686,0.0,1.0
2022-09-16,326.38,329.0,319.79,326.21,326.21,2946756,0.0,1.0
2022-09-15,328.73,335.28,327.59,331.62,331.62,1489400,0.0,1.0
2022-09-14,328.45,330.93,323.5,327.26,327.26,1953279,0.0,1.0
2022-09-13,336.08,336.52,326.83,328.39,328.39,2242113,0.0,1.0
2022-09-12,341.66,344.365,340.09,342.58,342.58,1563384,0.0,1.0
2022-09-09,337.98,341.03,337.03,340.1,340.1,1445701,0.0,1.0
2022-09-08,330.29,335.81,327.36,335.38,335.38,1755566,0.0,1.0
2022-09-07,324.25,332.155,323.25,330.56,330.56,1496739,0.0,1.0
2022-09-06,332.32,333.245,323.46,326.49,326.49,1540751,0.0,1.0
2022-09-02,334.68,340.315,329.97,331.48,331.48,2215460,0.0,1.0
2022-09-01,329.87,333.69,324.62,333.5,333.5,1575083,0.0,1.0
2022-08-31,331.55,335.14,329.68,332.67,332.67,2487973,2.5,1.0
2022-08-30,335.0,336.01,331.18,333.63,331.141486708,1830322,0.0,1.0
2022-08-29,333.92,336.4,332.01,333.92,331.429323627,1826172,0.0,1.0
2022-08-26,348.34,348.74,336.0,336.4,333.890825551,1703941,0.0,1.0
2022-08-25,344.45,346.86,342.11,346.49,343.905565236,1763878,0.0,1.0
2022-08-24,339.02,344.32,338.49,341.94,339.389503237,1530842,0.0,1.0
2022-08-23,341.95,344.0725,339.03,340.18,337.642630904,1538005,0.0,1.0
2022-08-22,342.44,344.53,340.76,342.42,339.865922964,1723896,0.0,1.0
2022-08-19,351.0,351.86,347.5,349.27,346.66482949,1812266,0.0,1.0
2022-08-18,352.66,355.1,350.86,354.52,351.875670257,1102200,0.0,1.0
2022-08-17,351.9,355.59,350.77,353.74,351.1014882,1576303,0.0,1.0
2022-08-16,352.99,356.468,352.02,354.97,352.322313751,1740922,0.0,1.0
2022-08-15,351.0,358.62,349.05,355.85,353.195749918,2045684,0.0,1.0
2022-08-12,353.44,354.56,350.146,353.82,351.180891488,2369177,0.0,1.0
2022-08-11,350.0,356.05,349.775,351.68,349.056853537,2361191,0.0,1.0
2022-08-10,341.36,349.7,341.35,347.91,345.314973595,2459505,0.0,1.0
2022-08-09,336.15,338.17,334.57,336.62,334.109184593,1587947,0.0,1.0
2022-08-08,337.11,338.84,334.34,334.68,332.183654862,1460469,0.0,1.0
2022-08-05,330.9,336.91,329.67,334.67,332.173729451,1876393,0.0,1.0
2022-08-04,333.28,334.3,330.62,331.87,329.394614375,1533372,0.0,1.0
2022-08-03,332.07,335.51,329.62,333.17,330.684917803,1770613,0.0,1.0
2022-08-02,329.5,331.83,327.22,327.88,325.434375392,1862939,0.0,1.0
2022-08-01,331.73,334.8,329.01,332.08,329.603048005,1476496,0.0,1.0
2022-07-29,329.5,335.18,329.5,333.39,330.903276845,2112387,0.0,1.0
2022-07-28,325.3,329.98,321.89,329.11,326.655200943,1820696,0.0,1.0
2022-07-27,320.29,326.39,318.3786,324.54,322.119288122,2028448,0.0,1.0
2022-07-26,321.77,324.29,317.76,318.55,316.173966942,2054744,0.0,1.0
2022-07-25,325.97,327.2899,322.6,324.12,321.702420861,4024480,0.0,1.0
2022-07-22,327.11,329.045,322.19,323.93,321.513838052,1830279,0.0,1.0
2022-07-21,320.51,327.16,319.845,326.54,324.10437032,2518823,0.0,1.0
2022-07-20,317.28,322.17,316.31,321.45,319.052336128,3489808,0.0,1.0
2022-07-19,303.59,319.14,303.5,318.05,315.677696393,5641124,0.0,1.0
2022-07-18,305.76,311.25,298.71,301.26,299.012931348,6767934,0.0,1.0
2022-07-15,286.5,296.43,285.1536,293.87,291.67805263,3457630,0.0,1.0
2022-07-14,284.24,284.24,277.84,281.59,279.48964794,3171949,0.0,1.0
2022-07-13,290.51,291.1867,285.81,290.15,287.985799743,1884091,0.0,1.0
2022-07-12,289.71,299.08,289.51,292.53,290.348047558,1772558,0.0,1.0
2022-07-11,293.2,296.5399,291.875,293.18,290.993199272,1520253,0.0,1.0
2022-07-08,300.5,300.8916,295.07,296.47,294.258659486,1438883,0.0,1.0
2022-07-07,297.66,299.07,293.6,298.6,296.372772026,2046455,0.0,1.0
2022-07-06,296.27,297.34,290.6,293.76,291.568873109,1774514,0.0,1.0
2022-07-05,293.0,297.35,288.36,297.2,294.983214488,2483079,0.0,1.0
2022-07-01,295.27,300.33,291.7198,299.23,296.998072918,1749411,0.0,1.0
2022-06-30,296.58,300.335,292.23,297.02,294.80455709,2669548,0.0,1.0
2022-06-29,303.37,307.44,299.91,303.28,301.017864367,2475949,0.0,1.0
2022-06-28,305.9,308.97,299.18,299.49,297.256133604,2329015,0.0,1.0
2022-06-27,303.06,304.32,298.8784,300.78,298.536511621,2091675,0.0,1.0
2022-06-24,291.0,303.13,290.0,302.75,300.491817585,3984332,0.0,1.0
2022-06-23,283.76,286.59,278.93,286.17,284.035486171,2547001,0.0,1.0
2022-06-22,282.29,286.01,281.04,284.54,282.417644181,2464716,0.0,1.0
2022-06-21,287.77,288.07,282.98,284.81,282.685630277,2506349,0.0,1.0
2022-06-17,282.13,286.2599,278.15,279.79,277.703073962,5234356,0.0,1.0
2022-06-16,282.68,286.1299,279.15,284.98,282.854362264,2777306,0.0,1.0
2022-06-15,287.16,294.48,284.17,290.07,287.906396456,2725792,0.0,1.0
2022-06-14,284.33,289.1843,281.3,282.54,280.432561983,2487935,0.0,1.0
2022-06-13,279.0,286.42,278.32,283.32,281.20674404,4218123,0.0,1.0
2022-06-10,296.99,298.65,286.8504,287.02,284.879146105,3870276,0.0,1.0
2022-06-09,313.56,314.1441,304.02,304.22,301.950853,2897621,0.0,1.0
2022-06-08,318.34,319.545,312.8,314.68,312.332832891,1438114,0.0,1.0
2022-06-07,318.28,321.84,316.6567,321.51,319.111888594,2516789,0.0,1.0
2022-06-06,323.0,325.21,319.79,320.51,318.119347495,1099800,0.0,1.0
2022-06-03,320.88,322.5,317.5,318.68,316.302997285,1238861,0.0,1.0
2022-06-02,320.59,325.199,319.225,324.25,321.831451204,1957644,0.0,1.0
2022-06-01,327.0,329.27,315.83,321.85,319.449352567,2330155,0.0,1.0
2022-05-31,324.01,329.72,322.66,326.85,324.41205806,2722943,2.0,1.0
2022-05-27,326.75,328.67,323.19,328.58,324.145701801,2106682,0.0,1.0
2022-05-26,318.3,325.5,317.98,323.63,319.262503725,2440352,0.0,1.0
2022-05-25,311.25,317.6,309.98,314.9,310.650318027,1929450,0.0,1.0
2022-05-24,315.35,315.8,306.43,313.95,309.713138598,1870879,0.0,1.0
2022-05-23,312.72,321.83,311.07,316.61,312.337240999,2653032,0.0,1.0
2022-05-20,311.26,312.59,299.41,306.8,302.659630266,2201054,0.0,1.0
2022-05-19,303.82,309.99,303.39,308.2,304.040736792,2108751,0.0,1.0
2022-05-18,309.0,312.86,304.88,306.73,302.590574939,2033234,0.0,1.0
2022-05-17,309.87,314.315,308.13,312.97,308.746364029,2096198,0.0,1.0
2022-05-16,305.95,306.47,300.55,303.44,299.344974602,1569047,0.0,1.0
2022-05-13,303.63,309.63,303.57,306.99,302.847066151,2152474,0.0,1.0
2022-05-12,300.0,302.89,293.9,299.41,295.369360814,3408272,0.0,1.0
2022-05-11,305.06,310.91,301.0,301.55,297.480480791,2320564,0.0,1.0
2022-05-10,311.72,315.15,300.65,305.06,300.943112154,2798422,0.0,1.0
2022-05-09,308.92,313.77,304.98,308.89,304.721425009,3233951,0.0,1.0
2022-05-06,312.28,313.71,306.0583,312.96,308.736498983,2375613,0.0,1.0
2022-05-05,320.5,320.68,308.69,313.07,308.845014496,2622086,0.0,1.0
2022-05-04,315.83,324.8,312.17,324.11,319.736025963,2602845,0.0,1.0
2022-05-03,311.52,319.52,311.32,314.66,310.413556908,2606151,0.0,1.0
2022-05-02,305.81,311.37,302.21,310.42,306.230777142,2968062,0.0,1.0
2022-04-29,317.25,319.08,304.71,305.49,301.367309159,3129608,0.0,1.0
2022-04-28,317.12,319.36,312.15,318.41,314.11294939,2178499,0.0,1.0
2022-04-27,312.14,319.24,312.14,313.23,309.002855241,2469304,0.0,1.0
2022-04-26,317.95,321.6,312.8,313.12,308.894339729,2712432,0.0,1.0
2022-04-25,316.38,322.16,312.74,321.42,317.082328422,3093646,0.0,1.0
2022-04-22,332.31,332.5,319.47,319.77,315.45459573,3125194,0.0,1.0
