,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-05-31,189.64,190.29,188.66,189.85,189.85,3681598,0.0,1.0
2019-05-30,190.13,192.5,190.09,191.08,191.08,3029849,0.0,1.0
2019-05-29,190.28,191.88,188.03,189.99,189.99,4569945,0.0,1.0
2019-05-28,194.38,196.47,191.35,191.55,191.55,5165764,0.0,1.0
2019-05-24,192.54,193.86,190.41,193.59,193.59,3799486,0.0,1.0
2019-05-23,188.45,192.54,186.27,192.0,192.0,7754163,0.0,1.0
2019-05-22,190.49,192.22,188.05,188.91,188.91,5706339,0.0,1.0
2019-05-21,187.13,192.52,186.34,191.45,191.45,8555840,0.0,1.0
2019-05-20,191.13,192.86,190.61,190.95,190.95,4782752,0.0,1.0
2019-05-17,190.86,194.495,190.75,192.58,192.58,5223777,0.0,1.0
2019-05-16,192.47,194.96,192.2,192.38,192.38,3853985,0.0,1.0
2019-05-15,190.81,192.81,190.27,191.76,191.76,3355797,0.0,1.0
2019-05-14,190.5,192.76,190.01,191.62,191.62,3663632,0.0,1.0
2019-05-13,191.0,191.66,189.14,190.34,190.34,3326028,0.0,1.0
2019-05-10,193.21,195.49,190.01,194.58,194.58,3863576,0.0,1.0
2019-05-09,193.31,195.077,191.59,194.58,194.58,2917943,0.0,1.0
2019-05-08,194.49,196.61,193.68,195.17,195.17,3122569,0.0,1.0
2019-05-07,196.75,197.65,192.96,194.77,194.77,4622108,0.0,1.0
2019-05-06,198.74,199.93,198.31,199.63,199.63,2619675,0.0,1.0
2019-05-03,202.0,202.31,200.32,200.56,200.56,3583835,0.0,1.0
2019-05-02,199.3,201.06,198.8,201.01,201.01,2810109,0.0,1.0
2019-05-01,203.2,203.52,198.66,198.8,198.8,4644666,0.0,1.0
2019-04-30,201.55,203.75,200.79,203.7,203.7,3415616,0.0,1.0
2019-04-29,203.31,203.8,200.34,202.16,202.16,3785216,0.0,1.0
2019-04-26,205.88,206.14,203.34,203.61,203.61,3560313,0.0,1.0
2019-04-25,206.01,207.72,205.06,206.5,206.5,3292133,0.0,1.0
2019-04-24,206.16,208.295,205.54,206.72,206.72,2750949,0.0,1.0
2019-04-23,205.14,207.33,203.43,206.05,206.05,3702592,0.0,1.0
2019-04-22,204.11,206.25,204.0,204.78,204.78,2594207,0.0,1.0
2019-04-18,206.02,207.775,205.1,205.66,205.66,3162460,0.0,1.0
2019-04-17,205.34,206.84,205.32,206.55,206.55,3271891,0.0,1.0
2019-04-16,205.25,205.99,204.29,204.47,204.47,3271592,0.0,1.0
2019-04-15,204.16,205.14,203.404,204.86,204.86,3049880,0.0,1.0
2019-04-12,202.13,204.26,202.13,203.85,203.85,3097939,0.0,1.0
2019-04-11,199.9,201.5,199.03,201.48,201.48,2465415,0.0,1.0
2019-04-10,201.26,201.6,198.02,199.43,199.43,3587644,0.0,1.0
2019-04-09,202.26,202.71,200.46,200.9,200.9,3721698,0.0,1.0
2019-04-08,201.37,203.79,201.24,203.55,203.55,3040935,0.0,1.0
2019-04-05,200.86,203.13,200.61,202.06,202.06,3615266,0.0,1.0
2019-04-04,199.0,200.49,198.02,200.45,200.45,3138816,0.0,1.0
2019-04-03,194.98,198.785,194.11,198.61,198.61,4581479,0.0,1.0
2019-04-02,195.5,195.5,194.015,194.31,194.31,2717818,0.0,1.0
2019-04-01,192.99,195.9,192.85,195.64,195.64,5381379,0.0,1.0
2019-03-29,190.85,192.04,190.14,191.89,191.89,4674122,0.0,1.0
2019-03-28,189.91,191.3999,189.16,190.06,190.06,3326131,0.0,1.0
2019-03-27,189.65,191.61,188.39,189.25,189.25,4298373,0.0,1.0
2019-03-26,190.69,192.19,188.74,189.34,189.34,4143254,0.0,1.0
2019-03-25,188.75,191.71,188.51,189.68,189.68,3845892,0.0,1.0
2019-03-22,189.31,192.05,188.67,188.75,188.75,5173899,0.0,1.0
2019-03-21,185.5,190.0,185.5,189.97,189.97,4756126,0.0,1.0
2019-03-20,184.3,187.12,183.43,186.1,186.1,4772648,0.0,1.0
2019-03-19,184.19,185.82,183.48,184.13,184.13,4437087,0.0,1.0
2019-03-18,182.53,183.48,182.33,183.42,183.42,4395846,0.0,1.0
2019-03-15,182.3,182.49,179.57,182.23,182.23,8059489,0.0,1.0
2019-03-14,181.28,181.74,180.5,181.61,181.61,4393038,0.0,1.0
2019-03-13,183.24,183.78,181.0801,181.14,181.14,4528250,1.36,1.0
2019-03-12,183.43,184.27,182.33,184.0,182.6288,3776971,0.0,1.0
2019-03-11,182.0,183.1966,181.2,182.44,181.0804,3866236,0.0,1.0
2019-03-08,181.49,181.91,179.52,181.23,179.8795,3867055,0.0,1.0
2019-03-07,184.39,184.62,181.58,182.51,181.1499,4122194,0.0,1.0
2019-03-06,184.53,184.97,183.84,184.45,183.0755,4460878,0.0,1.0
2019-03-05,184.24,185.12,183.25,184.0,182.6288,3690994,0.0,1.0
2019-03-04,186.2,186.24,182.1025,183.81,182.4402,5046772,0.0,1.0
2019-03-01,185.82,186.56,182.861,185.17,183.7901,5481417,0.0,1.0
2019-02-28,183.6,185.19,183.11,185.14,183.7603,8060552,0.0,1.0
2019-02-27,187.9,188.5,183.21,183.67,182.3013,8766217,0.0,1.0
2019-02-26,185.59,188.47,182.8,188.3,186.8968,13635082,0.0,1.0
2019-02-25,192.75,193.4199,189.96,189.98,188.5643,6190665,0.0,1.0
2019-02-22,191.69,192.54,191.62,192.39,190.9563,3321635,0.0,1.0
2019-02-21,191.85,192.37,190.61,191.82,190.3905,3094240,0.0,1.0
2019-02-20,192.39,192.4,191.11,191.85,190.4203,3970075,0.0,1.0
2019-02-19,191.71,193.19,191.28,192.33,190.8967,3828464,0.0,1.0
2019-02-15,189.87,192.62,189.05,192.39,190.9563,4997891,0.0,1.0
2019-02-14,187.5,188.93,186.0025,187.71,186.3112,2600831,0.0,1.0
2019-02-13,186.3,188.68,185.92,188.41,187.006,4147029,0.0,1.0
2019-02-12,183.84,186.4,183.52,185.52,184.1375,3773229,0.0,1.0
2019-02-11,185.0,185.42,182.75,182.92,181.5569,3729222,0.0,1.0
2019-02-08,183.05,184.58,182.72,184.54,183.1648,2792477,0.0,1.0
2019-02-07,183.74,184.9231,182.45,184.07,182.6983,2793487,0.0,1.0
2019-02-06,186.69,186.69,184.06,184.72,183.3435,3072472,0.0,1.0
2019-02-05,186.89,186.99,184.69,186.39,185.001,4135159,0.0,1.0
2019-02-04,184.3,186.43,183.84,186.43,185.0407,3050201,0.0,1.0
2019-02-01,184.03,185.15,182.83,184.37,182.9961,4513184,0.0,1.0
2019-01-31,181.5,184.67,181.06,183.53,182.1623,5138001,0.0,1.0
2019-01-30,180.47,184.2,179.78,182.18,180.8224,5197765,0.0,1.0
2019-01-29,178.96,180.15,178.09,179.69,178.3509,3686877,0.0,1.0
2019-01-28,178.97,179.99,177.41,179.83,178.4899,4091373,0.0,1.0
2019-01-25,179.78,180.87,178.61,180.4,179.0556,4502516,0.0,1.0
2019-01-24,177.0,177.53,175.3,177.29,175.9688,3860309,0.0,1.0
2019-01-23,176.59,178.06,174.53,176.89,175.5718,4910402,0.0,1.0
2019-01-22,177.49,178.6048,175.3626,177.11,175.7902,6272715,0.0,1.0
2019-01-18,176.98,180.04,176.18,179.58,178.2418,6371422,0.0,1.0
2019-01-17,174.01,175.46,172.0,174.87,173.5669,6499188,0.0,1.0
2019-01-16,177.09,177.93,175.86,177.04,175.7207,4075410,0.0,1.0
2019-01-15,176.08,177.8212,175.2,176.47,175.1549,5016065,0.0,1.0
2019-01-14,177.59,179.23,176.9007,178.81,177.4775,3871399,0.0,1.0
2019-01-11,177.93,180.26,177.12,179.41,178.073,3285063,0.0,1.0
2019-01-10,178.03,179.24,176.34,179.06,177.7256,3605294,0.0,1.0
2019-01-09,177.87,181.27,177.0999,179.73,178.3906,4922046,0.0,1.0
2019-01-08,178.57,179.59,175.61,177.89,176.5644,4722367,0.0,1.0
2019-01-07,173.83,178.18,173.83,177.04,175.7207,4928789,0.0,1.0
2019-01-04,170.18,174.74,169.5203,173.62,172.3262,4762627,0.0,1.0
2019-01-03,171.84,171.84,168.21,168.61,167.3535,4810468,0.0,1.0
2019-01-02,169.71,173.18,169.05,172.41,171.1252,4242898,0.0,1.0
2018-12-31,171.47,173.24,170.65,171.82,170.5396,4206020,0.0,1.0
2018-12-28,171.22,173.12,168.6,170.22,168.9515,4551989,0.0,1.0
2018-12-27,166.44,170.46,163.3627,170.32,169.0508,5069251,0.0,1.0
2018-12-26,159.46,168.28,159.44,168.28,167.026,6141459,0.0,1.0
2018-12-24,160.16,161.4,158.09,158.14,156.9615,4547363,0.0,1.0
2018-12-21,162.81,167.96,160.17,160.48,159.2841,13034103,0.0,1.0
2018-12-20,166.28,167.31,162.23,164.16,162.9367,7675587,0.0,1.0
2018-12-19,170.92,174.95,166.77,167.56,166.3113,6996948,0.0,1.0
2018-12-18,168.9,171.95,168.5,170.04,168.7729,4462210,0.0,1.0
2018-12-17,171.51,171.99,166.93,167.97,166.7183,5631716,0.0,1.0
2018-12-14,172.98,175.14,171.95,172.29,171.0061,4265183,0.0,1.0
2018-12-13,174.31,174.91,172.07,173.87,172.5743,6102173,0.0,1.0
2018-12-12,173.75,176.87,172.81,174.21,172.9118,5912831,0.0,1.0
2018-12-11,174.3,175.6,171.24,172.21,170.9267,5229405,0.0,1.0
2018-12-10,173.39,173.985,167.73,171.69,170.4106,5373771,0.0,1.0
2018-12-07,175.35,178.36,172.24,172.79,171.5024,6226078,0.0,1.0
2018-12-06,173.5,176.04,170.4551,175.96,174.6487,7571194,0.0,1.0
2018-12-04,181.06,182.23,174.55,175.3,173.9937,7059563,0.0,1.0
2018-12-03,183.29,183.5,179.35,181.74,180.3857,7609902,0.0,1.0
2018-11-30,175.75,180.37,175.11,180.32,178.9762,8942386,0.0,1.0
2018-11-29,176.8,177.27,174.92,175.66,174.351,4329330,0.0,1.0
2018-11-28,172.91,177.65,170.62,177.43,176.1078,7133627,1.03,1.0
2018-11-27,169.11,173.38,168.82,173.22,170.9368,7084186,0.0,1.0
2018-11-26,170.2,172.39,168.87,169.82,167.5817,6140476,0.0,1.0
2018-11-23,169.39,170.33,168.47,168.85,166.6244,2710983,0.0,1.0
2018-11-21,170.0,170.93,169.145,169.3,167.0685,5752238,0.0,1.0
2018-11-20,169.25,172.0,167.0,169.05,166.8218,8661014,0.0,1.0
2018-11-19,176.71,178.88,172.3,173.59,171.302,6203443,0.0,1.0
2018-11-16,173.99,177.605,173.51,177.02,174.6868,6834880,0.0,1.0
2018-11-15,179.01,179.67,173.61,177.36,175.0223,8663136,0.0,1.0
2018-11-14,182.61,182.9,179.15,179.9,177.5288,7561076,0.0,1.0
2018-11-13,177.3,181.62,172.85,179.0,176.6407,14274029,0.0,1.0
2018-11-12,185.23,186.95,179.02,179.43,177.065,7590396,0.0,1.0
2018-11-09,188.32,188.48,184.96,185.99,183.5385,4761172,0.0,1.0
2018-11-08,187.13,188.69,185.72,188.0,185.522,4054004,0.0,1.0
2018-11-07,183.79,187.68,182.06,187.23,184.7622,4673834,0.0,1.0
2018-11-06,181.93,182.65,180.05,182.01,179.611,3339037,0.0,1.0
2018-11-05,181.02,182.41,179.3,182.19,179.7886,3885319,0.0,1.0
2018-11-02,182.47,183.01,177.39,179.93,177.5584,4730558,0.0,1.0
2018-11-01,176.84,180.86,175.9,180.46,178.0814,5225343,0.0,1.0
2018-10-31,177.98,178.85,175.59,175.88,173.5618,6339454,0.0,1.0
2018-10-30,173.16,176.43,172.64,176.24,173.917,5657107,0.0,1.0
2018-10-29,173.74,175.99,170.95,173.2,170.9171,5918379,0.0,1.0
2018-10-26,176.88,177.34,170.91,172.23,169.9599,9472382,0.0,1.0
2018-10-25,177.52,180.5,176.8262,179.07,176.7097,5227977,0.0,1.0
2018-10-24,178.58,182.3693,176.31,176.97,174.6374,6791655,0.0,1.0
2018-10-23,175.77,179.49,175.44,178.53,176.1769,7004926,0.0,1.0
2018-10-22,180.82,181.4,177.56,178.75,176.394,4866716,0.0,1.0
2018-10-19,180.34,180.99,178.57,179.85,177.4795,7004297,0.0,1.0
2018-10-18,184.26,185.4,179.53,180.44,178.0617,9261963,0.0,1.0
2018-10-17,189.64,190.67,183.98,185.17,182.7293,8985667,0.0,1.0
2018-10-16,191.83,194.08,190.61,193.58,191.0285,4057412,0.0,1.0
2018-10-15,192.36,193.29,190.7021,191.17,188.6503,3642768,0.0,1.0
2018-10-12,192.75,193.59,190.16,192.47,189.9331,5450229,0.0,1.0
2018-10-11,193.71,196.67,188.47,189.74,187.2391,5831416,0.0,1.0
2018-10-10,199.11,199.24,193.35,193.7,191.1469,6157921,0.0,1.0
2018-10-09,197.95,199.18,195.58,195.75,193.1699,4466758,0.0,1.0
2018-10-08,196.24,198.66,195.06,198.41,195.7948,3731816,0.0,1.0
2018-10-05,199.07,199.7,194.57,196.38,193.7916,5016586,0.0,1.0
2018-10-04,203.65,203.76,198.27,198.85,196.229,5996170,0.0,1.0
2018-10-03,206.1622,206.46,203.65,203.74,201.0546,4162453,0.0,1.0
2018-10-02,207.49,208.04,204.67,204.75,202.0513,4428039,0.0,1.0
2018-10-01,208.52,209.79,207.37,207.6,204.8637,3670701,0.0,1.0
2018-09-28,206.44,208.85,206.35,207.15,204.4196,3966222,0.0,1.0
2018-09-27,207.5,207.83,205.6713,206.84,204.1137,3218841,0.0,1.0
2018-09-26,208.58,209.14,207.23,207.52,204.7848,2965845,0.0,1.0
2018-09-25,208.84,209.3,206.8,207.46,204.7255,4443309,0.0,1.0
2018-09-24,211.52,211.84,207.96,207.99,205.2486,4623688,0.0,1.0
2018-09-21,211.3,212.66,210.51,212.39,209.5906,9749205,0.0,1.0
2018-09-20,211.66,212.61,211.005,211.06,208.2781,4020776,0.0,1.0
2018-09-19,212.0,212.67,210.66,211.68,208.8899,2579094,0.0,1.0
2018-09-18,208.63,211.73,208.16,211.02,208.2386,4338462,0.0,1.0
2018-09-17,209.08,210.035,208.26,208.4,205.6532,3074720,0.0,1.0
2018-09-14,210.19,210.53,207.55,209.07,206.3143,3622393,0.0,1.0
2018-09-13,211.44,211.44,208.7,209.45,206.6893,4701094,0.0,1.0
2018-09-12,214.03,215.43,210.91,211.98,209.186,5660075,0.0,1.0
2018-09-11,213.0,214.66,211.5,213.85,211.0313,5969470,0.0,1.0
2018-09-10,208.13,211.62,208.13,210.69,207.913,5585017,0.0,1.0
2018-09-07,205.45,207.2299,205.43,206.23,203.5118,3672696,0.0,1.0
2018-09-06,204.59,207.09,203.8,205.89,203.1762,3490531,0.0,1.0
2018-09-05,204.83,206.67,203.15,204.15,201.4592,3667119,0.0,1.0
2018-09-04,200.69,205.92,200.5,205.08,202.3769,4612762,0.0,1.0
2018-08-31,199.38,200.91,199.29,200.77,198.1237,4023306,0.0,1.0
2018-08-30,201.0,201.44,199.1,199.26,196.6336,2825582,0.0,1.0
2018-08-29,201.11,201.99,200.7125,201.68,199.0217,2488194,1.03,1.0
2018-08-28,202.3,202.4196,200.63,201.97,198.2952,3516441,0.0,1.0
2018-08-27,202.83,202.95,201.19,201.98,198.305,2521349,0.0,1.0
2018-08-24,200.35,202.5,200.0,201.3,197.6374,3054321,0.0,1.0
2018-08-23,199.39,201.41,199.14,200.16,196.5181,3595033,0.0,1.0
2018-08-22,200.8,203.55,198.6505,198.97,195.3498,5007014,0.0,1.0
2018-08-21,198.83,200.74,198.41,200.23,196.5869,4124597,0.0,1.0
2018-08-20,195.84,198.44,195.4,197.93,194.3287,2956741,0.0,1.0
2018-08-17,195.6,195.98,194.82,195.56,192.0018,3885804,0.0,1.0
2018-08-16,194.02,196.09,193.72,195.39,191.8349,5690109,0.0,1.0
2018-08-15,191.75,194.18,191.09,193.99,190.4604,6049299,0.0,1.0
2018-08-14,195.17,195.98,191.27,193.1,189.5866,11487974,0.0,1.0
2018-08-13,196.3,197.59,194.0,194.14,190.6077,5294354,0.0,1.0
2018-08-10,197.34,197.93,195.6438,196.3,192.7284,2873006,0.0,1.0
2018-08-09,199.0,199.74,198.04,198.08,194.476,2465988,0.0,1.0
2018-08-08,197.44,198.91,197.3,198.02,194.4171,2177400,0.0,1.0
2018-08-07,196.35,197.2,195.64,197.05,193.4647,3052464,0.0,1.0
2018-08-06,195.62,196.06,195.11,195.69,192.1295,2515673,0.0,1.0
2018-08-03,196.03,196.4,195.25,195.64,192.0804,2309318,0.0,1.0
2018-08-02,195.1,195.8444,193.55,195.66,192.1,3543511,0.0,1.0
2018-08-01,196.86,197.74,195.6,196.3,192.7284,3086996,0.0,1.0
2018-07-31,197.69,198.03,196.87,197.52,193.9262,2795866,0.0,1.0
2018-07-30,196.53,197.57,196.4,197.28,193.6905,2331224,0.0,1.0
2018-07-27,200.21,200.49,196.68,197.14,193.5531,3871568,0.0,1.0
2018-07-26,201.53,202.12,198.91,199.4,195.772,4280024,0.0,1.0
2018-07-25,201.4,202.29,199.07,201.0,197.3428,4380559,0.0,1.0
2018-07-24,203.53,204.25,201.35,201.99,198.3148,5058216,0.0,1.0
2018-07-23,202.46,203.39,201.9,202.23,198.5505,2264267,0.0,1.0
2018-07-20,202.08,203.76,201.82,202.45,198.7665,3568417,0.0,1.0
2018-07-19,200.89,203.23,200.5463,202.63,198.9432,3691097,0.0,1.0
2018-07-18,201.02,201.92,200.19,200.97,197.3134,3787846,0.0,1.0
2018-07-17,198.63,201.43,198.63,201.1,197.441,4662847,0.0,1.0
2018-07-16,199.14,199.22,197.89,198.88,195.2614,2530462,0.0,1.0
2018-07-13,198.46,199.93,198.46,198.69,195.0749,2311624,0.0,1.0
2018-07-12,198.2,198.48,197.0,197.95,194.3483,2709206,0.0,1.0
2018-07-11,197.22,197.76,195.9506,196.95,193.3665,3309295,0.0,1.0
2018-07-10,196.56,197.76,196.38,197.61,194.0145,2842359,0.0,1.0
2018-07-09,195.7,196.71,195.03,196.08,192.5124,2575076,0.0,1.0
2018-07-06,194.58,195.35,192.95,194.48,190.9415,2552568,0.0,1.0
2018-07-05,194.49,194.74,193.13,194.41,190.8727,3040575,0.0,1.0
2018-07-03,194.44,195.71,193.41,193.62,190.0971,1608418,0.0,1.0
2018-07-02,193.82,194.18,192.12,194.02,190.4898,3822776,0.0,1.0
2018-06-29,195.86,198.83,194.99,195.1,191.5502,4106627,0.0,1.0
2018-06-28,195.0,196.01,193.51,195.21,191.6582,2994073,0.0,1.0
2018-06-27,196.66,197.99,195.01,195.02,191.4716,3771522,0.0,1.0
2018-06-26,196.58,197.33,195.6,196.36,192.7873,3270629,0.0,1.0
2018-06-25,197.41,197.84,195.06,196.38,192.8069,5127170,0.0,1.0
2018-06-22,200.79,201.2,197.17,197.41,193.8182,7067329,0.0,1.0
2018-06-21,199.21,200.94,198.61,200.31,196.6654,4695068,0.0,1.0
2018-06-20,200.0,200.13,198.12,199.08,195.4578,3389588,0.0,1.0
2018-06-19,198.21,199.9,198.1,199.21,195.5854,5501146,0.0,1.0
2018-06-18,198.94,200.91,198.11,200.69,197.0385,3405347,0.0,1.0
2018-06-15,198.95,201.6,198.5,200.54,196.8912,7820898,0.0,1.0
2018-06-14,200.26,201.0,198.16,199.67,196.037,4305893,0.0,1.0
2018-06-13,201.3,201.58,199.6588,200.31,196.6654,5128112,0.0,1.0
2018-06-12,199.84,201.34,199.51,201.31,197.6472,4616661,0.0,1.0
2018-06-11,198.91,200.52,198.34,199.64,196.0076,4242950,0.0,1.0
2018-06-08,195.87,198.5,195.01,198.33,194.7214,4006213,0.0,1.0
2018-06-07,193.83,197.2,193.83,196.17,192.6007,4378743,0.0,1.0
2018-06-06,193.07,193.59,191.21,193.59,190.0677,4134745,0.0,1.0
2018-06-05,190.44,192.38,189.7,191.94,188.4477,4231253,0.0,1.0
2018-06-04,188.22,191.54,187.97,191.36,187.8782,4103328,0.0,1.0
2018-06-01,187.21,188.83,186.52,187.35,183.9412,3706248,0.0,1.0
2018-05-31,187.16,187.36,185.25,186.55,183.1558,4839948,0.0,1.0
2018-05-30,184.83,187.8,184.01,187.09,183.6859,3976000,1.03,1.0
2018-05-29,185.55,186.83,184.25,185.0,180.6395,4725486,0.0,1.0
2018-05-25,186.71,187.8302,186.05,186.85,182.4459,2730436,0.0,1.0
2018-05-24,186.79,187.41,184.67,187.15,182.7388,3941299,0.0,1.0
2018-05-23,187.1,187.315,184.98,186.67,182.2701,7387362,0.0,1.0
2018-05-22,190.06,190.78,186.5175,186.87,182.4654,4585635,0.0,1.0
2018-05-21,188.2,190.67,188.0,189.79,185.3166,4147784,0.0,1.0
2018-05-18,185.75,188.21,185.55,187.42,183.0024,4697850,0.0,1.0
2018-05-17,186.25,187.18,184.87,185.33,180.9617,4227660,0.0,1.0
2018-05-16,189.28,189.28,185.9,186.38,181.9869,5044785,0.0,1.0
2018-05-15,189.5,189.69,186.101,187.98,183.5492,10147044,0.0,1.0
2018-05-14,191.5,191.65,189.86,191.08,186.5762,7035919,0.0,1.0
2018-05-11,187.63,190.8,187.35,190.31,185.8243,5355073,0.0,1.0
2018-05-10,185.97,187.97,185.88,187.16,182.7486,3850116,0.0,1.0
2018-05-09,185.03,186.5,183.57,186.36,181.9674,3392251,0.0,1.0
2018-05-08,183.45,185.3,182.5,185.04,180.6785,4168151,0.0,1.0
2018-05-07,185.4,185.5,182.67,183.56,179.2334,3582327,0.0,1.0
2018-05-04,182.75,186.35,181.84,185.03,180.6688,3896175,0.0,1.0
2018-05-03,184.87,184.9,181.201,183.19,178.8721,4123873,0.0,1.0
2018-05-02,184.49,187.12,183.75,185.91,181.528,3866503,0.0,1.0
2018-05-01,184.73,184.73,181.4,184.63,180.2782,3423884,0.0,1.0
2018-04-30,186.99,187.8,184.8,184.8,180.4442,4173189,0.0,1.0
2018-04-27,185.49,187.0432,183.87,186.46,182.0651,4382418,0.0,1.0
2018-04-26,178.46,185.93,178.08,185.72,181.3425,8782470,0.0,1.0
2018-04-25,176.08,178.07,174.55,177.39,173.2088,5586904,0.0,1.0
2018-04-24,179.3,180.0,175.05,176.26,172.1055,4435423,0.0,1.0
2018-04-23,177.62,178.38,176.13,177.66,173.4725,2987719,0.0,1.0
2018-04-20,177.85,178.89,176.32,177.01,172.8378,5008614,0.0,1.0
2018-04-19,179.5,179.7,175.77,177.08,172.9061,5407311,0.0,1.0
2018-04-18,175.0,180.25,174.99,179.85,175.6109,5858880,0.0,1.0
2018-04-17,175.76,176.24,174.1,174.91,170.7873,3106493,0.0,1.0
2018-04-16,174.23,175.6,173.32,174.43,170.3186,3534205,0.0,1.0
2018-04-13,174.49,175.51,172.225,172.8,168.727,4311225,0.0,1.0
2018-04-12,173.31,174.24,172.9,173.36,169.2738,3396657,0.0,1.0
2018-04-11,172.0,175.06,171.8,172.86,168.7856,4228416,0.0,1.0
2018-04-10,174.03,174.1851,172.2352,173.49,169.4008,4812883,0.0,1.0
2018-04-09,175.06,175.35,172.37,172.51,168.4439,5079802,0.0,1.0
2018-04-06,177.98,178.52,173.35,174.45,170.3381,5236946,0.0,1.0
2018-04-05,178.0,180.04,177.31,179.13,174.9078,3799927,0.0,1.0
2018-04-04,170.8,177.84,170.4204,177.44,173.2577,4757299,0.0,1.0
2018-04-03,172.78,174.9385,172.43,173.76,169.6644,5283287,0.0,1.0
2018-04-02,177.15,177.69,170.42,172.9,168.8247,7229319,0.0,1.0
2018-03-29,175.7,178.64,175.5,178.24,174.0388,4423526,0.0,1.0
2018-03-28,175.24,177.53,173.92,174.76,170.6408,4318636,0.0,1.0
2018-03-27,177.38,178.73,173.6,174.68,170.5627,4640376,0.0,1.0
2018-03-26,174.11,176.8,173.515,176.38,172.2226,7123755,0.0,1.0
2018-03-23,176.24,177.56,171.56,171.8,167.7506,5851950,0.0,1.0
2018-03-22,177.42,178.56,175.08,175.29,171.1583,5049280,0.0,1.0
2018-03-21,178.35,180.14,177.68,178.02,173.824,3472629,0.0,1.0
2018-03-20,177.64,178.8883,177.16,178.16,173.9607,4103461,0.0,1.0
2018-03-19,178.65,179.32,176.0,177.1,172.9257,4501096,0.0,1.0
2018-03-16,178.43,180.4,177.97,178.96,174.7418,7939123,0.0,1.0
2018-03-15,177.69,179.86,176.72,178.07,173.8728,3747456,0.0,1.0
2018-03-14,179.1,179.66,175.89,177.41,173.2284,4520695,0.0,1.0
2018-03-13,179.59,180.95,177.86,178.35,174.1462,6089272,0.0,1.0
2018-03-12,182.43,183.06,179.55,179.71,175.4742,4951429,0.0,1.0
2018-03-09,179.0,182.24,177.92,182.16,177.8664,4412928,0.0,1.0
2018-03-08,179.44,179.98,176.73,177.94,173.7459,4219789,0.0,1.0
2018-03-07,178.82,180.0,176.82,178.58,174.3708,4799246,1.03,1.0
2018-03-06,182.75,183.0,179.51,181.64,176.3416,5306777,0.0,1.0
2018-03-05,177.86,182.26,177.7,181.74,176.4387,5748553,0.0,1.0
2018-03-02,177.72,179.185,176.34,178.46,173.2543,5671038,0.0,1.0
2018-03-01,182.75,184.4,178.25,179.64,174.3999,6123863,0.0,1.0
2018-02-28,184.41,186.6495,182.27,182.27,176.9532,6313166,0.0,1.0
2018-02-27,188.87,189.25,184.96,184.98,179.5841,4587554,0.0,1.0
2018-02-26,189.17,189.79,187.8601,188.46,182.9626,4384908,0.0,1.0
2018-02-23,186.2,188.41,185.62,188.35,182.8558,4219309,0.0,1.0
2018-02-22,183.72,186.2199,182.91,185.47,180.0599,5553659,0.0,1.0
2018-02-21,187.21,187.98,182.86,183.06,177.7202,7508615,0.0,1.0
2018-02-20,189.9,191.44,186.31,186.71,181.2637,8746130,0.0,1.0
2018-02-16,185.06,187.99,184.86,186.97,181.5161,7565848,0.0,1.0
2018-02-15,186.74,187.19,183.255,185.27,179.8657,5078846,0.0,1.0
2018-02-14,181.88,185.06,181.05,184.69,179.3026,6506394,0.0,1.0
2018-02-13,183.23,183.99,180.89,183.72,178.3609,4259241,0.0,1.0
2018-02-12,186.55,187.01,183.41,184.06,178.691,6741208,0.0,1.0
