,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-05-31,128.44,128.44,126.85,126.99,126.99,3539025,0.0,1.0
2019-05-30,129.74,129.97,128.93,129.57,129.57,2741880,0.0,1.0
2019-05-29,130.0,130.28,128.32,129.69,129.69,3678978,0.0,1.0
2019-05-28,132.13,132.64,130.27,130.46,130.46,4909121,0.0,1.0
2019-05-24,133.53,134.245,131.59,132.28,132.28,2596121,0.0,1.0
2019-05-23,135.13,135.13,130.44,132.39,132.39,5343437,0.0,1.0
2019-05-22,136.0,136.75,135.7116,136.35,136.35,1849821,0.0,1.0
2019-05-21,136.12,137.06,135.79,136.45,136.45,2503504,0.0,1.0
2019-05-20,133.53,135.43,132.9308,135.12,135.12,3264649,0.0,1.0
2019-05-17,134.68,135.41,133.94,134.32,134.32,2619135,0.0,1.0
2019-05-16,134.74,136.11,134.64,135.88,135.88,3017472,0.0,1.0
2019-05-15,132.59,134.59,132.37,134.4,134.4,2551009,0.0,1.0
2019-05-14,131.82,134.32,131.68,133.31,133.31,3280374,0.0,1.0
2019-05-13,133.28,133.57,130.96,131.42,131.42,4958021,0.0,1.0
2019-05-10,134.88,135.75,132.42,135.32,135.32,3977686,0.0,1.0
2019-05-09,134.89,135.5848,133.03,135.34,135.34,4192942,1.62,1.0
2019-05-08,137.77,138.7,137.13,138.0,136.3677,3818909,0.0,1.0
2019-05-07,139.15,139.51,136.19,137.64,136.012,4726771,0.0,1.0
2019-05-06,138.3,140.69,137.9,140.38,138.7195,2793655,0.0,1.0
2019-05-03,139.7,141.0,139.63,140.25,138.5911,2580034,0.0,1.0
2019-05-02,140.5,141.28,139.41,139.59,137.9389,3541352,0.0,1.0
2019-05-01,140.55,141.81,140.17,140.56,138.8974,3053683,0.0,1.0
2019-04-30,139.11,140.44,138.68,140.27,138.6108,4638828,0.0,1.0
2019-04-29,139.15,139.63,138.81,139.05,137.4053,2958333,0.0,1.0
2019-04-26,139.34,139.89,138.81,139.44,137.7907,2319834,0.0,1.0
2019-04-25,139.7,139.7482,137.71,138.63,136.9902,2910113,0.0,1.0
2019-04-24,140.6,141.31,139.78,139.95,138.2946,2774867,0.0,1.0
2019-04-23,139.15,140.92,138.9399,140.44,138.7788,4462240,0.0,1.0
2019-04-22,139.42,140.56,138.48,138.89,137.2472,4494333,0.0,1.0
2019-04-18,139.0,140.49,138.7,140.33,138.6701,4960015,0.0,1.0
2019-04-17,137.37,141.98,136.26,139.11,137.4646,12525693,0.0,1.0
2019-04-16,144.4,145.39,144.02,145.14,143.4232,6301671,0.0,1.0
2019-04-15,144.4,144.4597,143.27,143.9,142.1979,3603158,0.0,1.0
2019-04-12,144.26,144.44,143.7,144.35,142.6426,2898899,0.0,1.0
2019-04-11,143.8,144.11,143.03,143.78,142.0793,2941985,0.0,1.0
2019-04-10,142.2,143.495,141.98,143.02,141.3283,2678310,0.0,1.0
2019-04-09,142.66,142.95,141.84,142.11,140.4291,3038460,0.0,1.0
2019-04-08,143.02,143.42,142.87,143.39,141.6939,2118228,0.0,1.0
2019-04-05,143.29,143.5,142.46,143.28,141.5852,2731985,0.0,1.0
2019-04-04,143.62,144.14,142.54,142.78,141.0912,2771462,0.0,1.0
2019-04-03,143.65,144.22,143.01,143.63,141.9311,2681645,0.0,1.0
2019-04-02,143.35,143.95,142.6,143.0,141.3086,2404920,0.0,1.0
2019-04-01,141.51,143.41,141.51,143.3,141.605,3984250,0.0,1.0
2019-03-29,140.5,141.22,140.15,141.1,139.431,3101454,0.0,1.0
2019-03-28,139.91,140.44,139.1,139.92,138.265,2663884,0.0,1.0
2019-03-27,140.41,140.49,138.4,139.24,137.593,3098233,0.0,1.0
2019-03-26,139.93,141.02,139.42,140.22,138.5614,2553708,0.0,1.0
2019-03-25,139.06,139.91,138.35,139.18,137.5337,2839766,0.0,1.0
2019-03-22,140.97,141.44,138.9,139.45,137.8005,3877616,0.0,1.0
2019-03-21,139.1,142.12,138.88,141.44,139.767,3605420,0.0,1.0
2019-03-20,140.53,140.7,138.98,139.6,137.9488,3649455,0.0,1.0
2019-03-19,140.96,141.7024,140.002,140.49,138.8282,3482336,0.0,1.0
2019-03-18,139.83,140.365,138.72,140.21,138.5516,3268510,0.0,1.0
2019-03-15,139.37,140.33,139.23,139.43,137.7808,7153687,0.0,1.0
2019-03-14,138.51,138.94,138.06,138.79,137.1484,2738790,0.0,1.0
2019-03-13,138.05,139.325,137.85,138.56,136.9211,3173179,0.0,1.0
2019-03-12,138.52,139.695,137.86,138.28,136.6444,3954653,0.0,1.0
2019-03-11,136.03,137.73,135.84,137.71,136.0811,3939517,0.0,1.0
2019-03-08,134.21,135.24,133.58,135.09,133.4921,3773722,0.0,1.0
2019-03-07,136.61,136.89,134.6343,135.36,133.7589,4358802,0.0,1.0
2019-03-06,138.12,138.3892,136.72,136.98,135.3598,2768256,0.0,1.0
2019-03-05,138.37,138.74,137.555,137.88,136.2491,4250650,0.0,1.0
2019-03-04,139.99,140.08,137.17,138.43,136.7926,3407217,0.0,1.0
2019-03-01,139.31,140.04,138.64,139.2,137.5535,3030044,0.0,1.0
2019-02-28,138.77,139.055,137.72,138.13,136.4962,3457788,0.0,1.0
2019-02-27,139.25,139.57,138.4007,139.17,137.5239,2530968,0.0,1.0
2019-02-26,139.67,140.49,139.47,139.72,138.0674,3060381,0.0,1.0
2019-02-25,140.0,140.47,139.32,139.46,137.8104,3194161,0.0,1.0
2019-02-22,138.73,139.38,138.43,139.25,137.6029,3113698,0.0,1.0
2019-02-21,137.82,138.35,137.35,137.84,136.2096,2937467,0.0,1.0
2019-02-20,138.76,139.24,137.2203,138.0,136.3677,3801979,0.0,1.0
2019-02-19,137.81,138.7,137.36,138.7,137.0594,3385675,0.0,1.0
2019-02-15,137.58,138.185,137.385,138.03,136.3973,3844062,0.0,1.0
2019-02-14,137.17,137.6019,136.21,136.48,134.8657,2789839,0.0,1.0
2019-02-13,136.92,137.92,136.41,137.52,135.8934,4253042,0.0,1.0
2019-02-12,135.15,136.2,134.86,136.05,134.4408,3317161,0.0,1.0
2019-02-11,134.29,135.15,133.91,133.99,132.4051,3095069,0.0,1.0
2019-02-08,132.34,133.71,132.19,133.71,132.1284,3250074,0.0,1.0
