,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,83.27,87.38,83.25,87.0,29.0632,28855100,0.0,1.0
2000-01-04,85.44,87.88,82.25,82.94,27.7069,25509800,0.0,1.0
2000-01-05,83.0,85.25,80.5,84.63,28.2715,26194500,0.0,1.0
2000-01-06,81.75,83.38,78.19,78.75,26.3072,27585600,0.0,1.0
2000-01-07,77.5,82.0,77.38,82.0,27.3929,20548200,0.0,1.0
2000-01-10,85.75,87.25,84.13,85.75,28.6457,26809900,0.0,1.0
2000-01-11,88.56,92.38,88.28,89.69,29.9619,52740900,0.0,1.0
2000-01-12,90.88,94.75,89.25,91.25,30.483,48663300,0.0,1.0
2000-01-13,92.69,93.0,89.31,91.06,30.4195,38052100,0.0,1.0
2000-01-14,98.44,106.6,98.25,103.1,34.4416,92202600,0.0,1.0
2000-01-18,100.3,105.8,100.3,102.1,34.1075,51050300,0.0,1.0
2000-01-19,101.0,102.1,99.88,100.1,33.4394,22784000,0.0,1.0
2000-01-20,99.75,100.8,95.44,95.63,31.9462,35001000,0.0,1.0
2000-01-21,96.0,98.25,95.63,97.94,32.7179,27779100,0.0,1.0
2000-01-24,102.3,104.9,98.25,98.81,33.0085,37416300,0.0,1.0
2000-01-25,99.38,101.8,97.44,101.6,33.9405,25691300,0.0,1.0
2000-01-26,100.8,101.2,96.38,96.5,32.2368,24653100,0.0,1.0
2000-01-27,99.38,101.1,95.5,98.13,32.7813,30741000,0.0,1.0
2000-01-28,97.25,98.75,93.06,94.0,31.4017,26961400,0.0,1.0
2000-01-31,93.63,99.06,92.88,98.94,33.0519,34226600,0.0,1.0
2000-02-01,98.38,101.5,96.63,101.4,33.8737,24025700,0.0,1.0
2000-02-02,101.0,102.94,99.69,100.06,33.4261,26040300,0.0,1.0
2000-02-03,101.7,104.6,100.8,104.2,34.8191,28063000,0.03,1.0
2000-02-04,104.4,108.3,104.3,104.8,35.0196,27976900,0.0,1.0
2000-02-07,104.9,108.1,104.9,107.9,36.0555,21405000,0.0,1.0
2000-02-08,108.8,110.1,108.0,108.8,36.3562,19013000,0.0,1.0
2000-02-09,108.1,108.9,104.5,104.6,34.9528,19307600,0.0,1.0
2000-02-10,104.4,108.1,103.2,107.6,35.9552,21769600,0.0,1.0
2000-02-11,107.3,108.8,105.3,105.9,35.3872,18878000,0.0,1.0
2000-02-14,106.3,109.9,105.6,109.9,36.7238,17187100,0.0,1.0
2000-02-15,109.9,112.9,105.3,112.0,37.4255,31385700,0.0,1.0
2000-02-16,111.4,112.9,107.0,107.2,35.8216,23025000,0.0,1.0
2000-02-17,108.9,112.4,107.9,110.0,36.7572,24334800,0.0,1.0
2000-02-18,110.0,110.5,105.2,105.4,35.2201,25185000,0.0,1.0
2000-02-22,104.9,106.8,101.6,106.8,35.6879,22896800,0.0,1.0
2000-02-23,105.3,111.1,104.3,109.1,36.4565,20421000,0.0,1.0
2000-02-24,112.4,116.5,110.3,114.3,38.1941,42673900,0.0,1.0
2000-02-25,113.9,115.4,112.8,113.3,37.8599,23149500,0.0,1.0
2000-02-28,111.6,114.6,108.3,112.4,37.5592,23711100,0.0,1.0
2000-02-29,113.2,115.6,111.3,113.0,37.7597,22207100,0.0,1.0
2000-03-01,112.9,116.9,112.5,115.9,38.7287,20406500,0.0,1.0
2000-03-02,115.4,117.1,114.1,115.8,38.6953,18234900,0.0,1.0
2000-03-03,117.0,119.8,115.6,119.3,39.8648,17142500,0.0,1.0
2000-03-06,118.0,118.9,116.7,117.4,39.23,14016000,0.0,1.0
2000-03-07,117.8,119.6,115.2,115.8,38.6953,19962100,0.0,1.0
2000-03-08,116.1,116.4,112.3,114.9,38.3946,23195600,0.0,1.0
2000-03-09,113.7,118.5,112.0,118.4,39.5641,19187900,0.0,1.0
2000-03-10,117.9,120.6,117.4,120.2,40.1656,21748800,0.0,1.0
2000-03-13,118.8,125.5,118.8,122.1,40.8005,33719600,0.0,1.0
2000-03-14,124.3,125.6,117.8,117.9,39.397,28392500,0.0,1.0
2000-03-15,119.1,123.1,118.7,120.2,40.1656,24447800,0.0,1.0
2000-03-16,123.3,125.4,119.6,125.1,41.803,27486400,0.0,1.0
2000-03-17,124.3,130.0,124.0,129.9,43.4069,30425500,0.0,1.0
2000-03-20,129.9,137.4,129.9,135.0,45.1111,32581800,0.0,1.0
2000-03-21,135.0,138.9,134.1,138.4,46.2472,25615500,0.0,1.0
2000-03-22,140.4,145.4,139.5,144.1,48.1519,26846600,0.0,1.0
2000-03-23,142.4,143.7,139.4,142.6,47.6507,22796900,0.0,1.0
2000-03-24,140.12,144.5,137.62,139.06,46.4678,23449000,0.0,1.0
2000-03-27,139.6,143.8,139.1,142.7,47.6841,17883100,0.0,1.0
2000-03-28,140.6,142.6,135.1,135.7,45.345,22428900,0.0,1.0
2000-03-29,136.5,137.7,131.5,131.9,44.0752,30662700,0.0,1.0
2000-03-30,129.8,133.4,123.1,127.0,42.4379,35823400,0.0,1.0
2000-03-31,129.6,134.9,128.3,131.9,44.0752,29221100,0.0,1.0
2000-04-03,131.4,133.0,125.8,130.6,43.6408,25035800,0.0,1.0
2000-04-04,131.5,134.0,119.7,132.8,44.376,43670900,0.0,1.0
2000-04-05,129.9,134.0,127.8,129.9,43.4069,31050900,0.0,1.0
2000-04-06,129.3,131.6,127.0,129.8,43.3735,27567000,0.0,1.0
2000-04-07,131.4,137.0,131.3,136.8,45.7126,25678600,0.0,1.0
2000-04-10,137.5,139.1,130.9,131.1,43.8079,22424500,0.0,1.0
2000-04-11,130.0,134.3,127.5,130.8,43.7076,26535600,0.0,1.0
2000-04-12,129.9,131.9,121.8,121.9,40.7337,30084800,0.0,1.0
2000-04-13,123.4,129.3,120.8,121.1,40.4663,34707300,0.0,1.0
2000-04-14,119.2,120.8,108.4,110.5,36.9243,46400200,0.0,1.0
2000-04-17,110.0,123.3,109.7,123.0,41.1012,44436700,0.0,1.0
2000-04-18,126.6,131.0,125.3,129.0,43.1062,49279000,0.0,1.0
2000-04-19,125.6,125.8,118.9,119.1,39.798,43688900,0.0,1.0
2000-04-20,117.9,119.4,115.0,115.4,38.5616,22899500,0.0,1.0
2000-04-24,111.0,116.5,110.4,116.1,38.7955,29160100,0.0,1.0
2000-04-25,119.7,125.3,119.5,125.0,41.7695,25671200,0.0,1.0
