,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-05-31,131.52,132.0,129.61,131.15,131.15,7810337,0.0,1.0
2019-05-30,131.44,132.82,131.17,132.11,132.11,7361016,0.0,1.0
2019-05-29,135.89,135.89,128.52,131.33,131.33,23247405,0.0,1.0
2019-05-28,139.0,140.49,137.0,137.07,137.07,11919579,0.0,1.0
2019-05-24,139.5,139.5,138.56,138.85,138.85,5473499,0.95,1.0
2019-05-23,138.5,139.85,137.67,139.79,138.8401,6951797,0.0,1.0
2019-05-22,138.35,138.95,137.485,138.76,137.8171,5456839,0.0,1.0
2019-05-21,139.12,139.57,138.08,138.12,137.1814,4859048,0.0,1.0
2019-05-20,138.61,138.96,137.68,138.42,137.4794,4771127,0.0,1.0
2019-05-17,137.0,139.03,136.86,138.61,137.6681,6915286,0.0,1.0
2019-05-16,137.39,139.1929,136.97,138.21,137.2708,6857180,0.0,1.0
2019-05-15,136.9,137.49,135.33,136.91,135.9796,6429352,0.0,1.0
2019-05-14,137.04,137.84,136.73,136.82,135.8903,7179438,0.0,1.0
2019-05-13,137.85,138.06,136.5302,137.2,136.2677,5560421,0.0,1.0
2019-05-10,138.43,139.25,136.41,139.05,138.1051,4771626,0.0,1.0
2019-05-09,138.95,139.32,137.64,138.73,137.7873,5604201,0.0,1.0
2019-05-08,140.2,140.92,139.7,139.79,138.8401,4667257,0.0,1.0
2019-05-07,140.82,141.38,139.06,139.97,139.0188,6606664,0.0,1.0
2019-05-06,140.25,142.24,139.93,142.09,141.1244,5818880,0.0,1.0
2019-05-03,141.29,142.09,141.08,142.01,141.045,5281630,0.0,1.0
2019-05-02,141.91,142.15,140.12,141.28,140.3199,8835587,0.0,1.0
2019-05-01,140.95,142.35,139.75,141.95,140.9854,6656335,0.0,1.0
2019-04-30,140.19,141.45,138.9599,141.2,140.2405,6003702,0.0,1.0
2019-04-29,140.35,140.43,139.58,139.84,138.8897,4275158,0.0,1.0
2019-04-26,139.88,140.524,139.31,140.39,139.436,4613583,0.0,1.0
2019-04-25,138.52,139.77,137.96,139.65,138.701,5218088,0.0,1.0
2019-04-24,139.65,140.14,138.8607,139.2,138.2541,5676338,0.0,1.0
2019-04-23,137.42,140.85,137.25,139.9,138.9493,5790482,0.0,1.0
2019-04-22,136.98,138.49,136.4575,137.83,136.8934,4666537,0.0,1.0
2019-04-18,139.35,140.24,135.75,137.52,136.5855,10485289,0.0,1.0
2019-04-17,139.0,140.1458,137.67,138.52,137.5787,9543743,0.0,1.0
2019-04-16,138.32,140.7,137.56,138.02,137.0821,10745724,0.0,1.0
2019-04-15,136.0,136.79,135.8,136.52,135.5923,5380891,0.0,1.0
2019-04-12,135.22,136.35,134.75,135.98,135.056,5756816,0.0,1.0
2019-04-11,135.96,136.18,134.42,135.21,134.2912,4485211,0.0,1.0
2019-04-10,135.89,136.13,135.33,135.58,134.6587,4194170,0.0,1.0
2019-04-09,136.0,136.26,134.56,135.57,134.6487,5210317,0.0,1.0
2019-04-08,136.05,136.51,135.7,136.14,135.2149,4330048,0.0,1.0
2019-04-05,136.04,136.58,135.7,136.18,135.2546,4759699,0.0,1.0
2019-04-04,136.87,137.005,135.13,135.57,134.6487,5844786,0.0,1.0
2019-04-03,138.2,138.24,136.87,137.17,136.2379,5947020,0.0,1.0
2019-04-02,139.01,139.01,136.91,137.71,136.7742,5517817,0.0,1.0
2019-04-01,139.99,140.29,138.735,138.98,138.0356,5885401,0.0,1.0
2019-03-29,139.28,139.88,138.88,139.79,138.8401,7168449,0.0,1.0
2019-03-28,139.06,139.46,138.71,138.88,137.9363,4602073,0.0,1.0
2019-03-27,138.59,139.48,138.07,138.7,137.7575,6764854,0.0,1.0
2019-03-26,136.93,139.27,136.93,138.57,137.6284,4758846,0.0,1.0
2019-03-25,136.91,137.01,135.74,136.61,135.6817,4500368,0.0,1.0
2019-03-22,137.75,138.39,136.86,136.91,135.9796,6528782,0.0,1.0
2019-03-21,137.0,138.78,136.95,138.1,137.1616,5765119,0.0,1.0
2019-03-20,138.33,138.51,136.65,137.29,136.3571,5475863,0.0,1.0
2019-03-19,137.61,138.82,137.47,138.44,137.4992,5882503,0.0,1.0
2019-03-18,137.65,137.78,136.72,137.17,136.2379,7369629,0.0,1.0
2019-03-15,138.0,138.26,136.83,137.6,136.6649,11922855,0.0,1.0
2019-03-14,138.34,138.8,137.94,138.02,137.0821,8493603,0.0,1.0
2019-03-13,139.59,139.84,139.02,139.41,138.4627,6446942,0.0,1.0
