,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-05-31,105.56,106.589,104.84,105.96,105.96,10952805,0.0,1.0
2019-05-30,108.65,109.18,106.54,107.06,107.06,10367822,0.0,1.0
2019-05-29,107.45,108.4,107.06,108.22,108.22,9966365,0.0,1.0
2019-05-28,109.2,109.83,108.44,108.52,108.52,11665579,0.0,1.0
2019-05-24,109.52,109.96,109.19,109.71,109.71,8537252,0.0,1.0
2019-05-23,109.64,109.79,107.5,108.64,108.64,14557969,0.0,1.0
2019-05-22,111.4,111.79,110.75,110.82,110.82,7918898,0.0,1.0
2019-05-21,111.44,111.92,111.215,111.73,111.73,7967976,0.0,1.0
2019-05-20,110.58,111.81,110.37,111.35,111.35,8518244,0.0,1.0
2019-05-17,110.0,111.75,109.8257,110.77,110.77,9570477,0.0,1.0
2019-05-16,110.62,112.17,110.59,111.31,111.31,9672729,0.0,1.0
2019-05-15,109.21,110.8958,108.61,109.9,109.9,10142048,0.0,1.0
2019-05-14,109.55,111.72,109.5,110.32,110.32,10503672,0.0,1.0
2019-05-13,110.08,110.45,108.98,109.45,109.45,13783652,0.0,1.0
2019-05-10,111.75,112.84,110.54,112.51,112.51,13189381,0.0,1.0
2019-05-09,111.14,112.74,110.58,112.52,112.52,12205866,0.0,1.0
2019-05-08,112.66,113.67,112.46,112.61,112.61,9576075,0.0,1.0
2019-05-07,114.03,114.03,112.285,113.21,113.21,15017725,0.0,1.0
2019-05-06,114.18,115.47,113.72,115.09,115.09,9387010,0.0,1.0
2019-05-03,116.0,116.68,115.67,116.12,116.12,8185409,0.0,1.0
2019-05-02,115.17,115.7753,114.58,115.41,115.41,8613305,0.0,1.0
2019-05-01,115.72,117.0,115.11,115.16,115.16,10412881,0.0,1.0
2019-04-30,116.43,116.724,115.26,116.05,116.05,11389147,0.0,1.0
2019-04-29,114.6,117.155,114.445,116.12,116.12,14242237,0.0,1.0
2019-04-26,113.95,114.58,113.6,114.47,114.47,7889519,0.0,1.0
2019-04-25,113.01,114.145,112.5,113.61,113.61,9311768,0.0,1.0
2019-04-24,113.26,114.15,112.81,113.55,113.55,9245743,0.0,1.0
2019-04-23,113.0,114.37,112.85,113.74,113.74,9193318,0.0,1.0
2019-04-22,112.83,113.93,112.6622,113.6,113.6,7975860,0.0,1.0
2019-04-18,114.53,114.945,113.33,113.46,113.46,12501949,0.0,1.0
2019-04-17,111.7,114.66,111.01,114.3,114.3,17791890,0.0,1.0
2019-04-16,109.9,111.39,109.86,111.1,111.1,11583232,0.0,1.0
2019-04-15,110.92,111.0,109.12,109.94,109.94,15163815,0.0,1.0
2019-04-12,109.44,111.85,108.88,111.21,111.21,25834073,0.0,1.0
2019-04-11,105.71,106.73,105.56,106.23,106.23,11183845,0.0,1.0
2019-04-10,105.13,105.715,104.47,105.34,105.34,10882304,0.0,1.0
2019-04-09,105.08,105.2,104.25,104.87,104.87,9092188,0.0,1.0
2019-04-08,105.11,105.65,104.91,105.65,105.65,8056282,0.0,1.0
2019-04-05,105.8,106.11,104.99,105.31,105.31,9933660,0.0,1.0
2019-04-04,104.55,105.73,104.45,105.56,105.56,11952078,0.8,1.0
2019-04-03,105.81,106.36,104.785,105.35,104.5576,11499209,0.0,1.0
2019-04-02,104.6,105.44,104.33,105.14,104.3492,10295539,0.0,1.0
2019-04-01,102.15,104.68,102.12,104.64,103.8529,17499280,0.0,1.0
2019-03-29,101.54,101.99,100.585,101.23,100.4686,14523395,0.0,1.0
2019-03-28,100.0,100.8,99.74,100.71,99.9525,12454070,0.0,1.0
2019-03-27,99.88,100.4499,99.08,99.58,98.831,12753234,0.0,1.0
2019-03-26,99.82,100.4,98.82,99.92,99.1684,15987129,0.0,1.0
2019-03-25,99.59,100.57,98.09,98.93,98.1859,21032295,0.0,1.0
2019-03-22,101.82,102.32,99.52,99.76,99.0096,31115189,0.0,1.0
2019-03-21,103.49,103.49,102.2804,102.87,102.0963,19751044,0.0,1.0
2019-03-20,106.43,106.65,104.41,104.52,103.7338,14920658,0.0,1.0
2019-03-19,108.2,108.4,106.55,106.8,105.9967,12889267,0.0,1.0
2019-03-18,106.55,107.785,106.5,107.19,106.3838,12935514,0.0,1.0
2019-03-15,105.41,106.8,105.23,106.55,105.7486,24811730,0.0,1.0
2019-03-14,104.5,105.87,104.46,105.34,104.5477,10926470,0.0,1.0
2019-03-13,104.19,104.98,103.95,104.39,103.6048,13022241,0.0,1.0
2019-03-12,104.59,104.79,103.7544,104.04,103.2575,10219100,0.0,1.0
2019-03-11,103.98,104.545,103.66,104.35,103.5651,9763235,0.0,1.0
2019-03-08,101.99,103.23,101.99,103.01,102.2352,10582371,0.0,1.0
2019-03-07,103.25,103.47,102.16,102.97,102.1955,12705739,0.0,1.0
2019-03-06,103.86,104.57,103.55,103.72,102.9399,9070782,0.0,1.0
2019-03-05,104.13,104.55,103.26,104.11,103.3269,10856646,0.0,1.0
2019-03-04,104.92,105.9155,103.2668,104.19,103.4063,12466285,0.0,1.0
2019-03-01,105.1,105.905,104.2,104.43,103.6445,13813310,0.0,1.0
2019-02-28,105.01,105.21,104.18,104.36,103.575,15156850,0.0,1.0
2019-02-27,105.18,105.38,104.505,105.16,104.369,9968822,0.0,1.0
2019-02-26,104.5,105.47,103.94,105.29,104.498,15465393,0.0,1.0
2019-02-25,105.75,107.27,105.69,106.1,105.302,11230679,0.0,1.0
