,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2022-11-07,59.26,59.77,59.24,59.49,59.49,8849704,0.0,1.0
2022-11-04,59.3,59.585,58.56,59.26,59.26,9726126,0.0,1.0
2022-11-03,58.11,58.9972,58.1,58.78,58.78,9193970,0.0,1.0
2022-11-02,59.64,60.23,58.77,58.81,58.81,14551132,0.0,1.0
2022-11-01,60.03,60.29,59.37,59.64,59.64,10659459,0.0,1.0
2022-10-31,60.51,60.57,59.67,59.85,59.85,14016378,0.0,1.0
2022-10-28,59.57,60.91,59.47,60.76,60.76,12888859,0.0,1.0
2022-10-27,59.77,59.84,59.375,59.53,59.53,16026117,0.0,1.0
2022-10-26,59.01,59.78,58.86,59.39,59.39,15841374,0.0,1.0
2022-10-25,59.04,59.11,57.75,58.95,58.95,28829930,0.0,1.0
2022-10-24,56.64,57.73,56.57,57.57,57.57,17416681,0.0,1.0
2022-10-21,55.0,56.105,54.985,55.96,55.96,15034054,0.0,1.0
2022-10-20,55.77,55.92,54.96,55.08,55.08,16905147,0.0,1.0
2022-10-19,56.31,56.54,55.73,55.96,55.96,10182286,0.0,1.0
2022-10-18,56.31,56.78,56.1009,56.44,56.44,11823119,0.0,1.0
2022-10-17,55.63,56.215,55.57,55.69,55.69,13721426,0.0,1.0
2022-10-14,56.29,56.47,54.94,54.98,54.98,16001400,0.0,1.0
2022-10-13,54.48,56.08,54.26,55.87,55.87,16220718,0.0,1.0
2022-10-12,55.23,56.0365,55.04,55.14,55.14,18377448,0.0,1.0
2022-10-11,54.46,55.22,54.24,54.48,54.48,14303920,0.0,1.0
2022-10-10,54.6,54.96,54.015,54.39,54.39,10239123,0.0,1.0
2022-10-07,54.99,55.09,54.25,54.51,54.51,11479799,0.0,1.0
2022-10-06,56.0,56.1,54.87,55.03,55.03,17192843,0.0,1.0
2022-10-05,56.5,56.65,55.51,56.24,56.24,14324851,0.0,1.0
2022-10-04,56.95,57.81,56.46,56.78,56.78,18861431,0.0,1.0
2022-10-03,56.36,56.85,56.06,56.65,56.65,16277620,0.0,1.0
2022-09-30,56.87,57.13,56.0,56.02,56.02,16124618,0.0,1.0
2022-09-29,57.09,57.29,56.0,56.57,56.57,14570701,0.0,1.0
2022-09-28,56.66,57.25,55.91,56.98,56.98,21480149,0.0,1.0
2022-09-27,58.08,58.37,56.31,56.38,56.38,23829348,0.0,1.0
2022-09-26,58.49,58.57,57.685,57.87,57.87,18670050,0.0,1.0
2022-09-23,58.96,59.1,58.0,58.6,58.6,14824047,0.0,1.0
2022-09-22,59.55,59.73,59.2,59.26,59.26,11380964,0.0,1.0
2022-09-21,60.14,60.7,59.39,59.4,59.4,14165341,0.0,1.0
2022-09-20,59.68,60.03,59.315,59.9,59.9,11984607,0.0,1.0
2022-09-19,59.39,60.1,59.225,59.99,59.99,12596248,0.0,1.0
2022-09-16,59.66,59.795,59.11,59.54,59.54,20493535,0.0,1.0
2022-09-15,60.4,60.4,59.36,59.53,59.53,11451927,0.44,1.0
2022-09-14,60.64,61.08,60.44,60.79,60.3439836585,12881592,0.0,1.0
2022-09-13,62.2,62.22,60.28,60.47,60.0263314991,18532832,0.0,1.0
2022-09-12,62.43,62.81,62.27,62.5,62.0414373854,13026935,0.0,1.0
2022-09-09,62.17,62.88,61.855,62.32,61.8627580457,11855886,0.0,1.0
2022-09-08,62.08,62.3,61.34,62.12,61.6642254461,17193460,0.0,1.0
2022-09-07,61.32,62.49,61.32,62.31,61.8528314157,13290711,0.0,1.0
2022-09-06,61.29,61.965,60.99,61.18,60.7311222278,12166862,0.0,1.0
2022-09-02,62.39,62.77,60.895,61.15,60.7013423378,11809821,0.0,1.0
2022-09-01,61.58,62.04,61.29,62.0,61.5451058863,14939684,0.0,1.0
2022-08-31,62.38,62.53,61.7,61.71,61.2572336168,14633568,0.0,1.0
2022-08-30,62.91,62.91,61.9937,62.15,61.694005336,8456837,0.0,1.0
2022-08-29,62.685,63.025,62.41,62.73,62.2697498749,8972384,0.0,1.0
2022-08-26,64.73,64.8,62.98,63.11,62.6469618142,10089513,0.0,1.0
2022-08-25,64.36,64.705,63.9,64.67,64.1955160914,7913869,0.0,1.0
2022-08-24,64.24,64.575,64.05,64.36,63.8877905619,6844730,0.0,1.0
2022-08-23,63.82,64.37,63.68,64.27,63.7984508921,8443752,0.0,1.0
2022-08-22,64.84,64.92,63.99,64.2,63.7289644822,9087893,0.0,1.0
2022-08-19,65.205,65.47,64.96,65.17,64.6918475905,8921062,0.0,1.0
2022-08-18,64.96,65.35,64.71,65.22,64.7414807404,6532028,0.0,1.0
2022-08-17,64.83,65.22,64.76,64.88,64.403975321,8144045,0.0,1.0
2022-08-16,64.57,65.23,64.33,65.03,64.5528747707,9569616,0.0,1.0
2022-08-15,63.64,64.69,63.57,64.5,64.0267633817,9863332,0.0,1.0
2022-08-12,63.43,63.76,63.09,63.7,63.2326329832,9489284,0.0,1.0
2022-08-11,63.69,63.99,63.08,63.22,62.756154744,8507766,0.0,1.0
2022-08-10,63.63,63.79,63.1,63.65,63.1829998333,8857253,0.0,1.0
2022-08-09,63.18,63.31,62.85,63.05,62.5874020344,7910877,0.0,1.0
2022-08-08,63.5,63.81,62.75,62.97,62.5079889945,9166673,0.0,1.0
2022-08-05,63.63,63.63,62.67,63.38,62.9149808237,10445393,0.0,1.0
2022-08-04,63.64,63.73,62.92,63.67,63.2028530932,11795647,0.0,1.0
2022-08-03,63.55,64.095,63.31,63.92,63.4510188428,11316985,0.0,1.0
2022-08-02,64.59,64.6,63.43,63.64,63.1730732033,15241904,0.0,1.0
2022-08-01,64.09,65.04,64.03,64.52,64.0466166417,12831535,0.0,1.0
2022-07-29,63.71,64.29,63.63,64.17,63.6991845923,13734236,0.0,1.0
2022-07-28,62.92,64.245,62.89,64.06,63.5899916625,10837003,0.0,1.0
2022-07-27,62.88,63.185,61.785,63.01,62.5476955144,12142874,0.0,1.0
2022-07-26,62.75,63.8,62.53,63.21,62.7462281141,20117950,0.0,1.0
2022-07-25,61.55,62.3,61.31,62.19,61.7337118559,14941652,0.0,1.0
2022-07-22,61.38,61.87,61.32,61.59,61.138114057,11644691,0.0,1.0
2022-07-21,61.26,61.875,60.79,61.36,60.9098015675,11959622,0.0,1.0
2022-07-20,62.4,62.58,61.145,61.5,61.0487743872,11010454,0.0,1.0
2022-07-19,62.09,62.65,61.925,62.53,62.0712172753,10998234,0.0,1.0
2022-07-18,62.52,62.56,61.51,61.65,61.1976738369,10780844,0.0,1.0
2022-07-15,62.75,62.97,62.07,62.5,62.0414373854,21968418,0.0,1.0
2022-07-14,61.33,62.25,61.3,62.18,61.7237852259,14433044,0.0,1.0
2022-07-13,62.33,63.0,61.9811,62.38,61.9223178256,13145291,0.0,1.0
2022-07-12,63.0,63.45,62.47,62.67,62.210190095,14731072,0.0,1.0
2022-07-11,62.99,63.46,62.585,62.94,62.4782091046,12704111,0.0,1.0
2022-07-08,63.03,63.42,62.88,63.14,62.6767417042,11311461,0.0,1.0
2022-07-07,63.26,63.58,62.7,62.91,62.4484292146,14828434,0.0,1.0
2022-07-06,63.6,64.09,63.19,63.41,62.9447607137,13450506,0.0,1.0
2022-07-05,64.18,64.18,62.415,63.28,62.8157145239,15925029,0.0,1.0
2022-07-01,63.12,64.45,62.82,64.38,63.9076438219,15143204,0.0,1.0
2022-06-30,62.32,63.1144,62.16,62.91,62.4484292146,15514153,0.0,1.0
2022-06-29,62.54,63.11,62.43,62.73,62.2697498749,11795511,0.0,1.0
2022-06-28,63.08,63.76,62.105,62.28,61.8230515258,13181559,0.0,1.0
2022-06-27,62.98,63.2867,62.63,62.91,62.4484292146,12142112,0.0,1.0
2022-06-24,62.11,63.06,62.11,63.04,62.5774754044,18147070,0.0,1.0
2022-06-23,61.3,61.91,61.2263,61.88,61.4259863265,17190869,0.0,1.0
2022-06-22,60.6,61.445,60.315,61.15,60.7013423378,15209869,0.0,1.0
2022-06-21,59.49,60.88,59.01,60.7,60.2546439887,17705019,0.0,1.0
2022-06-17,59.7,60.125,59.13,59.43,58.993961981,34781917,0.0,1.0
2022-06-16,58.64,59.52,58.2528,59.07,58.6366033017,15053843,0.0,1.0
2022-06-15,60.0,60.635,58.97,59.67,59.2322011006,19684697,0.0,1.0
2022-06-14,60.73,60.89,58.655,59.23,58.7954293814,24620023,0.44,1.0
