,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2022-11-07,275.07,278.0761,275.07,276.41,276.41,3029606,0.0,1.0
2022-11-04,275.6,275.71,272.13,274.62,274.62,3256637,0.0,1.0
2022-11-03,269.33,274.68,268.38,272.95,272.95,3225427,0.0,1.0
2022-11-02,273.0,276.67,270.31,270.37,270.37,3070720,0.0,1.0
2022-11-01,273.69,273.79,269.66,272.95,272.95,2740902,0.0,1.0
2022-10-31,273.06,273.63,270.81,272.66,272.66,3336099,0.0,1.0
2022-10-28,267.51,274.81,265.99,274.52,274.52,4647609,0.0,1.0
2022-10-27,263.0,266.99,262.26,265.11,265.11,4145682,0.0,1.0
2022-10-26,257.84,260.69,256.12,256.61,256.61,3584203,0.0,1.0
2022-10-25,254.57,257.28,254.4,255.73,255.73,2688965,0.0,1.0
2022-10-24,255.28,256.8699,253.07,255.32,255.32,4125185,0.0,1.0
2022-10-21,250.21,255.36,249.5,254.55,254.55,3254868,0.0,1.0
2022-10-20,249.55,251.75,249.05,249.77,249.77,2410780,0.0,1.0
2022-10-19,250.0,252.52,249.115,250.75,250.75,3021325,0.0,1.0
2022-10-18,249.37,250.42,247.25,249.19,249.19,3123554,0.0,1.0
2022-10-17,245.8,247.22,243.53,246.48,246.48,2758210,0.0,1.0
2022-10-14,249.08,249.43,242.41,243.16,243.16,2918634,0.0,1.0
2022-10-13,234.46,249.3,234.46,246.75,246.75,5027008,0.0,1.0
2022-10-12,237.27,240.035,237.06,237.06,237.06,2709329,0.0,1.0
2022-10-11,234.16,239.12,233.93,237.05,237.05,3169249,0.0,1.0
2022-10-10,233.41,236.2625,233.41,234.95,234.95,2668736,0.0,1.0
2022-10-07,233.96,234.6,232.08,233.19,233.19,2294343,0.0,1.0
2022-10-06,239.34,239.88,234.455,234.75,234.75,2999161,0.0,1.0
2022-10-05,236.91,240.41,236.14,239.09,239.09,3032973,0.0,1.0
2022-10-04,236.71,241.045,236.21,238.5,238.5,3685899,0.0,1.0
2022-10-03,233.52,236.85,231.705,235.34,235.34,3286854,0.0,1.0
2022-09-30,233.32,234.83,230.58,230.74,230.74,3629346,0.0,1.0
2022-09-29,236.32,237.66,232.46,234.4,234.4,3053196,0.0,1.0
2022-09-28,236.13,238.53,233.76,236.94,236.94,4202520,0.0,1.0
2022-09-27,244.58,244.93,236.56,236.7,236.7,4193797,0.0,1.0
2022-09-26,245.94,246.245,242.44,243.76,243.76,3179136,0.0,1.0
2022-09-23,247.21,249.095,244.19,245.95,245.95,2672105,0.0,1.0
2022-09-22,250.39,250.43,247.65,247.94,247.94,2292951,0.0,1.0
2022-09-21,255.13,256.91,251.08,251.08,251.08,2438811,0.0,1.0
2022-09-20,256.1,256.49,252.78,255.4,255.4,2140264,0.0,1.0
2022-09-19,254.0,257.55,253.35,257.01,257.01,2196034,0.0,1.0
2022-09-16,251.85,255.82,251.75,254.91,254.91,4304082,0.0,1.0
2022-09-15,255.02,255.23,252.49,253.47,253.47,2289465,0.0,1.0
2022-09-14,255.0,258.265,254.37,255.72,255.72,2745402,0.0,1.0
2022-09-13,257.74,258.95,253.67,254.33,254.33,2604856,0.0,1.0
2022-09-12,260.0,261.4,259.42,260.37,260.37,2204324,0.0,1.0
2022-09-09,260.26,260.74,258.21,259.52,259.52,2007248,0.0,1.0
2022-09-08,257.85,261.085,257.33,260.08,260.08,2448912,0.0,1.0
2022-09-07,255.14,259.82,254.96,258.42,258.42,4185152,0.0,1.0
2022-09-06,254.47,256.73,253.38,254.39,254.39,2638579,0.0,1.0
2022-09-02,257.41,258.58,253.36,254.51,254.51,1791551,0.0,1.0
2022-09-01,251.82,256.53,251.76,256.47,256.47,2577843,0.0,1.0
2022-08-31,254.17,255.68,252.2,252.28,252.28,3119229,1.38,1.0
2022-08-30,256.0,256.72,252.57,253.49,252.11092486,2051259,0.0,1.0
2022-08-29,255.5,256.71,254.59,255.66,254.269119294,2015050,0.0,1.0
2022-08-26,262.8,263.2,256.39,256.95,255.552101238,2357840,0.0,1.0
2022-08-25,261.99,262.68,260.2,262.56,261.131580856,1330619,0.0,1.0
2022-08-24,260.71,262.0,259.86,260.86,259.440829457,1777334,0.0,1.0
2022-08-23,262.62,263.35,260.53,260.54,259.12257037,2211064,0.0,1.0
2022-08-22,264.5,265.79,262.37,262.95,261.519459119,1986909,0.0,1.0
2022-08-19,265.94,267.75,265.54,266.54,265.08992825,1833797,0.0,1.0
2022-08-18,266.0,267.36,265.42,266.58,265.129710636,1591923,0.0,1.0
2022-08-17,265.96,267.97,265.58,266.82,265.368404952,1699066,0.0,1.0
2022-08-16,265.04,267.13,264.26,266.29,264.841288339,1828116,0.0,1.0
2022-08-15,262.21,265.62,261.25,265.44,263.995912639,2342816,0.0,1.0
2022-08-12,259.55,262.51,259.55,262.18,260.75364819,1530824,0.0,1.0
2022-08-11,263.2,263.27,258.63,259.28,257.869425215,2007282,0.0,1.0
2022-08-10,262.0,263.71,260.5,261.36,259.93810928,2967962,0.0,1.0
2022-08-09,256.9,260.205,256.36,260.06,258.645181739,2315836,0.0,1.0
2022-08-08,260.0,260.91,255.34,256.8,255.402917291,2253706,0.0,1.0
2022-08-05,259.64,260.0299,257.07,259.23,257.819697233,1818555,0.0,1.0
2022-08-04,261.7,262.18,258.69,260.64,259.222026334,2089596,0.0,1.0
2022-08-03,261.05,262.92,259.755,262.09,260.664137822,2305469,0.0,1.0
2022-08-02,264.62,265.45,260.89,261.05,259.62979579,2375235,0.0,1.0
2022-08-01,262.54,265.46,262.41,264.23,262.792495466,2383975,0.0,1.0
2022-07-29,263.65,264.3505,262.095,263.37,261.93717417,2653895,0.0,1.0
2022-07-28,258.8,264.0,257.56,263.46,262.026684538,2849053,0.0,1.0
2022-07-27,255.8,259.91,254.69,258.89,257.481546953,2718471,0.0,1.0
2022-07-26,249.56,259.22,248.7,257.09,255.691339588,5272297,0.0,1.0
2022-07-25,254.57,254.8,248.655,250.38,249.017844359,2860421,0.0,1.0
2022-07-22,253.75,254.53,252.45,253.99,252.608204683,2226576,0.0,1.0
2022-07-21,253.99,254.8,252.32,253.47,252.091033667,2056470,0.0,1.0
2022-07-20,256.78,256.91,253.47,254.58,253.194994875,2183656,0.0,1.0
2022-07-19,253.88,256.62,252.97,256.5,255.104549397,2181323,0.0,1.0
2022-07-18,255.24,255.59,252.07,252.42,251.046746038,2164571,0.0,1.0
2022-07-15,254.02,256.39,253.45,255.01,253.622655523,2627237,0.0,1.0
2022-07-14,249.89,253.1,249.62,252.6,251.225766774,2371030,0.0,1.0
2022-07-13,248.96,254.8,248.26,252.67,251.29538595,2205342,0.0,1.0
2022-07-12,252.97,255.62,250.76,251.48,250.11185997,2112805,0.0,1.0
2022-07-11,252.08,255.4025,252.08,253.28,251.902067334,1478345,0.0,1.0
2022-07-08,252.6,254.62,252.32,253.24,251.862284948,1450519,0.0,1.0
2022-07-07,253.26,254.92,251.18,252.94,251.563917054,2396689,0.0,1.0
2022-07-06,252.47,252.86,249.37,251.46,250.091968777,1948691,0.0,1.0
2022-07-05,251.15,253.0,249.66,252.29,250.917453284,2392617,0.0,1.0
2022-07-01,246.35,253.14,246.0,252.96,251.583808247,2531474,0.0,1.0
2022-06-30,248.25,248.59,245.4506,246.88,245.536885595,2786218,0.0,1.0
2022-06-29,246.14,248.87,245.105,247.74,246.392206891,2997210,0.0,1.0
2022-06-28,247.06,249.96,242.52,242.83,241.508919025,2381745,0.0,1.0
2022-06-27,247.9,248.77,246.565,247.03,245.686069542,2059304,0.0,1.0
2022-06-24,245.26,248.0,244.49,247.9,246.551336435,3104842,0.0,1.0
2022-06-23,243.7,245.085,240.455,243.58,242.254838761,1937201,0.0,1.0
2022-06-22,238.79,244.55,238.36,243.06,241.737667744,3054788,0.0,1.0
2022-06-21,236.22,240.1,234.14,239.59,238.28654577,3263514,0.0,1.0
2022-06-17,234.22,235.49,232.17,234.38,233.10489001,7236261,0.0,1.0
2022-06-16,236.08,237.3223,233.82,235.19,233.910483324,3271976,0.0,1.0
2022-06-15,239.86,241.58,236.12,238.9,237.600299614,3152171,0.0,1.0
2022-06-14,239.96,242.9,238.62,238.76,237.461061263,3564777,0.0,1.0
2022-06-13,232.79,240.1,232.68,238.47,237.172638966,4697049,0.0,1.0
2022-06-10,239.18,239.51,237.16,237.38,236.088568951,1994336,0.0,1.0
2022-06-09,243.62,246.0,242.03,242.16,240.842564062,2682889,0.0,1.0
2022-06-08,247.9,248.48,244.89,245.61,244.273794843,2101295,0.0,1.0
2022-06-07,246.0,249.79,245.53,248.94,247.585678467,2782196,0.0,1.0
2022-06-06,249.08,249.525,247.33,248.07,246.720411575,1569322,0.0,1.0
2022-06-03,248.43,250.27,248.17,248.36,247.008833872,1838859,1.38,1.0
2022-06-02,249.6,250.44,246.22,250.38,247.641834808,2089654,0.0,1.0
2022-06-01,253.19,253.4158,248.19,249.28,246.55386445,2264141,0.0,1.0
2022-05-31,250.0,254.28,248.6289,252.21,249.451821858,3924700,0.0,1.0
2022-05-27,249.5,251.87,248.78,251.87,249.115540111,2063755,0.0,1.0
2022-05-26,246.0,249.3269,245.595,248.09,245.376878335,1972341,0.0,1.0
2022-05-25,242.58,245.7,241.59,244.01,241.34149737,2641667,0.0,1.0
2022-05-24,237.5,245.8,237.45,244.52,241.84591999,5258233,0.0,1.0
