,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-05-31,159.83,160.74,159.63,159.75,159.75,3521930,0.0,1.0
2019-05-30,161.4,162.27,160.0,160.58,160.58,2478748,0.0,1.0
2019-05-29,163.01,163.8,160.5,161.4,161.4,3669087,0.0,1.0
2019-05-28,166.8,166.99,163.35,163.35,163.35,4875105,0.0,1.0
2019-05-24,166.34,167.42,165.32,166.09,166.09,2366928,0.0,1.0
2019-05-23,167.58,168.3,164.59,165.87,165.87,3830288,1.44,1.0
2019-05-22,167.43,170.76,166.46,169.74,168.2791,4504159,0.0,1.0
2019-05-21,167.01,167.42,166.18,167.3,165.8601,4148575,0.0,1.0
2019-05-20,167.96,167.96,165.61,166.25,164.8191,4374976,0.0,1.0
2019-05-17,170.0,170.26,168.43,169.09,167.6347,4595046,0.0,1.0
2019-05-16,174.39,174.39,171.36,171.81,170.3313,4039493,0.0,1.0
2019-05-15,174.02,175.65,173.651,174.12,172.6214,3015543,0.0,1.0
2019-05-14,174.79,176.97,174.51,175.21,173.702,4013992,0.0,1.0
2019-05-13,173.935,174.58,172.79,174.07,172.5718,5916911,0.0,1.0
2019-05-10,175.02,176.33,173.01,175.86,174.3464,5012341,0.0,1.0
2019-05-09,177.3,177.4,174.18,175.28,173.7714,5098235,0.0,1.0
2019-05-08,179.51,180.525,178.5,178.59,177.0529,2990518,0.0,1.0
2019-05-07,181.81,181.9,177.81,179.12,177.5784,5415556,0.0,1.0
2019-05-06,182.04,183.1055,180.13,183.04,181.4646,6517556,0.0,1.0
2019-05-03,185.81,186.685,184.0886,185.22,183.6259,4747767,0.0,1.0
2019-05-02,184.5,186.5,183.38,184.75,183.1599,5654907,0.0,1.0
2019-05-01,189.49,189.71,185.92,186.07,184.4685,3818525,0.0,1.0
2019-04-30,190.86,190.86,186.5475,189.51,187.8789,4540971,0.0,1.0
2019-04-29,191.52,192.19,189.75,190.21,188.5729,3803436,0.0,1.0
2019-04-26,190.53,192.25,189.36,191.67,190.0203,4491273,0.0,1.0
2019-04-25,197.54,198.96,189.6,190.72,189.0785,14646157,0.0,1.0
2019-04-24,219.0,219.75,218.1,219.08,217.1944,2048899,0.0,1.0
2019-04-23,218.01,219.55,217.18,219.5,217.6108,1561876,0.0,1.0
2019-04-22,217.3,219.4,217.27,218.54,216.6591,1403478,0.0,1.0
2019-04-18,217.98,219.67,217.62,218.88,216.9961,1780159,0.0,1.0
2019-04-17,217.63,219.33,217.175,217.64,215.7668,1977615,0.0,1.0
2019-04-16,216.59,217.67,215.48,216.9,215.0332,1549643,0.0,1.0
2019-04-15,216.84,217.36,214.9,215.83,213.9724,1483313,0.0,1.0
2019-04-12,215.1,217.49,214.35,217.42,215.5487,1922409,0.0,1.0
2019-04-11,211.71,213.71,211.44,213.53,211.6922,1181248,0.0,1.0
