,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2022-11-07,98.5,100.36,97.67,100.07,100.07,8644727,0.0,1.0
2022-11-04,99.0,99.375,97.96,99.2,99.2,8877566,0.0,1.0
2022-11-03,99.0,99.24,98.0,98.75,98.75,9912669,0.0,1.0
2022-11-02,99.65,101.03,98.98,99.4,99.4,9506519,0.0,1.0
2022-11-01,100.65,101.07,98.945,99.76,99.76,11079286,0.0,1.0
2022-10-31,99.95,101.355,99.31,101.2,101.2,11043805,0.0,1.0
2022-10-28,100.24,101.14,98.55,100.77,100.77,11227976,0.0,1.0
2022-10-27,99.84,101.5,99.5,99.74,99.74,12218409,0.0,1.0
2022-10-26,98.29,99.275,98.0,98.41,98.41,10376405,0.0,1.0
2022-10-25,96.86,98.29,96.35,97.71,97.71,8747864,0.0,1.0
2022-10-24,96.45,98.42,96.27,97.37,97.37,11414862,0.0,1.0
2022-10-21,92.84,95.96,92.64,95.67,95.67,10297179,0.0,1.0
2022-10-20,93.2,93.4,92.36,92.94,92.94,7626055,0.0,1.0
2022-10-19,94.91,94.91,93.1,93.26,93.26,8546296,0.0,1.0
2022-10-18,94.42,95.32,94.02,94.61,94.61,9530386,0.0,1.0
2022-10-17,92.84,94.37,92.45,94.12,94.12,12139895,0.0,1.0
2022-10-14,92.27,93.36,91.74,92.18,92.18,9847759,0.0,1.0
2022-10-13,89.5,92.72,89.27,92.49,92.49,9382759,0.0,1.0
2022-10-12,91.25,91.72,90.365,90.42,90.42,8522211,0.0,1.0
2022-10-11,90.43,91.98,90.2,91.05,91.05,9743682,0.0,1.0
2022-10-10,89.93,91.5857,89.71,90.48,90.48,14484995,0.0,1.0
2022-10-07,87.88,88.3,87.115,87.6,87.6,8837393,0.0,1.0
2022-10-06,87.76,88.01,87.23,87.44,87.44,8055542,0.0,1.0
2022-10-05,88.58,88.78,88.02,88.39,88.39,6065661,0.0,1.0
2022-10-04,87.54,88.65,87.0,88.39,88.39,7372977,0.0,1.0
2022-10-03,86.72,87.9,86.02,87.55,87.55,9187014,0.0,1.0
2022-09-30,87.25,87.62,86.1,86.12,86.12,9035613,0.0,1.0
2022-09-29,87.0,87.42,86.23,86.64,86.64,6601358,0.0,1.0
2022-09-28,86.99,87.25,86.2,86.78,86.78,6840088,0.0,1.0
2022-09-27,86.82,87.63,85.67,85.84,85.84,6532113,0.0,1.0
2022-09-26,86.12,86.71,85.29,86.18,86.18,8841196,0.0,1.0
2022-09-23,87.4,88.01,86.09,86.78,86.78,9038536,0.0,1.0
2022-09-22,84.55,88.15,84.55,87.51,87.51,11444909,0.0,1.0
2022-09-21,86.25,86.495,84.52,84.53,84.53,7190830,0.0,1.0
2022-09-20,86.07,86.45,85.59,86.0,86.0,5454784,0.0,1.0
2022-09-19,86.85,86.94,85.64,86.64,86.64,7748617,0.0,1.0
