,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-05-31,124.23,124.615,123.32,123.68,123.68,26445980,0.0,1.0
2019-05-30,125.26,125.76,124.78,125.73,125.73,16829613,0.0,1.0
2019-05-29,125.38,125.39,124.04,124.94,124.94,22763140,0.0,1.0
2019-05-28,126.98,128.0,126.05,126.16,126.16,23128359,0.0,1.0
2019-05-24,126.91,127.415,125.97,126.24,126.24,14123358,0.0,1.0
2019-05-23,126.2,126.29,124.74,126.18,126.18,23603810,0.0,1.0
2019-05-22,126.62,128.24,126.52,127.67,127.67,15396485,0.0,1.0
2019-05-21,127.43,127.5273,126.58,126.9,126.9,15293260,0.0,1.0
2019-05-20,126.52,127.5894,125.7607,126.22,126.22,23706934,0.0,1.0
2019-05-17,128.305,130.46,127.92,128.07,128.07,25770539,0.0,1.0
2019-05-16,126.75,129.38,126.46,128.93,128.93,30112216,0.0,1.0
2019-05-15,124.26,126.71,123.7,126.02,126.02,24722708,0.46,1.0
2019-05-14,123.87,125.88,123.7,124.73,124.2764,25266315,0.0,1.0
2019-05-13,124.11,125.55,123.04,123.35,122.9014,33944923,0.0,1.0
2019-05-10,124.91,127.93,123.82,127.13,126.6676,30915084,0.0,1.0
2019-05-09,124.29,125.79,123.57,125.5,125.0436,27235835,0.0,1.0
2019-05-08,125.44,126.37,124.75,125.51,125.0535,28418996,0.0,1.0
2019-05-07,126.46,127.18,124.22,125.52,125.0635,36017661,0.0,1.0
2019-05-06,126.39,128.56,126.11,128.15,127.6839,24239464,0.0,1.0
2019-05-03,127.36,129.43,127.25,128.9,128.4312,24911126,0.0,1.0
2019-05-02,127.98,128.0,125.52,126.21,125.751,27350161,0.0,1.0
2019-05-01,130.53,130.65,127.7,127.88,127.4149,26821692,0.0,1.0
2019-04-30,129.81,130.7,129.3947,130.6,130.125,24166503,0.0,1.0
2019-04-29,129.9,130.18,129.35,129.77,129.298,16324183,0.0,1.0
2019-04-26,129.7,130.5152,129.02,129.89,129.4176,23654933,0.0,1.0
2019-04-25,130.06,131.37,128.83,129.15,128.6803,38033892,0.0,1.0
2019-04-24,125.79,125.85,124.52,125.01,124.5553,31256980,0.0,1.0
2019-04-23,124.1,125.58,123.83,125.44,124.9838,24025521,0.0,1.0
