,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-05-31,78.0,78.26,77.07,77.14,77.14,8889503,0.22,1.0
2019-05-30,78.92,79.73,78.61,79.26,79.0346,6177832,0.0,1.0
2019-05-29,80.71,80.86,77.7,78.87,78.6457,10116913,0.0,1.0
2019-05-28,82.85,83.19,81.13,81.2,80.9691,7927485,0.0,1.0
2019-05-24,82.2,83.17,82.09,82.16,81.9263,5998980,0.0,1.0
2019-05-23,82.5,83.06,81.99,82.64,82.405,9704192,0.0,1.0
2019-05-22,82.99,83.34,82.76,83.2,82.9634,5237761,0.0,1.0
2019-05-21,83.36,83.8,82.51,83.64,83.4021,5762586,0.0,1.0
2019-05-20,83.8,83.8,82.735,82.85,82.6144,7182345,0.0,1.0
2019-05-17,83.51,85.515,83.5,84.57,84.3295,5068366,0.0,1.0
2019-05-16,84.51,85.4,84.2,84.28,84.0403,6745317,0.0,1.0
2019-05-15,83.17,84.49,82.94,84.01,83.7711,4862202,0.0,1.0
2019-05-14,82.78,84.0,82.06,83.67,83.4321,7529248,0.0,1.0
2019-05-13,81.65,82.63,81.32,82.53,82.2953,6445267,0.0,1.0
2019-05-10,82.78,84.27,82.19,83.95,83.7113,5450504,0.0,1.0
2019-05-09,82.21,83.01,81.5355,82.98,82.744,6336567,0.0,1.0
2019-05-08,82.43,83.99,82.14,82.77,82.5346,9501257,0.0,1.0
2019-05-07,83.02,83.63,81.83,82.54,82.3053,9811257,0.0,1.0
2019-05-06,83.77,83.87,82.86,83.57,83.3323,12836646,0.0,1.0
2019-05-03,85.9,86.3,85.695,85.7,85.4563,6798283,0.0,1.0
2019-05-02,86.21,86.28,84.985,85.27,85.0275,6813740,0.0,1.0
2019-05-01,87.73,87.95,85.87,85.9,85.6557,6524576,0.0,1.0
2019-04-30,88.29,88.4,87.26,87.83,87.5802,7614083,0.0,1.0
2019-04-29,88.18,88.505,88.13,88.26,88.009,5008453,0.0,1.0
2019-04-26,87.95,88.94,87.33,88.31,88.0589,6219557,0.0,1.0
2019-04-25,88.4,88.54,87.49,87.56,87.311,7069867,0.0,1.0
2019-04-24,87.67,88.8241,87.43,88.39,88.1386,8062966,0.0,1.0
2019-04-23,87.57,87.67,87.0092,87.43,87.1814,7513959,0.0,1.0
2019-04-22,88.35,88.64,87.3,87.36,87.1116,5390519,0.0,1.0
2019-04-18,88.76,90.0,88.7,89.2,88.9463,7016564,0.0,1.0
2019-04-17,87.95,88.97,87.45,88.73,88.4777,5694880,0.0,1.0
2019-04-16,87.0,87.95,87.0,87.8,87.5503,4652727,0.0,1.0
2019-04-15,86.89,87.2428,86.4388,86.83,86.5831,5035211,0.0,1.0
