,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2022-11-07,47.16,47.65,46.75,47.09,47.09,20304409,0.0,1.0
2022-11-04,47.47,47.54,46.61,47.22,47.22,24528468,0.0,1.0
2022-11-03,46.36,46.8,46.16,46.57,46.57,20124634,0.4,1.0
2022-11-02,47.77,48.17,46.95,47.07,46.6691483926,25813065,0.0,1.0
2022-11-01,48.0,48.42,47.4,48.01,47.6011432829,30614537,0.0,1.0
2022-10-31,47.08,47.385,46.54,46.55,46.1535767511,29961713,0.0,1.0
2022-10-28,45.98,47.52,45.93,47.43,47.0260826059,27854043,0.0,1.0
2022-10-27,45.81,46.1079,45.68,45.74,45.3504747711,20377727,0.0,1.0
2022-10-26,45.92,46.65,45.62,46.06,45.6677496274,21413029,0.0,1.0
2022-10-25,45.27,45.82,44.89,45.59,45.2017521822,23126979,0.0,1.0
2022-10-24,45.075,45.87,44.985,45.54,45.1521779859,24971991,0.0,1.0
2022-10-21,43.31,45.16,42.99,44.95,44.5672024697,36575713,0.0,1.0
2022-10-20,43.27,43.41,42.8226,42.91,42.5445752608,17714964,0.0,1.0
2022-10-19,43.91,44.07,42.74,43.11,42.742872046,23054685,0.0,1.0
2022-10-18,44.05,44.36,43.6201,44.09,43.7145262934,18442763,0.0,1.0
2022-10-17,43.19,43.81,43.19,43.65,43.278273366,16678396,0.0,1.0
2022-10-14,42.89,43.375,42.36,42.86,42.4950010645,16983573,0.0,1.0
2022-10-13,41.76,43.16,41.7,42.98,42.6139791356,23135226,0.0,1.0
2022-10-12,42.09,43.14,41.92,42.03,41.672069406,18803628,0.0,1.0
2022-10-11,41.66,42.57,41.445,41.92,41.5630061742,20981150,0.0,1.0
2022-10-10,42.35,42.62,41.75,41.75,41.3944539067,17888002,0.0,1.0
2022-10-07,43.05,43.05,41.9208,42.32,41.9595997445,20095005,0.0,1.0
2022-10-06,43.76,43.775,43.04,43.09,42.7230423675,22068158,0.0,1.0
2022-10-05,44.12,44.37,43.68,44.12,43.7442708112,15673442,0.0,1.0
2022-10-04,44.25,44.84,44.09,44.46,44.081375346,28198847,0.0,1.0
2022-10-03,44.07,44.28,43.49,44.14,43.7641004897,22834282,0.0,1.0
2022-09-30,44.17,44.605,43.73,43.76,43.3873365978,22962293,0.0,1.0
2022-09-29,44.41,44.62,43.95,44.16,43.7839301682,13559863,0.0,1.0
2022-09-28,44.67,44.81,44.215,44.43,44.0516308282,16532559,0.0,1.0
2022-09-27,44.22,44.58,43.735,44.09,43.7145262934,21562666,0.0,1.0
2022-09-26,43.81,44.33,43.67,43.83,43.4567404726,18680218,0.0,1.0
2022-09-23,44.44,44.56,43.575,44.08,43.7046114541,18871669,0.0,1.0
2022-09-22,43.67,45.0,43.52,44.57,44.1904385778,18402773,0.0,1.0
2022-09-21,44.81,44.98,43.9,43.92,43.545974026,17505210,0.0,1.0
2022-09-20,45.0,45.27,44.44,44.77,44.388735363,15368999,0.0,1.0
2022-09-19,45.68,45.88,44.78,45.44,45.0530295934,16256161,0.0,1.0
2022-09-16,46.09,46.62,45.64,46.03,45.6380051096,30629508,0.0,1.0
2022-09-15,46.11,46.29,45.7,45.94,45.5487715563,15801972,0.0,1.0
2022-09-14,46.2,46.41,45.78,46.15,45.7569831808,17162514,0.0,1.0
