,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2022-11-07,135.35,137.19,135.06,136.5,136.5,6746778,0.0,1.0
2022-11-04,133.32,135.0,132.52,134.44,134.44,5555471,0.0,1.0
2022-11-03,131.73,132.64,130.96,132.03,132.03,5204163,0.0,1.0
2022-11-02,134.72,136.54,132.81,132.94,132.94,7326827,0.0,1.0
2022-11-01,134.7,136.28,133.84,134.88,134.88,6428377,0.0,1.0
2022-10-31,135.2,135.67,134.26,134.67,134.67,8346305,0.0,1.0
2022-10-28,133.17,135.51,132.92,135.22,135.22,6996421,0.0,1.0
2022-10-27,132.0,133.12,131.5,131.88,131.88,6676715,0.0,1.0
2022-10-26,130.65,132.57,130.4,131.78,131.78,6613656,0.0,1.0
2022-10-25,129.6,131.18,128.47,130.86,130.86,6776004,0.0,1.0
2022-10-24,129.49,130.44,128.35,129.37,129.37,6946022,0.0,1.0
2022-10-21,126.54,128.95,126.48,128.58,128.58,6394604,0.0,1.0
2022-10-20,128.62,129.77,126.68,126.99,126.99,8167987,0.9133,1.0
2022-10-19,131.64,133.0,129.51,129.56,128.63487025,9993668,0.0,1.0
2022-10-18,129.33,130.065,127.66,128.37,127.453367505,7114181,0.0,1.0
2022-10-17,126.01,128.28,125.86,127.34,126.430722272,6664569,0.0,1.0
2022-10-14,126.75,127.02,124.765,125.08,124.186859917,5520319,0.0,1.0
2022-10-13,123.51,126.75,122.92,126.31,125.408077039,6910826,0.0,1.0
2022-10-12,124.84,125.81,124.41,124.43,123.541501275,6823671,0.0,1.0
2022-10-11,123.69,125.7,123.6,124.23,123.342929385,5516175,0.0,1.0
2022-10-10,123.37,124.25,122.18,123.76,122.876285444,6923335,0.0,1.0
2022-10-07,126.5,126.58,123.76,124.27,123.382643763,6095411,0.0,1.0
2022-10-06,128.89,129.06,126.35,126.48,125.576863146,5530781,0.0,1.0
2022-10-05,129.2,130.09,128.09,129.2,128.277440848,5071090,0.0,1.0
2022-10-04,129.1,130.87,128.7,130.1,129.171014352,7211561,0.0,1.0
2022-10-03,127.25,129.1,126.68,128.51,127.592367828,8477669,0.0,1.0
2022-09-30,129.0,129.04,126.21,126.25,125.348505472,9431937,0.0,1.0
2022-09-29,131.87,131.87,128.26,128.7,127.781011123,7128463,0.0,1.0
2022-09-28,133.02,133.02,131.19,131.98,131.037590117,10455120,0.0,1.0
2022-09-27,135.96,136.94,131.71,131.98,131.037590117,7722229,0.0,1.0
2022-09-26,135.58,136.82,134.99,135.71,134.740955863,7396366,0.0,1.0
2022-09-23,135.68,136.5,133.95,135.58,134.611884134,6523573,0.0,1.0
2022-09-22,135.74,137.07,135.24,136.21,135.237385587,5042705,0.0,1.0
2022-09-21,138.08,138.2,135.71,135.73,134.760813052,6413855,0.0,1.0
2022-09-20,137.41,137.97,136.53,137.5,136.518174277,5589800,0.0,1.0
2022-09-19,138.2,138.46,137.23,137.99,137.004675407,6056100,0.0,1.0
2022-09-16,137.44,139.06,137.11,138.28,137.292604647,9321466,0.0,1.0
2022-09-15,138.78,138.89,136.64,137.44,136.45860271,5320907,0.0,1.0
2022-09-14,138.66,139.66,137.67,138.51,137.520962321,6138000,0.0,1.0
2022-09-13,140.78,141.43,137.86,138.18,137.193318702,6350157,0.0,1.0
2022-09-12,139.41,141.8,139.11,141.1,140.092468294,5818761,0.0,1.0
