,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-05-31,31.06,31.16,30.38,30.58,30.58,49388586,0.0,1.0
2019-05-30,31.96,32.07,31.64,31.86,31.86,24227597,0.0,1.0
2019-05-29,31.91,32.21,31.69,31.91,31.91,26948867,0.0,1.0
2019-05-28,32.33,32.4185,31.91,31.93,31.93,24523052,0.0,1.0
2019-05-24,32.32,32.35,32.1,32.27,32.27,16156736,0.0,1.0
2019-05-23,32.18,32.32,31.93,32.14,32.14,24665483,0.0,1.0
2019-05-22,32.24,32.45,32.115,32.28,32.28,19988761,0.0,1.0
2019-05-21,32.24,32.64,32.09,32.41,32.41,23313504,0.0,1.0
2019-05-20,32.28,33.08,31.96,32.19,32.19,53455213,0.0,1.0
2019-05-17,31.41,31.995,31.38,31.8,31.8,30889487,0.0,1.0
2019-05-16,31.3525,31.875,31.3525,31.62,31.62,23634851,0.0,1.0
2019-05-15,31.04,31.3,30.89,31.25,31.25,23931316,0.0,1.0
2019-05-14,30.7,31.38,30.62,31.09,31.09,37525165,0.0,1.0
2019-05-13,30.35,30.65,30.34,30.47,30.47,27713285,0.0,1.0
2019-05-10,30.25,30.72,30.16,30.62,30.62,22013322,0.0,1.0
2019-05-09,30.27,30.45,30.125,30.38,30.38,27078359,0.0,1.0
2019-05-08,30.39,30.5,30.17,30.3,30.3,25015157,0.0,1.0
2019-05-07,30.52,30.59,30.28,30.53,30.53,25771202,0.0,1.0
2019-05-06,30.46,30.64,30.38,30.59,30.59,25182044,0.0,1.0
2019-05-03,30.66,30.79,30.57,30.7,30.7,28225621,0.0,1.0
2019-05-02,30.96,31.01,30.59,30.62,30.62,29711544,0.0,1.0
2019-05-01,31.05,31.21,30.78,30.79,30.79,27046955,0.0,1.0
2019-04-30,30.94,31.135,30.76,30.96,30.96,35001292,0.0,1.0
2019-04-29,30.91,31.305,30.82,30.88,30.88,31762671,0.0,1.0
2019-04-26,30.47,30.96,30.28,30.68,30.68,35191837,0.0,1.0
2019-04-25,30.635,30.65,30.05,30.34,30.34,44021278,0.0,1.0
2019-04-24,31.07,31.59,30.52,30.79,30.79,72249253,0.0,1.0
2019-04-23,32.06,32.28,31.88,32.1,32.1,31674988,0.0,1.0
2019-04-22,32.02,32.18,31.9199,32.08,32.08,22239129,0.0,1.0
2019-04-18,31.95,32.1,31.85,32.03,32.03,23317482,0.0,1.0
2019-04-17,32.08,32.2,31.95,31.95,31.95,22364832,0.0,1.0
2019-04-16,32.12,32.25,31.94,32.25,32.25,21701920,0.0,1.0
2019-04-15,32.21,32.25,31.94,32.02,32.02,19463704,0.0,1.0
2019-04-12,32.3,32.32,31.96,32.2,32.2,26021137,0.0,1.0
2019-04-11,31.92,32.25,31.88,32.2,32.2,24930873,0.0,1.0
2019-04-10,31.75,32.04,31.74,31.88,31.88,20385934,0.0,1.0
2019-04-09,31.85,31.89,31.54,31.75,31.75,26779029,0.51,1.0
2019-04-08,32.45,32.515,32.19,32.39,31.8779,37251965,0.0,1.0
2019-04-05,32.07,32.36,31.92,32.35,31.8386,39928718,0.0,1.0
2019-04-04,31.95,32.13,31.92,31.98,31.4744,28211971,0.0,1.0
2019-04-03,31.7968,31.96,31.64,31.87,31.3662,28779967,0.0,1.0
2019-04-02,31.91,31.95,31.55,31.63,31.13,31945765,0.0,1.0
2019-04-01,31.6,31.99,31.54,31.95,31.4449,37773767,0.0,1.0
2019-03-29,31.16,31.385,30.97,31.36,30.8642,31606530,0.0,1.0
2019-03-28,31.42,31.5,30.87,31.01,30.5198,26996419,0.0,1.0
2019-03-27,31.31,31.64,31.25,31.4,30.9036,26743641,0.0,1.0
2019-03-26,30.97,31.42,30.94,31.39,30.8938,24304939,0.0,1.0
2019-03-25,31.1,31.15,30.65,30.77,30.2836,25633279,0.0,1.0
2019-03-22,31.0,31.34,31.0,31.07,30.5788,33171404,0.0,1.0
2019-03-21,30.45,31.15,30.45,31.06,30.569,26343293,0.0,1.0
2019-03-20,30.59,30.76,30.4,30.51,30.0277,24664904,0.0,1.0
2019-03-19,30.87,31.05,30.56,30.68,30.195,28730520,0.0,1.0
2019-03-18,30.68,30.84,30.5866,30.8,30.3131,23325108,0.0,1.0
2019-03-15,30.51,30.68,30.3,30.67,30.1851,53361640,0.0,1.0
2019-03-14,30.28,30.49,30.21,30.28,29.8013,22091439,0.0,1.0
2019-03-13,30.65,30.72,30.21,30.28,29.8013,27702221,0.0,1.0
2019-03-12,30.25,30.895,30.22,30.63,30.1458,32484586,0.0,1.0
2019-03-11,29.98,30.31,29.945,30.22,29.7423,26018525,0.0,1.0
2019-03-08,29.85,30.06,29.74,29.96,29.4864,22505948,0.0,1.0
2019-03-07,29.86,30.07,29.8,29.92,29.447,24826103,0.0,1.0
2019-03-06,30.0,30.135,29.765,29.81,29.3387,24580343,0.0,1.0
