,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-05-31,145.14,146.33,144.49,145.57,145.57,1405436,0.0,1.0
2019-05-30,145.49,146.27,144.48,145.73,145.73,1068649,0.0,1.0
2019-05-29,145.76,145.96,143.69,145.07,145.07,1484931,0.0,1.0
2019-05-28,148.0,148.8,146.25,146.28,146.28,1243908,0.0,1.0
2019-05-24,147.38,148.1,146.75,147.94,147.94,919326,0.0,1.0
2019-05-23,147.32,147.46,145.48,146.94,146.94,1803126,0.0,1.0
2019-05-22,147.48,148.2616,146.94,147.96,147.96,1104158,0.0,1.0
2019-05-21,148.36,148.84,146.94,147.47,147.47,1390708,0.0,1.0
2019-05-20,147.5,148.85,147.24,148.17,148.17,1440551,0.0,1.0
2019-05-17,145.97,148.52,145.88,147.49,147.49,1721396,0.0,1.0
2019-05-16,146.37,148.27,146.37,147.41,147.41,1686469,0.0,1.0
2019-05-15,145.06,146.8856,144.73,146.52,146.52,1431074,0.0,1.0
2019-05-14,143.07,146.38,143.07,145.71,145.71,1775108,0.0,1.0
2019-05-13,142.38,143.79,141.95,143.41,143.41,1611771,0.0,1.0
2019-05-10,141.16,144.01,140.77,143.96,143.96,973126,0.0,1.0
2019-05-09,140.84,142.14,139.96,141.83,141.83,928108,0.0,1.0
2019-05-08,141.5,142.73,141.29,141.53,141.53,1011267,0.0,1.0
2019-05-07,142.83,143.78,141.2,141.71,141.71,1190986,0.0,1.0
2019-05-06,142.01,143.83,141.37,143.43,143.43,969736,0.0,1.0
2019-05-03,142.86,144.22,142.28,143.35,143.35,1109193,0.0,1.0
2019-05-02,143.4,144.0,142.09,142.7,142.7,1050840,0.0,1.0
2019-05-01,143.62,144.18,142.97,143.08,143.08,1249259,0.0,1.0
2019-04-30,141.83,143.86,141.61,143.75,143.75,1558595,0.0,1.0
2019-04-29,140.5,141.94,140.415,141.46,141.46,983793,0.0,1.0
2019-04-26,139.25,140.43,139.25,140.24,140.24,776875,0.0,1.0
2019-04-25,138.23,139.55,137.24,139.19,139.19,1129008,0.0,1.0
2019-04-24,138.68,139.67,137.54,139.18,139.18,1161164,0.0,1.0
2019-04-23,137.0,138.17,136.805,138.01,138.01,1389872,0.0,1.0
2019-04-22,138.38,138.665,136.58,136.61,136.61,1253996,0.0,1.0
2019-04-18,138.75,141.52,138.0,138.93,138.93,2199201,0.0,1.0
2019-04-17,138.28,138.28,135.8,135.87,135.87,1434515,0.0,1.0
2019-04-16,137.38,138.58,137.13,138.34,138.34,1038520,0.0,1.0
2019-04-15,137.81,137.9,136.6,136.79,136.79,779141,0.0,1.0
2019-04-12,136.98,137.85,136.72,137.72,137.72,1098252,0.0,1.0
2019-04-11,135.73,136.43,135.09,136.28,136.28,955923,0.0,1.0
2019-04-10,135.43,135.78,134.6,135.46,135.46,1250598,0.0,1.0
2019-04-09,135.49,135.49,134.37,135.19,135.19,1377662,0.0,1.0
2019-04-08,136.81,136.81,135.46,135.88,135.88,1006270,0.0,1.0
2019-04-05,136.53,137.09,136.11,136.4,136.4,1090420,0.0,1.0
2019-04-04,136.9,136.99,135.98,136.52,136.52,1115235,0.0,1.0
2019-04-03,137.51,137.51,135.52,136.6,136.6,1121998,0.0,1.0
2019-04-02,138.38,138.38,136.59,136.81,136.81,1050197,0.0,1.0
2019-04-01,137.56,138.6,137.37,138.02,138.02,1547379,0.0,1.0
2019-03-29,137.72,138.13,136.65,137.16,137.16,1328385,0.0,1.0
2019-03-28,136.71,137.175,135.45,136.9,136.9,732408,0.0,1.0
2019-03-27,135.13,136.95,134.98,136.35,136.35,1198746,0.0,1.0
2019-03-26,135.6,135.94,133.9398,134.98,134.98,1501119,0.0,1.0
2019-03-25,135.11,135.75,134.3697,134.95,134.95,1143465,0.0,1.0
2019-03-22,133.92,136.245,133.78,134.9,134.9,2352795,0.0,1.0
2019-03-21,130.68,134.44,130.25,134.37,134.37,1527460,0.0,1.0
2019-03-20,133.1,133.1,131.25,131.33,131.33,1339511,0.0,1.0
2019-03-19,135.55,136.08,132.62,132.93,132.93,1675833,0.0,1.0
2019-03-18,134.65,135.16,134.3,134.94,134.94,1370239,0.0,1.0
2019-03-15,133.48,134.71,132.935,134.18,134.18,2113111,0.0,1.0
2019-03-14,133.16,133.51,132.64,133.06,133.06,1035612,0.0,1.0
2019-03-13,132.97,133.87,132.76,133.0,133.0,1189567,0.0,1.0
2019-03-12,132.21,132.88,131.72,132.72,132.72,967344,0.0,1.0
2019-03-11,132.13,132.42,131.46,131.87,131.87,1293325,0.0,1.0
2019-03-08,130.31,131.11,130.0,131.02,131.02,1153767,0.77,1.0
2019-03-07,131.72,131.85,130.65,131.49,130.7218,1141061,0.0,1.0
2019-03-06,132.71,133.36,131.69,131.8,131.0299,896724,0.0,1.0
2019-03-05,132.42,132.82,131.28,132.69,131.9147,1324226,0.0,1.0
2019-03-04,133.24,133.66,130.92,132.15,131.3779,907915,0.0,1.0
2019-03-01,133.52,134.35,132.46,133.03,132.2528,1360403,0.0,1.0
2019-02-28,132.58,133.07,132.22,132.91,132.1335,1739672,0.0,1.0
2019-02-27,132.81,133.419,132.44,132.62,131.8452,1350089,0.0,1.0
2019-02-26,132.46,133.9,132.36,133.27,132.4914,2278715,0.0,1.0
2019-02-25,131.3,133.13,131.3,132.49,131.7159,2051141,0.0,1.0
2019-02-22,130.21,131.31,129.98,131.02,130.2545,1422860,0.0,1.0
2019-02-21,129.91,130.0,129.14,129.82,129.0615,1227829,0.0,1.0
2019-02-20,129.05,130.13,128.98,129.74,128.982,1784791,0.0,1.0
2019-02-19,128.31,129.46,128.01,129.1,128.3457,1459280,0.0,1.0
2019-02-15,128.05,128.84,127.865,128.74,127.9878,1304575,0.0,1.0
2019-02-14,127.13,127.95,126.23,126.93,126.1884,1266508,0.0,1.0
2019-02-13,127.79,129.13,127.55,128.04,127.2919,1350950,0.0,1.0
2019-02-12,126.43,127.37,126.11,127.26,126.5165,1729467,0.0,1.0
2019-02-11,126.04,126.04,124.36,125.42,124.6872,1610213,0.0,1.0
2019-02-08,126.53,126.76,124.62,125.79,125.0551,1252718,0.0,1.0
2019-02-07,125.19,126.8,125.11,126.76,126.0194,1083916,0.0,1.0
2019-02-06,125.98,125.98,124.87,125.55,124.8165,1504900,0.0,1.0
2019-02-05,126.12,126.25,125.33,126.18,125.4428,1306400,0.0,1.0
2019-02-04,126.49,126.5,125.02,126.04,125.3036,1214137,0.0,1.0
2019-02-01,126.03,126.53,125.13,126.49,125.751,1064703,0.0,1.0
2019-01-31,125.4,125.8,124.38,125.54,124.8065,1619940,0.0,1.0
2019-01-30,124.71,126.19,124.08,125.88,125.1445,1682435,0.0,1.0
2019-01-29,124.74,125.47,124.38,124.82,124.0907,1275628,0.0,1.0
2019-01-28,124.24,125.13,123.61,125.03,124.2995,1284530,0.0,1.0
2019-01-25,125.01,126.17,124.54,124.98,124.2498,1972751,0.0,1.0
2019-01-24,122.75,124.46,122.58,124.38,123.6533,1621000,0.0,1.0
2019-01-23,122.67,123.245,120.6039,123.02,122.3012,2008713,0.0,1.0
2019-01-22,123.5,125.5,121.3408,122.36,121.6451,2155813,0.0,1.0
2019-01-18,123.72,124.41,122.74,124.01,123.2855,1923862,0.0,1.0
2019-01-17,121.64,122.99,121.28,122.94,122.2217,1109153,0.0,1.0
2019-01-16,122.29,122.58,121.18,122.3,121.5854,1349813,0.0,1.0
2019-01-15,120.53,121.86,120.53,121.82,121.1083,1373389,0.0,1.0
2019-01-14,119.87,120.97,119.79,120.58,119.8755,1406827,0.0,1.0
2019-01-11,119.89,120.86,119.27,120.47,119.7661,839353,0.0,1.0
2019-01-10,118.53,120.35,118.39,120.27,119.5673,1061453,0.0,1.0
2019-01-09,118.66,119.56,117.98,118.68,117.9866,1752991,0.0,1.0
2019-01-08,119.38,119.51,116.84,117.84,117.1515,1403869,0.0,1.0
2019-01-07,118.21,119.54,117.71,118.3,117.6088,1082816,0.0,1.0
2019-01-04,116.66,118.78,116.131,118.68,117.9866,1793890,0.0,1.0
2019-01-03,117.05,117.3,115.06,115.26,114.5866,1887516,0.0,1.0
2019-01-02,117.49,118.19,116.33,117.37,116.6843,1793492,0.0,1.0
2018-12-31,118.48,119.75,118.05,119.75,119.0503,1157343,0.0,1.0
2018-12-28,119.15,119.76,117.78,118.24,117.5492,1386712,0.0,1.0
2018-12-27,115.75,118.71,114.66,118.67,117.9767,1807354,0.0,1.0
2018-12-26,112.5,117.17,111.08,117.17,116.4854,1931443,0.0,1.0
2018-12-24,115.41,115.87,112.6,112.63,111.9719,1344681,0.0,1.0
2018-12-21,117.79,120.31,116.02,116.06,115.3819,4523628,0.0,1.0
2018-12-20,118.5,119.44,116.93,117.32,116.6345,2621915,0.0,1.0
2018-12-19,119.61,121.68,118.22,119.16,118.4638,1829585,0.0,1.0
2018-12-18,120.41,121.07,118.42,119.3,118.603,1695152,0.0,1.0
2018-12-17,120.72,121.79,119.5,119.93,119.2293,1829374,0.0,1.0
2018-12-14,120.33,121.4541,119.95,120.55,119.8457,2097783,0.0,1.0
2018-12-13,122.03,122.61,120.72,121.5,120.7901,1282355,0.0,1.0
2018-12-12,122.21,123.29,121.03,122.01,121.2971,1703245,0.0,1.0
2018-12-11,123.68,124.42,120.45,120.97,120.2632,1877235,0.0,1.0
2018-12-10,123.45,123.56,120.5,123.0,122.2814,1534062,0.0,1.0
2018-12-07,124.64,126.19,122.8708,123.56,122.8381,1679622,0.77,1.0
2018-12-06,125.49,126.43,121.75,125.41,123.9051,2775867,0.0,1.0
2018-12-04,130.22,130.52,126.095,126.69,125.1698,2141238,0.0,1.0
2018-12-03,130.57,130.92,127.61,130.11,128.5487,1597320,0.0,1.0
2018-11-30,130.39,130.945,128.705,130.37,128.8056,2142697,0.0,1.0
2018-11-29,130.05,131.21,129.27,130.63,129.0625,1620642,0.0,1.0
2018-11-28,129.52,130.99,128.72,130.7,129.1316,1579399,0.0,1.0
2018-11-27,129.86,130.57,128.31,129.61,128.0547,1274182,0.0,1.0
2018-11-26,127.68,130.34,127.18,130.34,128.776,1850324,0.0,1.0
2018-11-23,127.44,127.65,126.36,126.6,125.0808,405778,0.0,1.0
2018-11-21,128.1,129.54,127.31,127.76,126.2269,1503249,0.0,1.0
2018-11-20,130.95,131.1,128.26,128.37,126.8296,1893595,0.0,1.0
2018-11-19,128.93,130.57,128.6,130.52,128.9538,2118142,0.0,1.0
2018-11-16,124.98,128.79,124.71,128.77,127.2248,2734079,0.0,1.0
2018-11-15,122.48,125.61,121.4,125.59,124.083,2409278,0.0,1.0
2018-11-14,127.15,127.5,122.23,123.04,121.5636,3153407,0.0,1.0
2018-11-13,126.88,128.27,126.43,126.81,125.2883,1419931,0.0,1.0
2018-11-12,130.3,130.8,126.83,127.04,125.5156,1794510,0.0,1.0
2018-11-09,131.14,131.81,130.28,131.03,129.4577,1379390,0.0,1.0
2018-11-08,130.05,131.51,129.98,130.99,129.4182,1879385,0.0,1.0
2018-11-07,129.12,130.37,128.22,130.28,128.7167,1452385,0.0,1.0
2018-11-06,126.24,128.66,126.13,128.6,127.0568,1586639,0.0,1.0
2018-11-05,125.16,127.38,125.16,126.53,125.0117,1098194,0.0,1.0
2018-11-02,126.7,126.93,123.96,124.9,123.4012,1637027,0.0,1.0
2018-11-01,124.98,125.34,124.02,125.2,123.6976,1319960,0.0,1.0
2018-10-31,126.22,126.96,125.03,125.13,123.6285,2161744,0.0,1.0
2018-10-30,122.97,126.01,122.09,125.87,124.3596,2217034,0.0,1.0
2018-10-29,122.82,124.5,121.59,122.32,120.8522,2322958,0.0,1.0
2018-10-26,121.02,122.11,119.665,121.29,119.8346,3574598,0.0,1.0
