,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2022-11-07,538.17,546.95,535.47,545.02,545.02,2540371,0.0,1.0
2022-11-04,547.05,547.76,527.14,538.17,538.17,3513052,0.0,1.0
2022-11-03,541.74,547.87,538.13,543.61,543.61,2245262,0.0,1.0
2022-11-02,544.41,554.58,543.07,543.43,543.43,2697704,0.0,1.0
2022-11-01,555.0,555.69,544.22,547.31,547.31,3339099,0.0,1.0
2022-10-31,555.0,558.1,550.13,555.15,555.15,2770635,0.0,1.0
2022-10-28,544.97,553.0,543.69,551.24,551.24,2761938,0.0,1.0
2022-10-27,546.52,546.52,539.76,541.8,541.8,2212194,0.0,1.0
2022-10-26,541.38,547.64,540.205,543.17,543.17,2863742,0.0,1.0
2022-10-25,537.79,543.92,533.9,540.22,540.22,2411856,0.0,1.0
2022-10-24,538.07,546.48,537.8,541.6,541.6,2627131,0.0,1.0
2022-10-21,518.06,536.5325,518.01,533.73,533.73,2896214,0.0,1.0
2022-10-20,523.05,529.42,519.78,520.88,520.88,2390876,0.0,1.0
2022-10-19,521.74,523.815,514.6,520.32,520.32,2500475,0.0,1.0
2022-10-18,532.0,532.0,518.325,522.21,522.21,2345539,0.0,1.0
2022-10-17,517.74,524.31,515.28,521.88,521.88,3282253,0.0,1.0
2022-10-14,520.0,529.91,511.93,513.13,513.13,5629394,0.0,1.0
2022-10-13,493.45,513.47,487.74,509.91,509.91,3999686,0.0,1.0
2022-10-12,502.13,508.25,498.21,499.96,499.96,2254405,0.0,1.0
2022-10-11,496.97,506.83,495.18,499.81,499.81,2844484,0.0,1.0
2022-10-10,505.6,506.31,495.02,498.86,498.86,2459074,0.0,1.0
2022-10-07,514.17,514.17,501.06,504.85,504.85,3273730,0.0,1.0
2022-10-06,528.33,528.575,516.74,519.13,519.13,2187472,0.0,1.0
2022-10-05,521.0,529.35,520.13,527.07,527.07,2281842,0.0,1.0
2022-10-04,518.35,524.59,516.83,523.17,523.17,3189949,0.0,1.0
2022-10-03,507.08,517.81,505.4,515.51,515.51,2562378,0.0,1.0
2022-09-30,511.1,516.55,504.84,505.04,505.04,3115982,0.0,1.0
2022-09-29,514.77,514.77,502.47,508.83,508.83,2391995,0.0,1.0
2022-09-28,506.48,516.27,500.8,513.94,513.94,3027461,0.0,1.0
2022-09-27,510.37,516.795,503.58,508.37,508.37,2583422,0.0,1.0
2022-09-26,507.39,512.57,499.0,508.36,508.36,2867422,0.0,1.0
2022-09-23,513.56,514.66,506.38,513.61,513.61,2536898,0.0,1.0
2022-09-22,511.03,520.97,506.1101,517.46,517.46,2276736,0.0,1.0
2022-09-21,525.03,528.01,512.02,512.08,512.08,2427676,0.0,1.0
2022-09-20,524.24,524.67,514.81,522.8,522.8,2421736,0.0,1.0
2022-09-19,518.59,524.0,512.97,523.55,523.55,2130831,0.0,1.0
2022-09-16,518.52,522.82,517.08,521.02,521.02,3981880,0.0,1.0
2022-09-15,516.3,527.98,514.1402,522.91,522.91,3058112,0.0,1.0
2022-09-14,514.0,515.38,506.1,509.77,509.77,2648242,0.0,1.0
2022-09-13,524.0,525.26,511.97,513.96,513.96,3172459,0.0,1.0
2022-09-12,525.0,535.02,522.5,531.25,531.25,2792131,0.0,1.0
2022-09-09,527.83,527.83,522.58,524.34,524.34,2495566,1.65,1.0
2022-09-08,520.95,528.49,518.81,527.51,525.855231849,1557462,0.0,1.0
2022-09-07,517.0,523.5,514.68,521.68,520.043520219,2504420,0.0,1.0
2022-09-06,519.93,527.45,516.92,517.68,516.056067986,2711803,0.0,1.0
2022-09-02,529.62,529.79,513.81,516.35,514.730240119,1944395,0.0,1.0
2022-09-01,519.33,524.26,515.09,524.0,522.356242514,2085325,0.0,1.0
2022-08-31,520.82,527.1,519.155,519.33,517.700892032,2891267,0.0,1.0
2022-08-30,530.41,531.09,521.79,522.84,521.199881367,2013614,0.0,1.0
2022-08-29,526.0,532.9,522.87,529.77,528.10814236,1674213,0.0,1.0
2022-08-26,542.26,543.19,528.22,529.25,527.58977357,1906675,0.0,1.0
2022-08-25,535.01,542.02,531.25,541.57,539.871126447,1966031,0.0,1.0
2022-08-24,536.68,539.86,535.02,536.46,534.77715622,1761303,0.0,1.0
2022-08-23,543.29,543.29,533.21,535.8,534.119226601,2039750,0.0,1.0
2022-08-22,541.39,549.52,541.35,544.57,542.861715622,1673062,0.0,1.0
2022-08-19,545.5,553.1299,544.815,548.32,546.59995209,2257960,0.0,1.0
2022-08-18,545.01,548.13,541.82,545.22,543.50967661,1486507,0.0,1.0
2022-08-17,545.24,547.79,541.57,545.0,543.290366737,1471658,0.0,1.0
2022-08-16,545.21,547.44,542.39,546.12,544.406853362,1773163,0.0,1.0
2022-08-15,541.67,547.21,538.56,544.64,542.931496036,1447471,0.0,1.0
2022-08-12,535.61,544.395,534.45,543.7,541.994444761,1981072,0.0,1.0
2022-08-11,538.24,538.6336,529.675,532.86,531.18844921,3006208,0.0,1.0
2022-08-10,540.26,541.98,533.81,537.72,536.033203673,2291822,0.0,1.0
2022-08-09,540.0,545.74,536.38,537.26,535.574646666,2147371,0.0,1.0
2022-08-08,539.91,541.3,533.42,536.6,534.916717048,1656562,0.0,1.0
2022-08-05,530.0,535.5,527.56,535.06,533.381547938,2373351,0.0,1.0
2022-08-04,539.29,540.43,532.755,533.75,532.075657332,2368022,0.0,1.0
2022-08-03,537.26,543.62,535.69,540.65,538.954012434,1802871,0.0,1.0
2022-08-02,537.55,540.53,531.72,535.46,533.780293161,2114181,0.0,1.0
2022-08-01,542.27,543.65,531.0,535.38,533.700544117,2335110,0.0,1.0
2022-07-29,540.01,543.85,536.69,542.34,540.638711002,2945668,0.0,1.0
2022-07-28,537.49,544.335,531.74,541.49,539.791377403,2344515,0.0,1.0
2022-07-27,533.54,537.8599,528.04,534.61,532.932959562,2254226,0.0,1.0
2022-07-26,533.8,537.64,531.03,531.59,529.922433126,2637778,0.0,1.0
