,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2022-11-07,95.69,96.35,95.35,96.17,96.17,3295627,0.0,1.0
2022-11-04,95.37,95.9,93.38,95.22,95.22,4247788,0.0,1.0
2022-11-03,93.38,95.8283,93.03,94.8,94.8,4141739,0.0,1.0
2022-11-02,95.15,96.6533,94.03,94.15,94.15,5326568,0.0,1.0
2022-11-01,95.33,96.075,95.045,95.55,95.55,5217503,0.0,1.0
2022-10-31,94.73,95.11,93.85,94.82,94.82,4933126,0.0,1.0
2022-10-28,92.5,95.16,92.07,95.08,95.08,6360826,0.0,1.0
2022-10-27,90.94,93.3814,90.91,91.8,91.8,6420753,0.0,1.0
2022-10-26,88.6,92.2,88.6,90.52,90.52,6669418,0.0,1.0
2022-10-25,88.49,89.0,85.85,88.36,88.36,7561040,0.0,1.0
2022-10-24,89.1,90.4476,89.0,89.73,89.73,7727811,0.0,1.0
2022-10-21,87.26,88.9016,86.47,88.54,88.54,5422889,0.0,1.0
2022-10-20,87.81,88.4375,86.8,87.24,87.24,3663168,0.0,1.0
2022-10-19,87.15,88.95,86.85,87.63,87.63,4573894,0.0,1.0
2022-10-18,85.92,88.05,85.42,87.36,87.36,5779146,0.0,1.0
2022-10-17,84.21,85.44,83.83,84.47,84.47,4441984,0.0,1.0
2022-10-14,85.42,85.42,82.15,82.59,82.59,4614820,0.0,1.0
2022-10-13,81.45,85.14,80.9879,84.87,84.87,5049024,0.0,1.0
2022-10-12,84.515,84.63,82.93,82.99,82.99,5489217,0.0,1.0
2022-10-11,83.74,85.54,83.31,84.59,84.59,4547724,0.0,1.0
2022-10-10,84.83,85.97,83.615,84.16,84.16,3645629,0.0,1.0
2022-10-07,83.76,84.09,82.71,84.01,84.01,4417529,0.0,1.0
2022-10-06,84.78,85.47,84.02,84.28,84.28,3192695,0.0,1.0
2022-10-05,84.56,85.98,84.12,85.21,85.21,3800448,0.0,1.0
2022-10-04,84.25,86.285,84.03,85.53,85.53,4432104,0.0,1.0
2022-10-03,82.91,84.07,82.01,83.11,83.11,4303440,0.0,1.0
2022-09-30,82.44,82.87,81.77,81.86,81.86,6403921,0.0,1.0
2022-09-29,82.67,82.96,81.42,82.34,82.34,6990016,0.0,1.0
2022-09-28,81.225,83.88,80.79,83.3,83.3,6066757,0.0,1.0
2022-09-27,81.57,82.05,80.27,81.0,81.0,6119260,0.0,1.0
2022-09-26,81.59,82.3926,80.73,81.09,81.09,4843486,0.0,1.0
2022-09-23,82.87,83.03,80.76,82.03,82.03,6725855,0.0,1.0
2022-09-22,84.0,84.53,83.2,83.45,83.45,4918035,0.0,1.0
2022-09-21,87.16,87.99,84.28,84.32,84.32,7047056,0.0,1.0
2022-09-20,84.57,85.48,83.72,85.15,85.15,3861476,0.0,1.0
2022-09-19,84.45,85.335,84.04,84.95,84.95,5586986,0.0,1.0
2022-09-16,84.82,86.195,84.5,85.2,85.2,8211089,0.0,1.0
2022-09-15,86.05,86.95,85.125,85.61,85.61,5054643,0.0,1.0
2022-09-14,84.3,87.55,83.29,86.4,86.4,7738112,0.0,1.0
2022-09-13,86.15,86.94,83.34,83.72,83.72,5867688,0.0,1.0
2022-09-12,88.34,88.69,87.51,87.8,87.8,5436995,0.0,1.0
2022-09-09,87.1,88.3622,86.4925,88.04,88.04,4126989,0.0,1.0
2022-09-08,86.85,87.09,85.45,86.56,86.56,5758411,0.0,1.0
2022-09-07,86.32,87.71,85.35,87.45,87.45,5333307,0.0,1.0
2022-09-06,87.71,88.36,86.586,87.16,87.16,4554431,0.0,1.0
2022-09-02,88.97,89.76,87.29,87.59,87.59,4171625,0.0,1.0
2022-09-01,89.41,89.55,87.48,88.03,88.03,6151917,0.0,1.0
2022-08-31,90.99,91.24,89.71,89.75,89.75,4665739,0.0,1.0
2022-08-30,92.39,92.505,90.33,90.83,90.83,3462972,0.0,1.0
2022-08-29,92.66,92.99,91.28,92.12,92.12,3797134,0.0,1.0
2022-08-26,96.62,96.83,93.49,93.52,93.52,2805678,0.0,1.0
2022-08-25,93.83,96.22,93.76,96.13,96.13,4257698,0.0,1.0
2022-08-24,92.97,93.58,92.8,93.31,93.31,3065837,0.0,1.0
2022-08-23,91.93,92.65,91.76,92.43,92.43,2633919,0.0,1.0
2022-08-22,92.31,92.95,91.65,91.78,91.78,5769555,0.0,1.0
2022-08-19,94.25,95.01,93.135,93.4,93.4,5024667,0.0,1.0
2022-08-18,94.85,95.02,94.24,94.71,94.71,2694534,0.55,1.0
2022-08-17,94.11,95.64,93.81,94.99,94.4415588915,3311117,0.0,1.0
2022-08-16,95.71,96.25,94.88,95.05,94.5012124711,5850985,0.0,1.0
2022-08-15,94.34,96.15,93.95,96.13,95.5749769053,3376586,0.0,1.0
2022-08-12,93.28,95.07,93.28,95.01,94.461443418,3652404,0.0,1.0
2022-08-11,93.74,94.45,93.06,93.15,92.612182448,3488289,0.0,1.0
2022-08-10,92.97,93.72,92.45,93.42,92.8806235566,3351563,0.0,1.0
2022-08-09,91.51,92.295,91.06,91.94,91.4091685912,3137506,0.0,1.0
2022-08-08,93.7,93.7,90.96,91.2,90.6734411085,4608041,0.0,1.0
2022-08-05,92.16,93.095,91.84,93.03,92.4928752887,3320349,0.0,1.0
2022-08-04,94.64,94.86,92.72,92.78,92.2443187067,4443721,0.0,1.0
2022-08-03,93.75,94.93,92.41,94.53,93.9842147806,4490555,0.0,1.0
2022-08-02,93.74,94.775,92.695,93.75,93.2087182448,4066781,0.0,1.0
2022-08-01,93.59,94.96,93.09,93.24,92.7016628176,5623106,0.0,1.0
2022-07-29,91.98,93.39,91.89,93.21,92.6718360277,4848525,0.0,1.0
2022-07-28,90.25,92.67,90.25,92.39,91.8565704388,4490920,0.0,1.0
2022-07-27,90.83,90.83,89.06,90.27,89.7488106236,5558886,0.0,1.0
2022-07-26,92.51,93.37,90.19,90.24,89.7189838337,8253237,0.0,1.0
2022-07-25,94.61,95.41,94.03,94.57,94.0239838337,4769200,0.0,1.0
2022-07-22,95.15,95.71,93.96,94.21,93.6660623557,3254319,0.0,1.0
2022-07-21,94.58,95.04,93.58,94.89,94.3421362587,3124673,0.0,1.0
2022-07-20,93.6,95.135,93.13,94.83,94.282482679,3849209,0.0,1.0
2022-07-19,89.26,94.01,89.21,93.82,93.2783140878,5027568,0.0,1.0
2022-07-18,92.24,92.32,89.48,89.8,89.2815242494,5364263,0.0,1.0
2022-07-15,91.0,91.46,90.3,91.23,90.7032678984,3965333,0.0,1.0
2022-07-14,90.04,90.7,89.0453,90.08,89.5599076212,5029672,0.0,1.0
2022-07-13,92.81,94.33,91.71,91.81,91.2799191686,5653698,0.0,1.0
2022-07-12,94.16,95.25,93.81,94.5,93.9543879908,4667437,0.0,1.0
2022-07-11,94.29,95.14,94.05,94.71,94.1631755196,2502043,0.0,1.0
2022-07-08,94.29,95.72,93.94,95.12,94.5708083141,2763176,0.0,1.0
2022-07-07,94.55,95.0,93.81,93.94,93.3976212471,3212692,0.0,1.0
2022-07-06,93.0,94.72,92.24,93.92,93.3777367206,4294802,0.0,1.0
2022-07-05,94.92,95.45,91.4124,92.92,92.3835103926,4938961,0.0,1.0
2022-07-01,96.05,97.32,95.34,97.02,96.4598383372,4221042,0.0,1.0
2022-06-30,92.97,96.27,92.71,96.11,95.5550923788,6319149,0.0,1.0
2022-06-29,94.22,94.3,92.3,93.3,92.7613163972,2504058,0.0,1.0
2022-06-28,95.43,96.79,93.68,93.78,93.2385450346,3358893,0.0,1.0
2022-06-27,94.44,95.05,93.84,94.81,94.2625981524,2942652,0.0,1.0
2022-06-24,92.5,94.37,91.88,94.2,93.6561200924,4782227,0.0,1.0
2022-06-23,92.5,93.32,90.77,91.76,91.2302078522,3310526,0.0,1.0
2022-06-22,91.2,93.82,91.08,92.56,92.0255889145,4481589,0.0,1.0
2022-06-21,90.85,93.35,90.11,92.92,92.3835103926,5834320,0.0,1.0
2022-06-17,89.46,90.005,87.61,88.88,88.3668360277,7577242,0.0,1.0
2022-06-16,91.05,91.18,89.01,89.52,89.0031408776,4517836,0.0,1.0
2022-06-15,92.1,93.19,90.8,92.28,91.7472055427,4139228,0.0,1.0
2022-06-14,92.43,92.71,90.73,91.32,90.7927482679,3977880,0.0,1.0
2022-06-13,93.49,93.53,91.375,91.95,91.4191108545,5419439,0.0,1.0
2022-06-10,95.82,96.69,94.4506,95.49,94.9386720554,5618130,0.0,1.0
2022-06-09,98.33,99.17,97.32,97.38,96.8177598152,4567279,0.0,1.0
2022-06-08,99.73,100.33,98.96,99.23,98.6570785219,6666583,0.0,1.0
2022-06-07,97.18,100.68,96.66,100.51,99.9296882217,5634606,0.0,1.0
2022-06-06,96.99,97.49,96.39,97.21,96.6487413395,3080342,0.0,1.0
2022-06-03,95.36,96.62,95.2916,96.33,95.7738221709,2837031,0.0,1.0
2022-06-02,95.77,96.31,94.06,96.24,95.6843418014,3460542,0.0,1.0
2022-06-01,96.01,96.28,94.1,94.81,94.2625981524,4246090,0.0,1.0
2022-05-31,95.36,95.9711,94.63,95.12,94.5708083141,6478677,0.0,1.0
2022-05-27,95.63,96.72,95.2,96.71,96.1516281755,3394236,0.0,1.0
2022-05-26,94.52,95.86,94.11,95.0,94.4515011547,5545911,0.0,1.0
2022-05-25,93.32,94.1,92.589,93.56,93.0198152425,3742137,0.0,1.0
2022-05-24,91.2,93.42,90.47,93.21,92.6718360277,5931997,0.0,1.0
2022-05-23,90.6,92.0199,90.0,91.83,91.2998036952,4701317,0.0,1.0
2022-05-20,90.84,91.17,88.426,90.08,89.5599076212,6585506,0.0,1.0
2022-05-19,91.38,92.46,89.54,90.25,89.728926097,5234746,0.55,1.0
2022-05-18,94.33,95.2,92.28,92.61,91.5175753947,5843107,0.0,1.0
2022-05-17,94.33,95.14,93.5,94.95,93.8299728294,4447189,0.0,1.0
2022-05-16,91.85,93.54,91.81,92.48,91.3891088706,5158506,0.0,1.0
2022-05-13,92.05,92.61,91.09,91.92,90.8357146127,5465643,0.0,1.0
2022-05-12,90.85,92.47,89.94,91.48,90.4009048387,6356227,0.0,1.0
2022-05-11,91.27,94.1319,90.81,91.0,89.9265669034,6493885,0.0,1.0
2022-05-10,92.44,93.86,91.36,91.69,90.6084276854,7526334,0.0,1.0
2022-05-09,94.53,94.79,91.25,91.75,90.6677199273,6071863,0.0,1.0
2022-05-06,95.71,96.05,93.72,95.3,94.1758442406,5294959,0.0,1.0
2022-05-05,97.8,98.2,95.41,96.32,95.1838123531,5906488,0.0,1.0
2022-05-04,94.99,98.02,94.95,97.76,96.6068261591,6148736,0.0,1.0
2022-05-03,95.18,96.127,94.32,95.4,94.2746646438,5612229,0.0,1.0
2022-05-02,94.51,95.33,92.3968,94.22,93.1085838861,7870601,0.0,1.0
2022-04-29,98.47,98.89,94.61,94.91,93.7904446681,5882973,0.0,1.0
2022-04-28,99.0,99.26,96.9,98.08,96.9230514493,6546631,0.0,1.0
2022-04-27,99.22,99.91,97.6,98.84,97.6740865135,6632051,0.0,1.0
2022-04-26,96.9,100.95,96.78,99.19,98.0199579247,7188811,0.0,1.0
2022-04-25,99.85,99.915,97.57,99.61,98.4350036181,5612503,0.0,1.0
2022-04-22,101.45,102.5607,100.371,100.49,99.3046231662,4683302,0.0,1.0
2022-04-21,105.85,106.02,101.4,101.73,100.529996166,5795338,0.0,1.0
2022-04-20,105.68,106.02,104.28,104.97,103.731777229,4201085,0.0,1.0
2022-04-19,104.44,105.66,104.16,104.55,103.316731536,4572842,0.0,1.0
2022-04-18,104.26,105.46,103.91,104.3,103.069680528,3873266,0.0,1.0
2022-04-14,103.89,104.98,103.67,104.27,103.040034407,4027391,0.0,1.0
2022-04-13,103.32,104.45,102.64,103.37,102.150650778,5351910,0.0,1.0
2022-04-12,102.18,103.975,102.07,102.6,101.389733673,4839172,0.0,1.0
2022-04-11,100.64,102.95,100.64,102.11,100.905513698,5707645,0.0,1.0
2022-04-08,101.98,102.74,100.07,100.4,99.2156848033,4811372,0.0,1.0
2022-04-07,98.25,101.27,97.9,100.98,99.7888431418,6151470,0.0,1.0
2022-04-06,98.32,99.28,98.13,98.46,97.2985689814,5260837,0.0,1.0
2022-04-05,99.48,100.51,98.61,98.81,97.6444403926,3797576,0.0,1.0
2022-04-04,100.12,100.4,98.56,99.3,98.1286603682,3812667,0.0,1.0
2022-04-01,99.76,100.4494,98.98,100.17,98.9883978759,3608615,0.0,1.0
2022-03-31,99.28,100.9075,99.0,99.07,97.9013734409,5505576,0.0,1.0
2022-03-30,101.63,102.375,99.76,100.83,99.640612537,5168126,0.0,1.0
2022-03-29,100.85,101.4,99.371,101.08,99.887663545,5038156,0.0,1.0
2022-03-28,101.67,102.16,100.9202,101.59,100.391647601,4053285,0.0,1.0
2022-03-25,102.0,102.97,101.92,102.43,101.221738988,3481761,0.0,1.0
2022-03-24,101.66,102.2,101.13,101.71,100.510232085,3894569,0.0,1.0
2022-03-23,101.16,102.48,101.11,101.23,100.03589415,4471787,0.0,1.0
2022-03-22,99.8,101.63,98.91,101.38,100.184124755,6046154,0.0,1.0
2022-03-21,97.84,100.8218,97.8,99.94,98.7611109486,6622974,0.0,1.0
2022-03-18,98.0,98.28,96.33,97.52,96.3696571914,10061121,0.0,1.0
2022-03-17,96.6,97.785,95.83,97.75,96.5969441187,6537188,0.0,1.0
2022-03-16,97.04,97.635,94.07,95.8,94.6699462565,8813039,0.0,1.0
2022-03-15,97.88,98.1,96.57,97.62,96.4684775946,5417571,0.0,1.0
2022-03-14,97.17,97.66,95.41,97.04,95.8953192561,5581735,0.0,1.0
2022-03-11,98.78,99.75,96.8,96.92,95.7767347723,4354304,0.0,1.0
2022-03-10,98.17,99.8,97.66,98.51,97.347979183,5118396,0.0,1.0
2022-03-09,95.25,99.075,95.25,98.52,97.3578612233,7100516,0.0,1.0
2022-03-08,98.01,98.3999,94.69,94.85,93.7311524262,9410601,0.0,1.0
2022-03-07,101.29,103.095,98.12,98.19,97.0317538928,12758958,0.0,1.0
2022-03-04,99.95,99.95,98.23,99.59,98.4152395374,8716773,0.0,1.0
2022-03-03,101.06,101.35,98.63,99.83,98.6524085051,8613520,0.0,1.0
2022-03-02,102.2,102.51,99.78,100.74,99.5516741741,12834567,0.0,1.0
2022-03-01,102.77,104.34,102.18,102.73,101.518200198,12340886,0.0,1.0
2022-02-28,99.02,102.96,98.4,102.7,101.488554077,16726086,0.0,1.0
2022-02-25,94.39,98.2737,94.2,98.12,96.9625796105,8692294,0.0,1.0
2022-02-24,93.0,94.65,89.31,94.25,93.1382300071,9698541,0.51,1.0
2022-02-23,94.3,94.53,92.05,92.24,90.6613585464,6903341,0.0,1.0
2022-02-22,93.62,94.74,92.79,93.54,91.9391096967,5827115,0.0,1.0
2022-02-18,94.14,95.01,92.99,93.37,91.7720191617,6544820,0.0,1.0
2022-02-17,93.97,95.17,93.4405,94.36,92.745075807,5753359,0.0,1.0
2022-02-16,94.01,95.27,93.92,94.75,93.1284011521,4560945,0.0,1.0
2022-02-15,93.59,94.9,93.57,94.04,92.4305524469,4616345,0.0,1.0
2022-02-14,95.51,95.6,92.89,93.57,91.9685962617,6419230,0.0,1.0
2022-02-11,95.25,96.05,94.08,95.27,93.6395016122,6532903,0.0,1.0
2022-02-10,95.32,96.96,94.55,95.06,93.4330956572,6534377,0.0,1.0
2022-02-09,96.03,96.32,95.48,96.0,94.3570080274,5394904,0.0,1.0
2022-02-08,93.83,95.315,92.87,95.07,93.4429245122,8173420,0.0,1.0
2022-02-07,93.46,94.73,93.01,94.03,92.4207235919,4932676,0.0,1.0
2022-02-04,92.36,93.9,92.11,93.01,91.4181803816,6321395,0.0,1.0
2022-02-03,92.15,92.985,91.6221,92.81,91.2216032815,7171744,0.0,1.0
2022-02-02,90.3,92.69,90.25,92.54,90.9562241964,5978631,0.0,1.0
2022-02-01,90.1,90.935,89.27,90.73,89.1772014409,6558402,0.0,1.0
2022-01-31,89.61,90.41,89.01,90.19,88.6464432708,6419710,0.0,1.0
2022-01-28,88.97,90.37,87.48,90.33,88.7840472408,5877612,0.0,1.0
2022-01-27,89.92,91.479,88.4,89.28,87.7520174655,6998955,0.0,1.0
2022-01-26,89.98,91.52,87.47,88.98,87.4571518154,9829055,0.0,1.0
2022-01-25,85.0,91.29,85.0,90.31,88.7643895308,10377382,0.0,1.0
2022-01-24,85.77,88.3,84.8,88.12,86.6118702852,8850470,0.0,1.0
2022-01-21,88.52,88.81,86.82,87.21,85.7174444799,5846460,0.0,1.0
2022-01-20,89.96,90.8341,88.25,88.36,86.8477628052,5354651,0.0,1.0
2022-01-19,90.73,91.34,89.58,89.7,88.1648293756,4723982,0.0,1.0
2022-01-18,91.33,91.9,90.28,90.75,89.1968591509,5650930,0.0,1.0
2022-01-14,91.05,92.48,90.72,92.33,90.7498182414,4987361,0.0,1.0
2022-01-13,91.38,92.46,90.9601,91.56,89.9929964062,5026361,0.0,1.0
2022-01-12,91.0,91.545,90.84,91.07,89.511382511,4613135,0.0,1.0
2022-01-11,89.74,90.84,89.27,90.72,89.1673725859,4489022,0.0,1.0
2022-01-10,90.68,90.79,89.24,89.73,88.1943159406,4884232,0.0,1.0
2022-01-07,90.26,91.365,90.09,90.44,88.8921646458,4835353,0.0,1.0
2022-01-06,90.4,90.93,89.61,90.06,88.5186681557,5559230,0.0,1.0
2022-01-05,90.2,91.53,89.4,89.57,88.0370542606,6833572,0.0,1.0
