,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-05-31,160.91,162.13,160.56,161.33,161.33,5078331,0.0,1.0
2019-05-30,162.8,163.5,161.94,162.76,162.76,4750610,0.0,1.0
2019-05-29,163.3,163.5,161.48,162.73,162.73,6456044,0.0,1.0
2019-05-28,163.4,165.77,163.33,163.71,163.71,10202735,0.0,1.0
2019-05-24,162.75,163.41,161.72,162.64,162.64,4105718,0.0,1.0
2019-05-23,163.5,164.25,160.82,161.51,161.51,6137978,0.0,1.0
2019-05-22,163.6,165.63,163.45,164.24,164.24,5416382,0.0,1.0
2019-05-21,164.58,164.859,163.19,163.86,163.86,9095674,0.0,1.0
2019-05-20,163.35,164.74,162.33,163.47,163.47,4747352,0.0,1.0
2019-05-17,163.29,165.2,163.2,164.09,164.09,4582485,0.0,1.0
2019-05-16,163.45,165.6036,162.86,164.87,164.87,9745459,0.25,1.0
2019-05-15,159.32,163.16,159.1038,162.79,162.5435,7547009,0.0,1.0
2019-05-14,158.1,161.52,157.94,160.21,159.9674,9756655,0.0,1.0
2019-05-13,157.19,158.72,156.42,157.33,157.0918,9729964,0.0,1.0
2019-05-10,158.86,161.3994,157.27,160.71,160.4667,5192495,0.0,1.0
2019-05-09,158.86,159.85,157.17,159.81,159.568,6813880,0.0,1.0
2019-05-08,159.77,161.7,159.52,160.76,160.5166,5445899,0.0,1.0
2019-05-07,160.95,161.78,158.68,160.21,159.9674,6413553,0.0,1.0
2019-05-06,158.21,162.65,158.2,162.28,162.0343,10442357,0.0,1.0
2019-05-03,162.3,162.74,161.18,162.04,161.7947,4317836,0.0,1.0
2019-05-02,162.1,163.08,160.43,161.12,160.8761,6054926,0.0,1.0
2019-05-01,165.54,165.74,162.75,162.79,162.5435,5248092,0.0,1.0
2019-04-30,164.98,165.7,163.92,164.43,164.181,6432714,0.0,1.0
2019-04-29,163.21,164.5,163.1,164.15,163.9015,10003563,0.0,1.0
2019-04-26,161.26,163.03,160.4,162.93,162.6833,7525392,0.0,1.0
2019-04-25,160.52,161.6,158.55,161.02,160.7762,8862480,0.0,1.0
2019-04-24,161.75,162.03,160.65,161.49,161.2455,7376521,0.0,1.0
2019-04-23,161.0,161.88,159.87,161.66,161.4152,6522901,0.0,1.0
2019-04-22,159.2,160.48,159.0684,160.4,160.1571,4602806,0.0,1.0
2019-04-18,160.93,161.105,159.0007,160.16,159.9175,7859406,0.0,1.0
2019-04-17,160.87,161.07,160.31,160.44,160.1971,4609445,0.0,1.0
2019-04-16,161.04,161.1,159.55,160.23,159.9874,6021579,0.0,1.0
2019-04-15,159.83,160.48,159.19,160.44,160.1971,8143172,0.0,1.0
2019-04-12,158.71,159.64,157.86,159.64,159.3983,6745080,0.0,1.0
2019-04-11,159.11,159.3,157.44,157.86,157.621,5771697,0.0,1.0
2019-04-10,157.99,158.78,157.52,158.56,158.3199,3918581,0.0,1.0
2019-04-09,156.56,157.99,156.47,157.49,157.2516,6364467,0.0,1.0
2019-04-08,157.55,157.8501,156.32,157.75,157.5112,5604889,0.0,1.0
2019-04-05,158.0,158.63,157.23,157.65,157.4113,4178703,0.0,1.0
2019-04-04,158.53,158.69,156.53,157.64,157.4013,5100237,0.0,1.0
2019-04-03,158.55,159.11,157.85,158.46,158.2201,8211733,0.0,1.0
2019-04-02,157.66,158.15,156.75,157.78,157.5411,6215113,0.0,1.0
2019-04-01,157.53,157.73,156.55,157.26,157.0219,6420179,0.0,1.0
2019-03-29,155.73,156.29,154.93,156.19,155.9535,12164689,0.0,1.0
2019-03-28,154.93,155.08,153.61,154.67,154.4358,16902229,0.0,1.0
2019-03-27,155.47,155.86,153.36,154.22,153.9865,12253759,0.0,1.0
2019-03-26,153.77,155.6,153.77,155.3,155.0649,15594356,0.0,1.0
2019-03-25,152.36,154.0617,151.54,153.03,152.7983,7568185,0.0,1.0
2019-03-22,154.99,155.68,152.85,153.07,152.8382,8120155,0.0,1.0
2019-03-21,153.32,156.68,153.31,155.8,155.5641,7027220,0.0,1.0
2019-03-20,154.34,154.87,152.7134,153.75,153.5172,6391356,0.0,1.0
2019-03-19,155.95,155.95,154.14,154.59,154.3559,9236084,0.0,1.0
2019-03-18,155.92,156.41,154.42,154.96,154.7254,9689378,0.0,1.0
2019-03-15,153.72,156.82,153.36,155.46,155.2246,20162038,0.0,1.0
2019-03-14,152.56,154.69,152.3,154.2,153.9665,9364876,0.0,1.0
2019-03-13,152.3,154.04,152.04,152.47,152.2392,8308885,0.0,1.0
2019-03-12,151.0,153.14,150.87,151.73,151.5003,9465366,0.0,1.0
2019-03-11,148.11,150.97,148.02,150.67,150.4419,9361495,0.0,1.0
2019-03-08,145.44,147.48,144.5,147.35,147.1269,5168083,0.0,1.0
2019-03-07,147.26,147.81,146.04,146.83,146.6077,8761650,0.0,1.0
2019-03-06,148.0,148.52,147.42,147.81,147.5862,8186390,0.0,1.0
2019-03-05,148.0,149.29,147.83,147.95,147.726,9678771,0.0,1.0
2019-03-04,150.07,150.19,146.951,147.96,147.736,6979679,0.0,1.0
