,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2019-05-31,55.09,55.44,54.26,54.35,54.35,29906173,0.0,1.0
2019-05-30,57.62,57.62,56.56,56.83,56.83,17484855,0.0,1.0
2019-05-29,58.67,58.9323,57.91,58.18,58.18,13418748,0.0,1.0
2019-05-28,59.21,59.87,58.66,58.73,58.73,21860763,0.0,1.0
2019-05-24,59.07,59.36,58.67,59.32,59.32,8755506,0.0,1.0
2019-05-23,59.0,59.275,58.54,58.87,58.87,11707083,0.0,1.0
2019-05-22,59.09,59.37,58.96,59.25,59.25,11487448,0.0,1.0
2019-05-21,59.1,59.63,58.76,59.5,59.5,14016315,0.0,1.0
2019-05-20,59.15,60.54,58.0,59.01,59.01,20910590,0.0,1.0
2019-05-17,57.06,58.48,57.01,58.09,58.09,14436662,0.0,1.0
2019-05-16,57.0,57.8,56.82,57.38,57.38,11695064,0.0,1.0
2019-05-15,56.51,56.84,56.17,56.81,56.81,10806379,0.0,1.0
2019-05-14,56.76,57.19,56.5,56.55,56.55,12776175,0.0,1.0
2019-05-13,56.72,57.34,56.66,56.75,56.75,13759350,0.0,1.0
2019-05-10,56.49,57.04,56.26,56.91,56.91,10707335,0.0,1.0
2019-05-09,56.12,56.56,55.93,56.48,56.48,14835326,0.0,1.0
2019-05-08,56.66,56.7,56.25,56.38,56.38,12086743,0.0,1.0
2019-05-07,56.69,56.815,56.33,56.63,56.63,12963827,0.0,1.0
2019-05-06,56.83,57.09,56.74,56.91,56.91,10066145,0.0,1.0
2019-05-03,57.15,57.36,56.87,57.24,57.24,9388228,0.0,1.0
2019-05-02,56.81,58.23,56.68,56.99,56.99,14435436,0.0,1.0
2019-05-01,57.23,57.3,56.52,56.52,56.52,11627436,0.0,1.0
2019-04-30,56.99,57.45,56.755,57.19,57.19,15469002,0.0,1.0
2019-04-29,56.75,57.17,56.71,56.84,56.84,13984965,0.0,1.0
2019-04-26,56.06,56.815,55.825,56.58,56.58,16329727,0.0,1.0
2019-04-25,56.82,56.9,55.75,55.85,55.85,17425466,0.0,1.0
2019-04-24,57.34,57.57,56.73,57.08,57.08,13227084,0.0,1.0
2019-04-23,57.62,57.72,56.3,57.15,57.15,23488682,0.0,1.0
2019-04-22,58.14,58.49,57.89,58.37,58.37,11950365,0.0,1.0
2019-04-18,57.51,58.2,57.28,58.04,58.04,13189013,0.0,1.0
2019-04-17,58.4,58.46,57.64,57.78,57.78,15498037,0.0,1.0
2019-04-16,58.79,58.975,58.655,58.79,58.79,10239261,0.0,1.0
2019-04-15,58.91,58.9541,58.59,58.71,58.71,7741472,0.0,1.0
2019-04-12,58.75,58.79,58.52,58.74,58.74,10847504,0.0,1.0
2019-04-11,58.65,58.73,58.195,58.56,58.56,9219930,0.0,1.0
2019-04-10,58.4,58.695,58.36,58.61,58.61,8782061,0.0,1.0
2019-04-09,58.37,58.56,58.04,58.4,58.4,10414416,0.6025,1.0
2019-04-08,59.02,59.13,58.715,59.13,58.5262,11680538,0.0,1.0
2019-04-05,59.02,59.095,58.82,59.09,58.4866,11497780,0.0,1.0
2019-04-04,58.84,59.1,58.77,58.99,58.3876,8776028,0.0,1.0
2019-04-03,58.78,59.07,58.41,58.87,58.2689,15491724,0.0,1.0
2019-04-02,59.22,59.23,58.34,58.53,57.9323,11408146,0.0,1.0
2019-04-01,59.39,59.41,58.79,59.09,58.4866,16331140,0.0,1.0
2019-03-29,59.2,59.265,58.32,59.13,58.5262,17283871,0.0,1.0
2019-03-28,60.88,60.89,58.44,59.08,58.4767,20547060,0.0,1.0
