,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2022-11-07,141.26,142.969,141.26,142.45,142.45,3788036,0.0,1.0
2022-11-04,142.03,142.21,138.795,140.97,140.97,4889768,0.0,1.0
2022-11-03,139.51,141.7147,139.08,140.72,140.72,3658788,0.0,1.0
2022-11-02,141.16,143.565,140.7,140.75,140.75,5176022,0.0,1.0
2022-11-01,142.97,143.55,141.5,141.69,141.69,4938327,0.0,1.0
2022-10-31,142.34,143.07,141.77,142.33,142.33,7524024,0.0,1.0
2022-10-28,140.05,142.9,140.04,142.51,142.51,4549390,0.0,1.0
2022-10-27,141.01,142.1,140.295,140.73,140.73,5534310,0.0,1.0
2022-10-26,140.36,142.04,139.82,141.14,141.14,6921059,0.0,1.0
2022-10-25,139.09,140.44,138.32,140.07,140.07,5017065,0.0,1.0
2022-10-24,137.45,140.475,137.13,139.41,139.41,6268879,0.0,1.0
2022-10-21,134.81,137.41,134.0,136.8,136.8,6044897,0.0,1.0
2022-10-20,133.98,135.4,133.645,134.09,134.09,4251646,0.0,1.0
2022-10-19,134.33,134.7324,132.97,133.76,133.76,3779827,0.0,1.0
2022-10-18,133.43,135.1,133.33,134.14,134.14,5614055,0.0,1.0
2022-10-17,130.96,132.8251,130.585,131.37,131.37,5937465,0.0,1.0
2022-10-14,132.44,133.22,130.05,130.43,130.43,5547555,0.0,1.0
2022-10-13,129.28,132.94,128.37,132.28,132.28,6848502,0.0,1.0
2022-10-12,133.01,134.7693,130.97,131.17,131.17,5649193,0.0,1.0
2022-10-11,129.51,133.8,129.455,132.67,132.67,7092041,0.0,1.0
2022-10-10,129.53,129.93,128.2817,129.32,129.32,3803852,0.0,1.0
2022-10-07,131.31,131.65,128.07,128.56,128.56,5693463,0.0,1.0
2022-10-06,133.08,134.48,131.58,131.68,131.68,4733488,0.0,1.0
2022-10-05,133.76,134.62,132.51,132.92,132.92,4851276,0.0,1.0
2022-10-04,133.86,135.2,133.37,134.25,134.25,5378122,0.0,1.0
2022-10-03,130.24,132.79,130.01,132.53,132.53,5858259,0.0,1.0
2022-09-30,132.24,132.36,129.7,129.7,129.7,6534061,0.0,1.0
2022-09-29,133.5,134.12,131.63,132.25,132.25,5080533,0.0,1.0
2022-09-28,131.41,133.65,129.72,133.11,133.11,5612761,0.0,1.0
2022-09-27,132.23,133.43,130.3035,130.95,130.95,5659860,0.0,1.0
2022-09-26,128.75,132.14,128.27,131.31,131.31,7670361,0.0,1.0
2022-09-23,132.87,133.175,128.77,130.06,130.06,9065131,0.0,1.0
2022-09-22,134.57,134.72,132.84,133.39,133.39,5494799,0.0,1.0
2022-09-21,135.44,137.45,134.62,134.77,134.77,8301190,0.0,1.0
2022-09-20,133.48,133.88,132.535,133.55,133.55,4654483,0.0,1.0
2022-09-19,132.82,134.76,132.47,134.33,134.33,5617727,0.0,1.0
2022-09-16,132.0,134.55,131.28,133.19,133.19,13958131,0.0,1.0
2022-09-15,135.05,135.15,132.97,133.47,133.47,6729778,0.0,1.0
2022-09-14,135.63,136.53,134.1,134.92,134.92,6644898,0.0,1.0
2022-09-13,136.86,137.95,134.81,135.22,135.22,5895775,0.0,1.0
2022-09-12,137.08,138.249,136.965,138.07,138.07,4761506,0.0,1.0
2022-09-09,136.3,137.5,136.13,136.84,136.84,5381762,0.0,1.0
2022-09-08,135.4,136.87,134.88,136.43,136.43,5652008,0.0,1.0
2022-09-07,133.06,135.965,132.74,135.74,135.74,5686324,0.0,1.0
2022-09-06,133.05,133.62,130.72,132.34,132.34,7259518,0.0,1.0
2022-09-02,134.85,135.67,132.43,133.0,133.0,5744847,0.0,1.0
2022-09-01,132.54,135.14,132.4,134.48,134.48,7247267,0.0,1.0
2022-08-31,132.78,133.79,131.93,132.55,132.55,7486916,0.0,1.0
2022-08-30,133.34,133.65,131.74,132.48,132.48,4822677,0.0,1.0
2022-08-29,130.83,133.865,130.59,132.88,132.88,5991462,0.0,1.0
2022-08-26,136.11,136.83,131.515,131.6,131.6,7110615,0.0,1.0
2022-08-25,135.28,135.99,135.03,135.87,135.87,6471534,0.0,1.0
2022-08-24,134.35,135.295,133.6,134.97,134.97,5255512,0.0,1.0
2022-08-23,134.61,134.96,133.21,134.0,134.0,5651696,0.0,1.0
2022-08-22,136.2,136.7199,134.44,134.57,134.57,6222407,0.0,1.0
2022-08-19,138.92,139.07,136.91,137.02,137.02,7639558,0.0,1.0
2022-08-18,139.53,140.42,138.5,139.07,139.07,6399178,0.0,1.0
2022-08-17,138.57,142.72,138.4,139.52,139.52,13930697,0.0,1.0
2022-08-16,138.9,140.93,138.19,139.37,139.37,30591107,0.0,1.0
2022-08-15,131.63,133.57,131.3567,132.6,132.6,8838708,0.0,1.0
2022-08-12,130.0,132.84,129.82,132.22,132.22,8874966,0.0,1.0
2022-08-11,129.7,130.37,128.6,129.82,129.82,7951494,0.56,1.0
2022-08-10,130.0,130.145,128.39,129.14,128.58532597,8416994,0.0,1.0
2022-08-09,127.89,128.97,127.21,128.87,128.316485657,6441670,0.0,1.0
2022-08-08,126.65,128.2125,126.61,127.61,127.06189753,6061110,0.0,1.0
2022-08-05,125.51,126.81,125.12,126.58,126.036321522,10668955,0.0,1.0
2022-08-04,130.67,130.8,125.33,125.57,125.03065961,17702000,0.0,1.0
2022-08-03,132.16,132.94,129.86,130.5,129.939484584,10667702,0.0,1.0
2022-08-02,133.15,133.71,131.4,132.68,132.110121184,6565006,0.0,1.0
2022-08-01,131.06,134.23,131.0,132.54,131.970722503,8332092,0.0,1.0
2022-07-29,128.32,132.265,128.0125,132.05,131.482827121,10047279,0.0,1.0
2022-07-28,126.27,130.51,126.27,129.75,129.192705936,11087444,0.0,1.0
2022-07-27,121.24,126.765,121.0267,126.59,126.04627857,14053233,0.0,1.0
2022-07-26,121.13,122.69,120.06,121.98,121.456079153,31797182,0.0,1.0
