,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2022-11-07,112.41,113.99,112.13,113.64,113.64,16008044,0.0,1.0
2022-11-04,113.0,113.5,110.8,112.31,112.31,17541462,0.0,1.0
2022-11-03,108.58,111.82,108.31,111.1,111.1,17103672,0.0,1.0
2022-11-02,111.58,112.1,109.31,109.61,109.61,20661778,0.0,1.0
2022-11-01,112.37,112.57,110.65,111.91,111.91,22213143,0.0,1.0
2022-10-31,109.5,112.91,109.44,110.81,110.81,26401838,0.0,1.0
2022-10-28,109.46,111.21,108.12,110.7,110.7,28169441,0.0,1.0
2022-10-27,108.41,109.58,107.42,107.55,107.55,18214023,0.0,1.0
2022-10-26,106.26,107.83,106.0,107.14,107.14,17390414,0.0,1.0
2022-10-25,106.41,107.33,105.07,105.88,105.88,15719805,0.0,1.0
2022-10-24,105.66,107.68,105.12,106.6,106.6,17024239,0.0,1.0
2022-10-21,104.45,106.4,103.905,105.86,105.86,22814149,0.0,1.0
2022-10-20,104.32,105.0,103.41,103.93,103.93,17649025,0.0,1.0
2022-10-19,101.25,103.99,101.23,103.79,103.79,20921704,0.0,1.0
2022-10-18,101.54,102.35,99.23,100.8,100.8,14065435,0.0,1.0
2022-10-17,101.07,101.97,100.5,100.62,100.62,14283231,0.0,1.0
2022-10-14,101.12,102.24,99.04,99.19,99.19,15229626,0.0,1.0
2022-10-13,97.55,102.45,97.4,101.87,101.87,22019142,0.0,1.0
2022-10-12,97.5,98.91,97.23,98.43,98.43,12635769,0.0,1.0
2022-10-11,97.22,99.76,96.75,98.0,98.0,17804127,0.0,1.0
2022-10-10,101.49,102.03,98.72,98.84,98.84,16786088,0.0,1.0
2022-10-07,102.19,103.315,100.18,101.03,101.03,24507647,0.0,1.0
2022-10-06,98.47,102.18,98.33,102.06,102.06,29124717,0.0,1.0
2022-10-05,95.75,99.99,95.66,99.12,99.12,34857698,0.0,1.0
2022-10-04,93.24,95.36,92.71,95.27,95.27,22133711,0.0,1.0
2022-10-03,90.04,92.36,89.72,91.92,91.92,23881332,0.0,1.0
2022-09-30,88.17,89.04,87.31,87.31,87.31,21357564,0.0,1.0
2022-09-29,88.18,89.3582,87.13,88.68,88.68,17896011,0.0,1.0
2022-09-28,86.12,89.2999,85.92,88.86,88.86,19543315,0.0,1.0
2022-09-27,85.61,86.955,84.81,85.74,85.74,17307293,0.0,1.0
2022-09-26,84.9,86.22,83.89,83.98,83.98,22043356,0.0,1.0
2022-09-23,87.5,87.5,84.85,85.75,85.75,27738816,0.0,1.0
2022-09-22,92.2,92.66,90.52,90.57,90.57,15566555,0.0,1.0
2022-09-21,93.57,93.88,90.87,90.95,90.95,17332419,0.0,1.0
2022-09-20,92.73,92.925,91.64,92.44,92.44,14712518,0.0,1.0
2022-09-19,91.01,93.49,91.0,93.2,93.2,15342110,0.0,1.0
2022-09-16,95.07,95.34,92.0,93.21,93.21,37874705,0.0,1.0
2022-09-15,96.22,96.54,94.05,94.83,94.83,21092271,0.0,1.0
2022-09-14,96.19,98.56,96.15,97.67,97.67,22655682,0.0,1.0
2022-09-13,96.61,97.78,94.91,95.33,95.33,18229124,0.0,1.0
2022-09-12,97.65,99.19,96.8765,97.61,97.61,16118943,0.0,1.0
2022-09-09,96.52,97.0,95.32,96.5,96.5,17161438,0.0,1.0
2022-09-08,94.66,95.42,93.72,94.91,94.91,18759208,0.0,1.0
2022-09-07,93.19,94.5919,92.3,94.14,94.14,16274657,0.0,1.0
2022-09-06,96.16,96.59,94.51,94.95,94.95,18959438,0.0,1.0
2022-09-02,96.35,96.79,95.11,95.59,95.59,18206807,0.0,1.0
2022-09-01,94.42,95.065,92.2901,93.87,93.87,16422987,0.0,1.0
2022-08-31,94.03,96.84,93.59,95.59,95.59,18340884,0.0,1.0
2022-08-30,98.36,98.62,95.82,96.31,96.31,17086838,0.0,1.0
2022-08-29,98.18,101.555,98.14,100.12,100.12,22999850,0.0,1.0
2022-08-26,98.77,99.91,97.42,97.87,97.87,15531368,0.0,1.0
2022-08-25,98.92,99.86,98.1003,99.09,99.09,15305729,0.0,1.0
2022-08-24,98.01,98.965,97.36,98.58,98.58,17050307,0.0,1.0
2022-08-23,95.55,98.41,95.45,98.0,98.0,23764738,0.0,1.0
2022-08-22,93.42,94.4889,91.86,94.01,94.01,16019928,0.0,1.0
2022-08-19,94.16,95.2,93.8,94.08,94.08,16128557,0.0,1.0
2022-08-18,93.15,95.31,93.09,94.38,94.38,17770365,0.0,1.0
2022-08-17,91.27,93.21,90.92,92.2,92.2,13678045,0.0,1.0
2022-08-16,92.03,92.89,91.29,91.46,91.46,14038213,0.0,1.0
2022-08-15,90.53,92.73,89.66,92.32,92.32,20755230,0.0,1.0
2022-08-12,92.48,94.02,92.11,94.0,94.0,15058217,0.0,1.0
2022-08-11,91.84,94.3,91.4391,93.19,93.19,18797867,0.88,1.0
