,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,32.06,32.38,31.63,31.88,17.1658,12213800,0.0,1.0
2000-01-04,31.25,31.5,30.0,30.69,16.525,13481000,0.0,1.0
2000-01-05,30.88,31.88,30.81,31.25,16.8266,12316500,0.0,1.0
2000-01-06,31.25,32.75,31.19,32.31,17.3973,10545800,0.0,1.0
2000-01-07,34.0,34.88,32.31,34.5,18.5765,17041900,0.0,1.0
2000-01-10,35.0,35.0,34.06,34.44,18.5442,9880200,0.0,1.0
2000-01-11,34.25,35.0,34.13,34.38,18.5119,9247700,0.0,1.0
2000-01-12,34.5,35.31,34.44,35.13,18.9157,10838000,0.0,1.0
2000-01-13,34.94,37.13,34.63,37.0,19.9226,26286400,0.0,1.0
2000-01-14,37.44,37.63,37.0,37.0,19.9226,16182000,0.0,1.0
2000-01-18,37.13,37.25,35.81,36.5,19.6534,10872500,0.0,1.0
2000-01-19,36.75,37.06,36.31,37.0,19.9226,10053500,0.0,1.0
2000-01-20,36.75,36.88,35.81,36.39,19.5942,7980400,0.0,1.0
2000-01-21,36.56,36.56,35.0,35.06,18.878,12355600,0.0,1.0
2000-01-24,35.0,35.25,33.38,34.38,18.5119,13030800,0.0,1.0
2000-01-25,34.5,35.44,34.31,34.88,18.7811,9396200,0.0,1.0
2000-01-26,34.81,35.0,34.38,34.88,18.7811,7332800,0.0,1.0
2000-01-27,34.56,35.44,34.5,34.5,18.5765,8594600,0.0,1.0
2000-01-28,34.5,35.69,33.88,35.19,18.948,11228300,0.0,1.0
2000-01-31,34.0,36.5,34.0,36.19,19.4865,10089700,0.0,1.0
2000-02-01,35.56,37.19,35.5,37.0,19.9226,11713200,0.0,1.0
2000-02-02,36.94,37.0,36.0,36.0,19.3842,7141500,0.0,1.0
2000-02-03,36.06,36.63,35.31,35.63,19.185,8794000,0.0,1.0
2000-02-04,36.13,36.13,35.31,35.75,19.2496,6609100,0.0,1.0
2000-02-07,35.88,37.0,35.56,37.0,19.9226,12713400,0.0,1.0
2000-02-08,37.06,37.94,36.88,37.81,20.3588,15360700,0.0,1.0
2000-02-09,37.63,37.69,36.13,36.13,19.4542,11207200,0.0,1.0
2000-02-10,36.5,36.5,35.0,35.0,18.8457,10577500,0.0,1.0
2000-02-11,35.56,35.56,34.0,35.0,18.8457,10172000,0.0,1.0
2000-02-14,33.56,35.31,33.56,35.0,18.8457,8393400,0.0,1.0
2000-02-15,35.06,35.88,34.75,35.56,19.1473,7832700,0.0,1.0
2000-02-16,35.0,35.06,33.75,33.75,18.2211,9873900,0.09,1.0
2000-02-17,34.13,34.38,33.63,34.0,18.3561,8495100,0.0,1.0
2000-02-18,34.0,34.0,32.88,34.0,18.3561,10314100,0.0,1.0
2000-02-22,33.44,33.81,33.13,33.5,18.0862,8735300,0.0,1.0
2000-02-23,33.81,34.0,32.94,34.0,18.3561,9090200,0.0,1.0
2000-02-24,32.88,33.31,32.56,33.06,17.8486,9286600,0.0,1.0
2000-02-25,33.0,33.25,32.0,32.38,17.4815,8255000,0.0,1.0
2000-02-28,32.13,32.44,31.94,32.19,17.3789,8108300,0.0,1.0
2000-02-29,32.88,32.88,31.63,32.13,17.3465,11809600,0.0,1.0
2000-03-01,32.13,32.44,31.5,31.88,17.2116,10993200,0.0,1.0
2000-03-02,32.0,32.0,31.5,32.0,17.2763,8352200,0.0,1.0
2000-03-03,33.5,33.5,31.5,32.63,17.6165,10046100,0.0,1.0
2000-03-06,32.06,32.56,31.5,31.69,17.109,10581200,0.0,1.0
2000-03-07,31.38,31.5,30.0,30.0,16.1966,14535400,0.0,1.0
2000-03-08,31.0,33.13,30.19,32.44,17.5139,18806400,0.0,1.0
2000-03-09,32.63,34.38,32.25,34.38,18.5613,18199200,0.0,1.0
2000-03-10,35.13,35.25,34.0,35.0,18.896,19474800,0.0,1.0
2000-03-13,35.13,35.13,33.5,34.31,18.5235,11671200,0.0,1.0
2000-03-14,34.19,34.19,33.0,33.25,17.9512,8641400,0.0,1.0
2000-03-15,33.88,35.63,33.75,35.25,19.031,15513800,0.0,1.0
2000-03-16,36.19,36.56,35.63,36.5,19.7058,18352100,0.0,1.0
2000-03-17,36.06,36.31,35.5,35.81,19.3333,12775500,0.0,1.0
2000-03-20,36.0,36.06,34.0,35.0,18.896,7863500,0.0,1.0
2000-03-21,36.06,37.0,35.81,36.69,19.8084,13597400,0.0,1.0
2000-03-22,35.75,36.13,34.63,35.63,19.2361,17387200,0.0,1.0
