,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,F,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,T,TRV,UNH,UTX,V,VZ,WMT,XOM
2000-01-03,3.5692,35.8807,27.04,14.8395,43.9835,22.1864,,23.8971,24.9083,28.5707,73.1085,45.8886,83.3807,29.0632,29.1732,27.419,17.419,24.8532,30.4583,33.621,38.6179,4.7394,17.3323,33.0716,17.555999999999997,20.5256,5.9003,21.5332,,23.3204,48.1765,24.5988
2000-01-04,3.2682,34.523,26.9997,14.6472,41.5016,22.1864,,25.2967,24.0762,27.4278,68.5055,41.1794,80.5487,27.7069,28.1036,26.8245,17.4778,24.339000000000002,29.2481,32.4378,37.3125,4.4814,16.6854,32.4238,16.5288,20.252,5.8245,20.6512,,22.5656,46.3737,24.1276
2000-01-05,3.3160000000000003,34.3462,28.8903,15.1996,41.8271,22.6666,,26.1925,24.1618,27.3802,65.9723,43.4671,83.3807,28.2715,28.5403,26.658,17.6698,24.8532,30.739,33.9292,37.7068,4.7404,16.9898,32.1461,16.7155,20.451,5.8114,20.4583,,23.3204,45.2921,25.3275
2000-01-06,3.029,34.3462,28.971,15.7549,40.6878,23.5447,,25.2967,24.195,27.7459,68.0916,42.2352,81.9431,26.3072,29.2903,27.0364,17.6512,24.3829,32.5301,33.9938,36.4445,4.7158,17.5661,33.2876,16.4331,20.4883,6.0243,21.2094,,23.2017,45.9266,26.7599
2000-01-07,3.1725,34.8261,29.811999999999998,16.2676,43.0884,23.9586,,24.8968,25.9783,28.8202,68.3483,44.699,81.5837,27.3929,30.5371,27.5322,18.8125,25.01,33.1756,37.255,36.9216,4.7158,18.7568,35.9407,16.5758,21.3031,6.7302,22.05,,23.0294,49.3951,26.6814
2000-01-10,3.1167,35.3288,29.3949,15.7336,44.6752,23.3139,,28.6957,25.5028,28.8088,69.855,44.4807,84.8183,28.6457,29.765,27.0591,18.2117,25.1229,33.0142,36.1663,37.1899,4.7956,18.7241,35.7556,16.8087,20.9175,6.6138,22.2671,,22.9081,48.4938,26.3076
2000-01-11,2.9573,35.6487,28.9306,15.4864,43.3325,23.0964,,28.9917,24.818,28.8564,70.2109,43.3334,85.5371,29.9619,29.765,26.4196,18.8311,25.7124,32.4333,36.1961,36.2357,5.0359,18.6915,36.3418,16.5758,20.6811,6.6281,21.7503,,22.6927,47.7727,26.6217
2000-01-12,2.78,35.4659,28.971,15.7549,42.2339,23.0141,,26.9442,25.5313,28.9516,69.855,42.9814,85.8965,30.483,29.5878,26.5861,19.0448,26.8099,32.5301,37.0064,35.0563,4.8635,19.0993,36.095,15.7044,20.7185,6.5655,22.2429,,21.9291,46.9146,26.229
2000-01-13,3.0848,35.6487,28.5135,15.9258,43.2104,23.229,,27.84,25.2317,29.2849,69.9543,43.7346,84.99799999999999,30.4195,29.5498,26.9872,18.7537,26.5339,32.5301,37.1605,35.7189,4.9246,20.116,35.4779,15.3288,21.1476,6.7719,22.4807,,21.7568,46.965,26.8384
2000-01-14,3.2025,36.4486,29.6034,15.8495,43.7801,23.0805,,26.8403,24.6088,28.7611,70.8898,43.6008,85.9828,34.4416,29.6479,27.9599,18.9085,26.7221,32.0493,36.8523,37.1899,5.0536,20.116,36.095,15.7757,21.1476,6.7642,21.9845,,22.0505,46.5107,26.3076
