,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,104.87,112.5,101.69,111.94,3.5692,4783900,0.0,1.0
2000-01-04,108.25,110.62,101.19,102.5,3.2682,4574800,0.0,1.0
2000-01-05,103.75,110.56,103.0,104.0,3.316,6949300,0.0,1.0
2000-01-06,106.12,107.0,95.0,95.0,3.029,6856900,0.0,1.0
2000-01-07,96.5,101.0,95.5,99.5,3.1725,4113700,0.0,1.0
2000-01-10,102.0,102.25,94.75,97.75,3.1167,4509500,0.0,1.0
2000-01-11,95.94,99.37,90.5,92.75,2.9573,3942400,0.0,1.0
2000-01-12,95.0,95.5,86.5,87.19,2.78,8714900,0.0,1.0
2000-01-13,94.48,98.75,92.5,96.75,3.0848,9220400,0.0,1.0
2000-01-14,100.0,102.25,99.37,100.44,3.2025,3485500,0.0,1.0
2000-01-18,101.0,106.0,100.44,103.94,3.3141,4099800,0.0,1.0
2000-01-19,105.62,108.75,103.37,106.56,3.3976,5336100,0.0,1.0
2000-01-20,115.5,121.5,113.5,113.5,3.6189,16349400,0.0,1.0
2000-01-21,114.25,114.25,110.19,111.31,3.5491,4427900,0.0,1.0
2000-01-24,108.44,112.75,105.12,106.25,3.3877,3936400,0.0,1.0
2000-01-25,105.0,113.12,102.37,112.25,3.579,4438800,0.0,1.0
2000-01-26,110.0,114.19,109.75,110.19,3.5134,3278200,0.0,1.0
2000-01-27,108.81,113.0,107.0,110.0,3.5073,3037000,0.0,1.0
2000-01-28,108.19,110.87,100.62,101.62,3.2401,3779900,0.0,1.0
2000-01-31,101.0,103.87,94.5,103.75,3.308,6265000,0.0,1.0
2000-02-01,104.0,105.0,100.0,100.25,3.1964,2839600,0.0,1.0
2000-02-02,100.75,102.12,97.0,98.81,3.1505,4144600,0.0,1.0
2000-02-03,100.31,104.25,100.25,103.31,3.294,4242800,0.0,1.0
2000-02-04,103.94,110.0,103.62,108.0,3.4435,3797500,0.0,1.0
2000-02-07,108.0,114.25,105.94,114.06,3.6368,3938100,0.0,1.0
2000-02-08,114.0,116.12,111.25,114.87,3.6626,3648600,0.0,1.0
2000-02-09,114.12,117.12,112.44,112.62,3.5908,2672900,0.0,1.0
2000-02-10,112.87,113.87,110.0,113.5,3.6189,2705200,0.0,1.0
2000-02-11,113.62,114.12,108.25,108.75,3.4675,1895100,0.0,1.0
2000-02-14,109.31,115.87,108.62,115.81,3.6926,3281600,0.0,1.0
2000-02-15,115.25,119.94,115.19,119.0,3.7943,4337000,0.0,1.0
