,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,41.63,41.69,39.81,40.19,26.9063,2638200,0.0,1.0
2000-01-04,39.88,41.13,39.75,40.13,26.8662,3592100,0.0,1.0
2000-01-05,42.0,43.31,41.38,42.94,28.7474,7631700,0.0,1.0
2000-01-06,42.25,43.44,41.13,43.06,28.8277,4922200,0.0,1.0
2000-01-07,43.88,44.88,43.69,44.31,29.6646,6008300,0.0,1.0
2000-01-10,44.31,44.5,43.5,43.69,29.2495,2403500,0.0,1.0
2000-01-11,43.38,43.94,42.75,43.0,28.7876,2450000,0.0,1.0
2000-01-12,42.75,44.19,42.5,43.06,28.8277,2327800,0.0,1.0
2000-01-13,43.31,43.38,42.0,42.38,28.3725,3035100,0.0,1.0
2000-01-14,43.63,44.25,42.94,44.0,29.457,3834900,0.0,1.0
2000-01-18,43.88,45.0,43.13,45.0,30.1265,5859800,0.0,1.0
2000-01-19,45.38,48.13,45.25,47.63,31.8872,11463600,0.0,1.0
2000-01-20,47.56,47.88,45.75,46.5,31.1307,8941100,0.0,1.0
2000-01-21,46.94,46.94,45.0,45.69,30.5885,4392500,0.0,1.0
2000-01-24,45.81,46.19,43.63,44.31,29.6646,3306200,0.0,1.0
2000-01-25,45.0,46.0,44.75,45.69,30.5885,5057200,0.0,1.0
2000-01-26,45.69,46.5,45.0,46.19,30.9232,3090100,0.0,1.0
2000-01-27,46.0,46.88,44.88,45.06,30.1667,3339100,0.0,1.0
2000-01-28,44.81,45.63,44.5,44.63,29.8788,2288100,0.0,1.0
2000-01-31,44.0,44.56,43.94,44.5,29.7918,2411800,0.0,1.0
2000-02-01,43.88,44.19,43.31,43.75,29.2897,2675800,0.0,1.0
2000-02-02,43.38,45.13,43.38,44.63,29.8788,3295500,0.0,1.0
2000-02-03,45.0,45.06,43.13,43.44,29.0821,2889100,0.0,1.0
2000-02-04,43.75,44.19,43.31,44.0,29.457,2927200,0.0,1.0
2000-02-07,43.88,43.88,41.69,41.81,27.9909,3029400,0.0,1.0
2000-02-08,41.94,42.06,40.0,41.0,27.4486,5102700,0.0,1.0
2000-02-09,40.25,40.25,38.38,39.0,26.2034,5525000,0.14,1.0
2000-02-10,38.81,40.19,38.75,39.75,26.7073,4060600,0.0,1.0
2000-02-11,39.75,40.38,39.13,39.88,26.7946,3132800,0.0,1.0
2000-02-14,39.63,39.69,38.06,38.25,25.6995,2606300,0.0,1.0
2000-02-15,38.13,38.69,37.38,38.5,25.8674,3961300,0.0,1.0
2000-02-16,37.75,37.94,36.88,37.25,25.0276,3423000,0.0,1.0
2000-02-17,37.25,37.88,36.56,37.5,25.1956,3400500,0.0,1.0
2000-02-18,37.38,37.5,35.88,36.0,24.1877,5559500,0.0,1.0
2000-02-22,35.94,39.94,35.88,38.88,26.1227,4771400,0.0,1.0
2000-02-23,38.63,38.69,37.06,37.13,24.947,3880800,0.0,1.0
2000-02-24,36.88,37.0,35.88,36.56,24.564,4210800,0.0,1.0
2000-02-25,37.06,38.0,36.81,37.81,25.4038,3170600,0.0,1.0
2000-02-28,37.5,37.63,36.56,37.0,24.8596,3573300,0.0,1.0
2000-02-29,37.19,37.63,36.13,36.94,24.8193,3513100,0.0,1.0
2000-03-01,36.5,36.63,35.94,36.31,24.396,2838000,0.0,1.0
2000-03-02,36.31,37.19,35.38,35.94,24.1474,4058200,0.0,1.0
2000-03-03,36.13,36.5,35.69,35.94,24.1474,3884100,0.0,1.0
2000-03-06,36.13,36.19,35.0,35.13,23.6032,2882000,0.0,1.0
2000-03-07,35.13,35.13,34.13,34.75,23.3479,3565000,0.0,1.0
2000-03-08,34.0,34.19,33.38,33.38,22.4274,4134600,0.0,1.0
2000-03-09,33.5,34.5,33.25,33.75,22.676,3236800,0.0,1.0
2000-03-10,33.94,33.94,32.31,32.38,21.7555,5114300,0.0,1.0
2000-03-13,32.25,33.13,32.0,32.63,21.9235,3422700,0.0,1.0
2000-03-14,32.75,33.81,32.44,33.06,22.2124,3727900,0.0,1.0
2000-03-15,32.88,35.5,32.88,34.88,23.4352,4859300,0.0,1.0
2000-03-16,35.0,35.94,34.69,35.63,23.9391,4725200,0.0,1.0
2000-03-17,37.25,38.94,35.38,38.0,25.5315,15304900,0.0,1.0
2000-03-20,37.19,37.69,36.38,37.0,24.8596,5786400,0.0,1.0
2000-03-21,37.19,37.44,36.19,36.56,24.564,4165400,0.0,1.0
2000-03-22,36.94,37.19,35.75,36.25,24.3557,3359600,0.0,1.0
2000-03-23,35.63,35.94,34.81,35.13,23.6032,4080400,0.0,1.0
2000-03-24,35.5,36.44,35.5,36.0,24.1877,5797500,0.0,1.0
2000-03-27,36.25,37.31,36.13,37.13,24.947,2534000,0.0,1.0
2000-03-28,36.94,38.19,36.88,38.0,25.5315,5056400,0.0,1.0
2000-03-29,37.75,38.19,37.31,37.88,25.4509,2731000,0.0,1.0
2000-03-30,37.88,38.94,37.63,38.63,25.9548,3311100,0.0,1.0
2000-03-31,38.75,38.81,37.81,37.81,25.4038,4640100,0.0,1.0
