,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,48.88,49.0,48.5,48.63,14.8395,2527500,0.0,1.0
2000-01-04,48.13,49.75,48.0,48.0,14.6472,3090700,0.0,1.0
2000-01-05,48.06,49.88,48.0,49.81,15.1996,3199300,0.0,1.0
2000-01-06,51.0,52.25,50.56,51.63,15.7549,2570300,0.0,1.0
2000-01-07,52.88,55.0,52.75,53.31,16.2676,3180100,0.0,1.0
2000-01-10,54.06,54.56,51.5,51.56,15.7336,1841100,0.0,1.0
2000-01-11,51.63,53.19,50.75,50.75,15.4864,1972800,0.0,1.0
2000-01-12,51.5,52.31,51.13,51.63,15.7549,1700500,0.0,1.0
2000-01-13,53.19,53.38,52.06,52.19,15.9258,1564700,0.0,1.0
2000-01-14,52.06,52.88,51.88,51.94,15.8495,1522200,0.0,1.0
2000-01-18,51.56,51.75,49.88,49.94,15.3384,2027100,0.325,1.0
2000-01-19,49.94,50.69,49.31,49.31,15.1449,1712300,0.0,1.0
2000-01-20,49.56,49.94,47.06,47.13,14.4754,2139600,0.0,1.0
2000-01-21,47.19,47.94,45.63,47.38,14.5521,2500000,0.0,1.0
2000-01-24,47.0,47.25,45.06,45.31,13.9164,2692800,0.0,1.0
2000-01-25,44.81,45.0,42.56,43.63,13.4004,3042100,0.0,1.0
2000-01-26,43.38,45.69,43.38,44.94,13.8027,2094100,0.0,1.0
2000-01-27,44.94,45.56,44.0,44.56,13.686,1670400,0.0,1.0
2000-01-28,44.13,45.19,43.5,43.5,13.3605,2425800,0.0,1.0
2000-01-31,43.13,43.94,42.44,42.44,13.0349,1838500,0.0,1.0
2000-02-01,42.75,44.06,42.75,43.19,13.2652,1465100,0.0,1.0
2000-02-02,44.5,44.75,43.31,43.44,13.342,1466800,0.0,1.0
2000-02-03,43.19,43.25,42.13,42.31,12.995,2171700,0.0,1.0
2000-02-04,42.5,42.63,41.25,42.31,12.995,2061000,0.0,1.0
2000-02-07,41.63,41.81,40.75,41.25,12.6694,2044900,0.0,1.0
2000-02-08,41.5,41.5,40.0,41.0,12.5926,2924200,0.0,1.0
2000-02-09,40.0,41.19,39.13,39.13,12.0183,2967400,0.0,1.0
2000-02-10,39.06,39.56,37.63,38.06,11.6896,2903700,0.0,1.0
2000-02-11,37.25,37.88,34.88,36.0,11.0569,5972400,0.0,1.0
2000-02-14,37.0,38.94,36.25,38.63,11.8647,3393900,0.0,1.0
2000-02-15,38.88,40.75,38.63,40.0,12.2855,3024100,0.0,1.0
2000-02-16,39.75,40.63,38.81,39.19,12.0367,1940700,0.0,1.0
2000-02-17,39.13,39.13,37.69,38.69,11.8831,1912100,0.0,1.0
2000-02-18,38.25,38.38,37.38,37.69,11.576,1508900,0.0,1.0
2000-02-22,37.94,38.88,37.5,38.31,11.7664,2014400,0.0,1.0
2000-02-23,38.38,38.69,37.19,37.81,11.6128,2447200,0.0,1.0
2000-02-24,37.81,37.88,36.25,36.25,11.1337,2244100,0.0,1.0
2000-02-25,36.31,37.5,35.88,36.0,11.0569,2069900,0.0,1.0
2000-02-28,36.0,36.63,35.38,35.56,10.9218,1659600,0.0,1.0
2000-02-29,35.06,36.44,35.0,35.06,10.7682,2402900,0.0,1.0
2000-03-01,35.13,35.81,34.88,34.88,10.7129,2420800,0.0,1.0
2000-03-02,34.81,35.0,34.19,34.44,10.5778,1978000,0.0,1.0
2000-03-03,34.5,37.31,34.5,36.38,11.1736,2402900,0.0,1.0
2000-03-06,37.19,38.0,36.44,36.69,11.2689,2630200,0.0,1.0
2000-03-07,36.5,36.5,33.5,33.81,10.3843,4390400,0.0,1.0
2000-03-08,35.31,36.44,34.63,34.94,10.7314,2886000,0.0,1.0
2000-03-09,34.94,35.38,34.25,35.25,10.8266,2452200,0.0,1.0
2000-03-10,35.0,36.75,34.81,35.69,10.9617,2667700,0.0,1.0
2000-03-13,35.0,36.13,35.0,35.63,10.9433,1652400,0.0,1.0
2000-03-14,36.75,37.19,35.75,35.81,10.9986,3272700,0.0,1.0
2000-03-15,36.25,39.06,35.63,38.25,11.748,3413700,0.0,1.0
