,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,109.9,110.3,107.8,108.1,43.9835,26538000,0.0,1.0
2000-01-04,105.5,107.0,101.8,102.0,41.5016,25402800,0.0,1.0
2000-01-05,100.1,105.7,97.25,102.8,41.8271,34262000,0.0,1.0
2000-01-06,100.8,101.9,98.63,100.0,40.6878,24121300,0.0,1.0
2000-01-07,99.38,106.0,99.38,105.9,43.0884,31130300,0.0,1.0
2000-01-10,108.5,110.0,106.1,109.8,44.6752,25291500,0.0,1.0
2000-01-11,108.1,109.6,105.0,106.5,43.3325,21605100,0.0,1.0
2000-01-12,106.9,107.5,103.5,103.8,42.2339,20378900,0.0,1.0
2000-01-13,106.0,106.5,103.8,106.2,43.2104,17247200,0.0,1.0
2000-01-14,108.3,109.3,105.0,107.6,43.7801,21811500,0.0,1.0
2000-01-18,107.5,112.5,107.3,112.0,45.5703,29784300,0.0,1.0
2000-01-19,111.7,113.0,109.1,112.3,45.6924,22798500,0.0,1.0
2000-01-20,113.4,115.1,111.4,112.4,45.7331,20865600,0.0,1.0
2000-01-21,114.9,115.4,112.4,115.3,46.913,22487300,0.0,1.0
2000-01-24,115.8,115.8,108.5,109.1,44.3904,21893900,0.0,1.0
2000-01-25,108.5,112.9,107.1,112.1,45.611,27689900,0.0,1.0
2000-01-26,111.4,111.8,107.0,107.2,43.6173,17654400,0.0,1.0
2000-01-27,108.8,110.6,103.8,106.6,43.3732,23954300,0.0,1.0
2000-01-28,106.6,109.4,103.0,103.9,42.2746,24782200,0.0,1.0
2000-01-31,102.9,109.6,100.0,109.5,44.5531,33457300,0.0,1.0
2000-02-01,109.8,118.1,109.6,117.8,47.9302,43631500,0.0,1.0
2000-02-02,116.1,117.8,113.0,113.9,46.3434,34224600,0.0,1.0
2000-02-03,114.9,118.6,114.5,117.8,47.9302,24337600,0.0,1.0
2000-02-04,119.6,121.6,118.6,121.1,49.2729,26485000,0.0,1.0
2000-02-07,124.1,125.4,122.6,125.2,50.9411,24466700,0.0,1.0
2000-02-08,127.9,128.0,123.7,125.8,51.1853,36050400,0.0,1.0
