,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,85.88,85.88,82.56,83.63,22.1864,2193800,0.0,1.0
2000-01-04,82.94,84.13,82.5,83.63,22.1864,1851200,0.0,1.0
2000-01-05,83.06,86.56,83.06,85.44,22.6666,2783800,0.0,1.0
2000-01-06,85.31,89.19,85.31,88.75,23.5447,2176700,0.0,1.0
2000-01-07,90.0,90.88,89.0,90.31,23.9586,2243700,0.0,1.0
2000-01-10,90.06,90.06,87.69,87.88,23.3139,1052400,0.0,1.0
2000-01-11,87.88,88.88,86.94,87.06,23.0964,1395600,0.0,1.0
2000-01-12,87.06,87.63,85.88,86.75,23.0141,1496300,0.0,1.0
2000-01-13,86.5,89.25,86.13,87.56,23.229,1626700,0.0,1.0
2000-01-14,85.81,87.44,85.56,87.0,23.0805,1836500,0.0,1.0
2000-01-18,87.5,89.5,86.94,89.31,23.6933,2158700,0.0,1.0
2000-01-19,89.0,89.0,87.75,87.94,23.3298,2513500,0.0,1.0
2000-01-20,88.19,88.19,86.81,87.5,23.2131,1709900,0.0,1.0
2000-01-21,87.88,89.88,87.81,88.56,23.4943,1973900,0.0,1.0
2000-01-24,89.5,90.38,87.94,88.81,23.5606,1768300,0.0,1.0
2000-01-25,88.81,90.5,87.63,88.56,23.4943,1927300,0.0,1.0
2000-01-26,89.25,89.75,86.5,87.75,23.2794,1340500,0.0,1.0
2000-01-27,87.31,87.63,83.56,84.31,22.3668,1775400,0.0,1.0
2000-01-28,83.56,83.69,81.88,82.56,21.9026,2033000,0.0,1.0
2000-01-31,82.06,83.94,80.75,83.63,22.1864,1830300,0.0,1.0
2000-02-01,83.38,84.44,82.5,83.19,22.0697,1305800,0.0,1.0
2000-02-02,82.69,83.94,82.44,82.63,21.9211,1709400,0.0,1.0
2000-02-03,82.13,82.5,80.63,81.44,21.6054,1756400,0.0,1.0
2000-02-04,81.25,81.25,78.38,78.56,20.8414,2112100,0.0,1.0
2000-02-07,79.13,80.0,78.44,79.06,20.974,1567800,0.0,1.0
