,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,29.13,29.88,29.06,29.88,23.8971,8404800,0.0,1.0
2000-01-04,30.06,31.88,30.0,31.63,25.2967,16056100,0.0,1.0
2000-01-05,32.13,33.0,31.63,32.75,26.1925,19829900,0.0,1.0
2000-01-06,33.0,33.13,31.63,31.63,25.2967,7905600,0.0,1.0
2000-01-07,32.0,32.13,30.81,31.13,24.8968,6775600,0.0,1.0
2000-01-10,35.0,35.94,34.0,35.88,28.6957,33976400,0.0,1.0
2000-01-11,35.56,36.75,35.25,36.25,28.9917,20141000,0.0,1.0
2000-01-12,35.88,35.94,33.31,33.69,26.9442,13105000,0.0,1.0
2000-01-13,34.44,35.0,33.81,34.81,27.84,8735100,0.0,1.0
2000-01-14,34.81,35.0,33.44,33.56,26.8403,8154000,0.0,1.0
2000-01-18,33.75,34.81,33.06,34.5,27.5921,8104200,0.0,1.0
2000-01-19,34.31,34.94,34.06,34.75,27.792,6553300,0.0,1.0
2000-01-20,35.0,35.44,33.44,33.63,26.8963,7214300,0.0,1.0
2000-01-21,33.56,33.63,32.69,32.75,26.1925,8286700,0.0,1.0
2000-01-24,33.0,34.0,32.38,33.31,26.6403,8345600,0.0,1.0
2000-01-25,38.0,38.0,36.5,37.5,29.9914,29920500,0.0,1.0
2000-01-26,37.44,37.44,36.38,36.63,29.2956,10403900,0.0,1.0
2000-01-27,36.88,37.63,36.63,37.13,29.6955,9821500,0.0,1.0
2000-01-28,36.81,37.5,36.44,36.75,29.3915,7503200,0.0,1.0
2000-01-31,36.06,36.44,35.81,36.31,29.0396,7911500,0.0,1.0
2000-02-01,36.0,36.44,35.94,36.0,28.7917,7239400,0.0,1.0
2000-02-02,35.94,37.94,35.81,37.25,29.7914,9414200,0.0,1.0
2000-02-03,37.63,38.5,37.56,37.88,30.2953,10911500,0.0,1.0
2000-02-04,38.0,38.25,37.06,38.13,30.4952,6274900,0.0,1.0
2000-02-07,38.0,38.44,37.56,38.0,30.3913,6155400,0.0,1.0
2000-02-08,37.63,37.94,37.0,37.56,30.0394,5782000,0.0,1.0
2000-02-09,37.31,39.0,37.13,37.69,30.1433,6160200,0.0,1.0
2000-02-10,36.88,37.88,36.88,36.94,29.5435,5677600,0.0,1.0
2000-02-11,37.06,38.63,36.81,37.88,30.2953,7249200,0.0,1.0
2000-02-14,37.0,37.38,36.63,37.0,29.5915,5203200,0.0,1.0
2000-02-15,36.56,37.19,35.38,36.88,29.4955,7084900,0.0,1.0
2000-02-16,36.56,37.25,36.56,36.94,29.5435,4476600,0.0,1.0
2000-02-17,36.69,36.88,35.69,36.5,29.1916,4757700,0.0,1.0
2000-02-18,36.38,36.38,35.31,35.5,28.3918,6495800,0.0,1.0
2000-02-22,35.31,35.44,32.63,33.38,26.6963,12748100,0.0,1.0
2000-02-23,33.5,34.63,32.63,34.13,27.2961,8374300,0.0,1.0
2000-02-24,34.0,34.06,32.44,33.19,26.5444,8341200,0.0,1.0
2000-02-25,32.88,33.06,31.0,31.0,24.7929,8443200,0.0,1.0
2000-02-28,32.31,32.94,32.0,32.75,26.1925,7946100,0.0,1.0
2000-02-29,32.5,34.0,32.25,34.0,27.1922,5508100,0.0,1.0
2000-03-01,33.81,34.75,33.19,34.69,27.744,7252600,0.0,1.0
2000-03-02,34.44,34.63,33.81,34.5,27.5921,6590200,0.0,1.0
2000-03-03,36.38,36.5,34.88,36.5,29.1916,14564200,0.0,1.0
2000-03-06,35.88,36.75,35.56,36.0,28.7917,7343200,0.0,1.0
2000-03-07,36.38,36.38,35.44,36.0,28.7917,7590400,0.0,1.0
2000-03-08,35.88,35.94,34.88,34.94,27.944,6296500,0.0,1.0
2000-03-09,35.13,36.25,34.63,36.25,28.9917,5624700,0.0,1.0
2000-03-10,35.5,35.75,34.69,35.13,28.0959,7064100,0.0,1.0
2000-03-13,33.13,35.5,33.0,34.94,27.944,5249000,0.0,1.0
2000-03-14,34.75,34.75,33.81,34.13,27.2961,5591200,0.0,1.0
2000-03-15,34.0,34.94,33.63,34.81,27.84,6645000,0.0,1.0
2000-03-16,35.0,35.5,33.75,35.31,28.2399,8337700,0.0,1.0
2000-03-17,34.75,36.94,34.56,36.81,29.4395,8756300,0.0,1.0
2000-03-20,37.81,39.5,37.69,39.44,31.5429,16990800,0.0,1.0
2000-03-21,39.5,40.06,38.63,39.19,31.343,13366200,0.0,1.0
2000-03-22,39.94,41.44,39.75,40.5,32.3907,13730100,0.0,1.0
2000-03-23,39.88,41.94,39.81,41.56,33.2384,8166300,0.0,1.0
2000-03-24,41.56,41.75,41.06,41.44,33.1425,6632400,0.0,1.0
2000-03-27,41.5,42.19,40.0,41.75,33.3904,5799400,0.0,1.0
2000-03-28,41.25,42.5,40.63,40.94,32.7426,7594900,0.0,1.0
2000-03-29,41.0,41.19,40.25,40.81,32.6386,5164000,0.0,1.0
2000-03-30,40.0,41.0,39.75,40.25,32.1907,5420300,0.0,1.0
2000-03-31,41.5,41.5,40.25,41.25,32.9905,5359900,0.0,1.0
2000-04-03,41.44,41.88,41.06,41.81,33.4384,4872100,0.0,1.0
2000-04-04,41.75,41.94,38.38,41.13,32.8945,7052100,0.0,1.0
2000-04-05,40.13,40.75,39.25,40.0,31.9908,5141700,0.0,1.0
2000-04-06,40.38,41.25,40.0,40.44,32.3427,3616600,0.0,1.0
2000-04-07,40.94,41.38,40.5,41.0,32.7906,3299000,0.0,1.0
