,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,52.75,53.19,52.13,52.38,24.9083,2582177,0.0,1.0
2000-01-04,51.81,52.25,50.31,50.63,24.0762,4660980,0.0,1.0
2000-01-05,51.0,51.5,50.75,50.81,24.1618,3207002,0.0,1.0
2000-01-06,51.0,51.81,50.38,50.88,24.195,2892998,0.0,1.0
2000-01-07,52.5,55.0,52.13,54.63,25.9783,5898154,0.0,1.0
2000-01-10,54.75,55.19,53.0,53.63,25.5028,3154679,0.0,1.0
2000-01-11,52.5,53.5,51.75,52.19,24.818,2693253,0.0,1.0
2000-01-12,52.44,54.5,52.44,53.69,25.5313,3131190,0.0,1.0
2000-01-13,54.38,54.38,52.88,53.06,25.2317,2500700,0.0,1.0
2000-01-14,52.56,52.94,51.13,51.75,24.6088,4756652,0.0,1.0
2000-01-18,53.75,55.0,53.13,54.25,25.7976,4948822,0.0,1.0
2000-01-19,54.5,54.88,52.81,53.44,25.4124,2874602,0.0,1.0
2000-01-20,53.5,53.69,51.5,52.22,24.8323,4339465,0.0,1.0
2000-01-21,51.94,52.0,50.31,50.44,23.9858,5732018,0.0,1.0
2000-01-24,51.81,51.94,50.38,51.13,24.3139,5042648,0.0,1.0
2000-01-25,51.19,51.25,49.13,50.13,23.8384,4154997,0.0,1.0
2000-01-26,49.13,49.25,47.31,48.0,22.8255,9246849,0.0,1.0
2000-01-27,49.31,50.0,48.69,49.94,23.748,6861680,0.0,1.0
2000-01-28,49.13,49.88,48.81,49.0,23.5426,3837810,0.508,1.0
2000-01-31,49.81,50.19,49.13,49.75,23.903,3154933,0.0,1.0
2000-02-01,49.63,50.0,48.5,49.81,23.9318,4719605,0.0,1.0
2000-02-02,49.94,50.56,47.94,48.63,23.3648,6361362,0.0,1.0
2000-02-03,47.88,48.88,47.81,48.75,23.4225,4003883,0.0,1.0
2000-02-04,48.88,49.0,48.0,48.06,23.091,2743730,0.0,1.0
2000-02-07,48.5,48.5,47.19,47.94,23.0333,2376066,0.0,1.0
2000-02-08,48.38,48.88,48.0,48.13,23.1246,3339656,0.0,1.0
2000-02-09,47.63,47.75,47.13,47.19,22.673,2872820,0.0,1.0
2000-02-10,47.06,47.25,46.06,47.0,22.5817,3694398,0.0,1.0
2000-02-11,47.19,47.19,45.19,46.13,22.1637,3372693,0.0,1.0
2000-02-14,46.0,47.13,45.0,47.06,22.6105,3634755,0.0,1.0
2000-02-15,46.88,46.88,45.44,46.38,22.2838,2931254,0.0,1.0
2000-02-16,45.69,46.44,45.25,46.31,22.2502,3760471,0.0,1.0
2000-02-17,45.81,46.63,45.25,45.88,22.0436,3883705,0.0,1.0
2000-02-18,45.19,45.44,43.38,43.38,20.8424,5795544,0.0,1.0
2000-02-22,44.38,44.88,43.5,44.06,21.1691,4673838,0.0,1.0
2000-02-23,44.19,44.25,43.0,43.0,20.6598,2420051,0.0,1.0
2000-02-24,43.0,43.25,41.19,42.5,20.4196,5534118,0.0,1.0
2000-02-25,42.38,44.25,42.25,42.94,20.631,5209102,0.0,1.0
2000-02-28,44.25,44.25,42.56,42.69,20.5109,5844621,0.0,1.0
2000-02-29,43.25,43.31,41.19,41.63,20.0016,4875302,0.0,1.0
2000-03-01,41.88,42.19,41.06,41.59,19.9824,6130681,0.0,1.0
2000-03-02,41.5,41.81,41.13,41.38,19.8815,3418396,0.0,1.0
2000-03-03,41.38,43.19,41.31,42.69,20.5109,5297008,0.0,1.0
2000-03-06,42.88,43.63,41.5,41.94,20.1506,4476894,0.0,1.0
2000-03-07,42.0,42.44,40.63,41.13,19.7614,4395417,0.0,1.0
2000-03-08,41.13,42.63,40.25,42.56,20.4484,4986887,0.0,1.0
2000-03-09,42.06,42.19,40.81,41.63,20.0016,3761171,0.0,1.0
2000-03-10,40.81,41.81,40.63,41.06,19.7278,3830490,0.0,1.0
2000-03-13,40.56,42.63,40.5,42.56,20.4484,3779758,0.0,1.0
2000-03-14,41.94,41.94,40.25,41.0,19.6989,6227435,0.0,1.0
2000-03-15,41.0,44.06,40.88,44.06,21.1691,9524825,0.0,1.0
2000-03-16,44.0,44.38,42.75,43.81,21.049,9314831,0.0,1.0
2000-03-17,44.44,46.0,44.25,44.63,21.443,7679376,0.0,1.0
2000-03-20,44.06,44.25,43.13,43.75,21.0202,4907320,0.0,1.0
2000-03-21,43.06,45.94,42.75,45.81,22.0099,5762699,0.0,1.0
2000-03-22,44.75,45.25,43.25,44.0,21.1403,5892043,0.0,1.0
2000-03-23,43.81,45.25,43.69,44.5,21.3805,7906174,0.0,1.0
2000-03-24,44.0,45.25,44.0,44.63,21.443,4064036,0.0,1.0
2000-03-27,44.19,45.06,43.94,44.19,21.2316,3644876,0.0,1.0
2000-03-28,43.88,44.75,43.69,44.5,21.3805,3293762,0.0,1.0
2000-03-29,44.69,45.75,44.69,44.81,21.5295,3824507,0.0,1.0
2000-03-30,45.75,46.63,45.19,46.63,22.4039,6263272,0.0,1.0
2000-03-31,46.56,46.69,45.69,45.94,22.0724,3244621,0.0,1.0
2000-04-03,46.75,48.0,46.75,47.0,22.5817,5916932,0.0,1.0
2000-04-04,48.75,49.81,46.69,49.06,23.5714,8764799,0.0,1.0
2000-04-05,48.69,49.63,48.0,49.31,23.6916,5010567,0.0,1.0
2000-04-06,49.88,50.31,49.63,49.94,23.9942,5195290,0.0,1.0
2000-04-07,50.19,50.38,48.13,48.38,23.2447,2851687,0.0,1.0
2000-04-10,49.75,52.0,49.5,51.06,24.5324,6476321,0.0,1.0
2000-04-11,50.69,52.81,50.63,51.94,24.9552,5240356,0.0,1.0
2000-04-12,52.94,54.69,52.81,53.63,25.7672,6503692,0.0,1.0
2000-04-13,53.75,54.94,52.5,54.44,26.1563,6497454,0.0,1.0
2000-04-14,55.0,56.0,50.25,52.25,25.1041,12108339,0.0,1.0
2000-04-17,53.88,57.25,52.0,57.06,27.4151,13683004,0.0,1.0
2000-04-18,56.0,56.13,54.38,55.38,26.608,6083641,0.0,1.0
2000-04-19,54.94,55.44,54.25,55.0,26.4254,4113686,0.0,1.0
2000-04-20,55.0,55.13,54.75,55.13,26.4878,4661044,0.0,1.0
2000-04-24,54.69,55.63,54.38,55.31,26.5743,3536155,0.0,1.0
2000-04-25,55.38,55.44,54.69,55.0,26.4254,3686824,0.0,1.0
2000-04-26,55.06,55.5,54.13,55.0,26.4254,4501591,0.0,1.0
2000-04-27,54.81,55.13,53.5,55.13,26.4878,5189052,0.0,1.0
2000-04-28,55.0,55.0,54.0,54.75,26.5493,3631636,0.508,1.0
2000-05-01,54.94,54.94,53.5,54.06,26.2148,3136028,0.0,1.0
2000-05-02,53.5,53.94,52.88,53.25,25.822,2866009,0.0,1.0
2000-05-03,53.0,53.38,52.19,53.06,25.7298,3874857,0.0,1.0
2000-05-04,52.75,53.25,52.38,52.63,25.5213,3778103,0.0,1.0
2000-05-05,52.5,54.0,52.44,52.88,25.6425,3468619,0.0,1.0
2000-05-08,52.75,53.88,52.63,53.56,25.9723,3067091,0.0,1.0
2000-05-09,53.56,54.0,52.94,53.06,25.7298,4832336,0.0,1.0
2000-05-10,53.25,53.69,51.56,52.25,25.337,4197136,0.0,1.0
2000-05-11,52.69,53.63,52.5,52.94,25.6716,2059516,0.0,1.0
2000-05-12,53.19,53.69,53.13,53.38,25.885,2684978,0.0,1.0
2000-05-15,53.31,53.31,51.75,52.38,25.4001,4155761,0.0,1.0
2000-05-16,52.94,53.75,52.63,53.19,25.7929,3484723,0.0,1.0
2000-05-17,52.81,52.81,52.0,52.38,25.4001,3204901,0.0,1.0
2000-05-18,53.19,53.81,52.81,53.63,26.0062,4467664,0.0,1.0
2000-05-19,52.94,54.63,52.94,53.44,25.9141,4034882,0.0,1.0
2000-05-22,52.88,52.94,50.94,51.25,24.8521,4833673,0.0,1.0
2000-05-23,51.25,51.38,50.44,51.38,24.9152,3546085,0.0,1.0
2000-05-24,51.5,52.88,51.44,51.94,25.1867,3424316,0.0,1.0
2000-05-25,51.81,51.81,50.0,50.69,24.5806,3218460,0.0,1.0
2000-05-26,50.81,51.0,47.75,48.19,23.3683,5863399,0.0,1.0
2000-05-30,48.94,49.25,48.0,49.06,23.7902,3520051,0.0,1.0
