,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,153.0,153.69,149.19,150.0,28.5707,7356600,0.0,1.0
2000-01-04,147.25,148.0,144.0,144.0,27.4278,7373800,0.0,1.0
2000-01-05,143.75,147.0,142.56,143.75,27.3802,9097600,0.0,1.0
2000-01-06,143.13,146.94,142.63,145.67,27.7459,6624400,0.0,1.0
2000-01-07,148.0,151.88,147.0,151.31,28.8202,6713800,0.0,1.0
2000-01-10,152.69,154.06,151.13,151.25,28.8088,5075500,0.0,1.0
2000-01-11,151.0,152.69,150.63,151.5,28.8564,5041000,0.0,1.0
2000-01-12,151.06,153.25,150.56,152.0,28.9516,6114100,0.0,1.0
2000-01-13,153.13,154.94,153.0,153.75,29.2849,4984500,0.0,1.0
2000-01-14,153.38,154.63,149.56,151.0,28.7611,6160100,0.0,1.0
2000-01-18,149.63,149.63,146.75,148.0,28.1897,6098900,0.0,1.0
2000-01-19,146.5,150.94,146.25,148.72,28.3269,4949900,0.0,1.0
2000-01-20,149.06,149.75,142.63,145.94,27.7974,10253000,0.0,1.0
2000-01-21,147.94,148.25,143.94,144.13,27.4526,8001800,0.0,1.0
2000-01-24,145.31,145.94,136.44,138.13,26.3098,9038700,0.0,1.0
2000-01-25,138.06,140.38,137.0,138.5,26.3803,8462500,0.0,1.0
2000-01-26,140.5,142.19,138.88,141.44,26.9402,5285600,0.0,1.0
2000-01-27,141.56,141.75,137.06,141.75,26.9993,6414500,0.0,1.0
2000-01-28,140.31,140.5,133.63,134.0,25.5231,9948900,0.0,1.0
2000-01-31,134.0,135.94,133.06,134.0,25.5231,7260900,0.0,1.0
2000-02-01,134.25,137.0,134.0,136.0,25.9041,9113000,0.0,1.0
2000-02-02,137.13,137.63,134.06,134.06,25.5346,7273400,0.0,1.0
2000-02-03,135.94,139.81,135.25,139.25,26.5231,6744000,0.0,1.0
2000-02-04,141.0,143.13,140.5,141.56,26.9631,6055700,0.0,1.0
2000-02-07,141.69,141.75,135.88,136.5,25.9993,6095000,0.0,1.0
2000-02-08,136.56,138.44,136.5,137.06,26.106,6231700,0.0,1.0
2000-02-09,137.0,137.69,134.06,134.06,25.5346,5341300,0.0,1.0
2000-02-10,134.56,136.94,133.13,135.44,25.7974,6389200,0.0,1.0
2000-02-11,135.06,137.31,133.56,133.75,25.4755,6850800,0.0,1.0
2000-02-14,133.75,135.94,133.56,134.38,25.5955,4847300,0.0,1.0
2000-02-15,134.0,139.0,133.94,137.5,26.1898,6274500,0.0,1.0
2000-02-16,136.63,136.94,134.38,135.66,25.8393,4843600,0.0,1.0
2000-02-17,134.88,135.63,130.0,131.0,24.9517,9639700,0.0,1.0
2000-02-18,131.0,131.94,124.94,125.12,23.8318,11775800,0.0,1.0
2000-02-22,126.25,130.0,125.06,129.63,24.6908,9077000,0.0,1.0
2000-02-23,130.0,132.94,128.38,130.5,24.8565,7318700,0.0,1.0
2000-02-24,130.31,132.94,126.06,131.0,24.9517,9206200,0.0,1.0
2000-02-25,129.5,130.94,125.69,126.12,24.0222,8889800,0.0,1.0
2000-02-28,126.0,132.25,126.0,129.44,24.6546,9014300,0.0,1.0
2000-02-29,130.63,134.0,130.13,132.38,25.2146,7525000,0.0,1.0
2000-03-01,133.5,133.88,130.75,131.38,25.0241,8896300,0.0,1.0
2000-03-02,131.38,136.13,130.88,135.25,25.7612,6628300,0.0,1.0
2000-03-03,137.25,140.5,137.06,139.38,26.5479,7921300,0.0,1.0
2000-03-06,139.5,139.5,134.63,137.44,26.2564,6166200,0.41,1.0
2000-03-07,137.38,137.38,129.63,129.94,24.8237,9876500,0.0,1.0
2000-03-08,130.25,132.44,129.06,130.31,24.8943,7971700,0.0,1.0
2000-03-09,130.31,132.0,127.19,129.0,24.6441,6301700,0.0,1.0
2000-03-10,130.88,134.06,130.0,131.69,25.158,6899900,0.0,1.0
2000-03-13,129.0,130.5,127.62,129.44,24.7281,6420300,0.0,1.0
2000-03-14,129.63,129.75,126.81,127.0,24.262,6356800,0.0,1.0
2000-03-15,126.87,134.69,126.25,133.56,25.5152,8637000,0.0,1.0
2000-03-16,133.69,139.44,133.5,139.0,26.5545,10001600,0.0,1.0
2000-03-17,138.13,141.44,137.19,139.88,26.7226,10621000,0.0,1.0
2000-03-20,139.88,141.75,137.63,140.94,26.9251,5198800,0.0,1.0
2000-03-21,138.75,151.44,138.06,150.5,28.7514,12381400,0.0,1.0
2000-03-22,150.5,151.94,148.63,150.88,28.824,7237200,0.0,1.0
2000-03-23,151.5,160.0,150.94,160.0,30.5663,10440400,0.0,1.0
2000-03-24,157.63,159.75,155.94,159.06,30.3867,7692300,0.0,1.0
2000-03-27,157.75,158.75,156.25,157.94,30.1728,5469200,0.0,1.0
2000-03-28,156.75,158.63,156.0,156.0,29.8021,7270700,0.0,1.0
2000-03-29,157.38,164.88,157.38,163.0,31.1394,13043700,0.0,1.0
2000-03-30,162.0,162.5,157.56,158.75,30.3275,8322300,0.0,1.0
2000-03-31,159.25,159.88,154.75,155.63,29.7315,7810400,0.0,1.0
2000-04-03,155.25,161.0,155.0,161.0,30.7573,6394100,0.0,1.0
2000-04-04,158.56,158.88,147.13,154.0,29.4201,11010000,0.0,1.0
2000-04-05,152.13,155.0,150.69,153.31,29.2882,7139600,0.0,1.0
2000-04-06,154.19,157.69,154.06,156.88,29.9703,4597100,0.0,1.0
2000-04-07,157.63,159.81,156.19,158.81,30.339,4442200,0.0,1.0
2000-04-10,159.38,161.0,157.88,159.44,30.4593,4744800,0.0,1.0
2000-04-11,158.31,163.88,157.63,161.63,30.8777,7000800,0.0,1.0
2000-04-12,162.63,163.25,156.0,156.75,29.9454,6481000,0.0,1.0
2000-04-13,157.38,157.44,150.0,150.5,28.7514,8499000,0.0,1.0
2000-04-14,148.0,150.13,143.06,145.75,27.844,10548500,0.0,1.0
2000-04-17,144.38,153.25,143.88,152.0,29.038,10650500,0.0,1.0
2000-04-18,152.81,157.94,151.94,156.5,29.8977,8479300,0.0,1.0
2000-04-19,156.06,156.81,154.13,155.5,29.7066,4716800,0.0,1.0
2000-04-20,156.06,158.5,155.5,158.5,30.2797,5685600,0.0,1.0
2000-04-24,157.0,163.94,156.31,162.06,30.9598,8004900,0.0,1.0
2000-04-25,162.25,166.31,160.88,166.0,31.7125,7618200,0.0,1.0
2000-04-26,166.13,167.94,161.31,163.25,31.1872,7111100,0.0,1.0
