,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,94.19,94.19,87.75,88.31,73.1085,1822600,0.0,1.0
2000-01-04,87.0,87.5,82.25,82.75,68.5055,1647700,0.0,1.0
2000-01-05,80.88,81.88,79.0,79.69,65.9723,1516600,0.0,1.0
2000-01-06,78.63,84.5,78.63,82.25,68.0916,1845100,0.0,1.0
2000-01-07,83.06,83.19,79.88,82.56,68.3483,1127400,0.0,1.0
2000-01-10,81.75,84.88,81.75,84.38,69.855,803100,0.0,1.0
2000-01-11,85.0,86.25,84.56,84.81,70.2109,808600,0.0,1.0
2000-01-12,84.13,86.0,83.38,84.38,69.855,916100,0.0,1.0
2000-01-13,85.13,85.13,82.88,84.5,69.9543,711000,0.0,1.0
2000-01-14,85.5,86.94,85.31,85.63,70.8898,607000,0.0,1.0
2000-01-18,85.0,89.13,84.75,86.88,71.9246,1095700,0.0,1.0
2000-01-19,86.88,89.38,86.75,87.56,72.4876,636900,0.0,1.0
2000-01-20,87.0,87.94,84.88,85.94,71.2458,621800,0.12,1.0
2000-01-21,86.19,86.19,84.56,85.69,71.0385,542500,0.0,1.0
2000-01-24,87.5,87.5,81.5,81.75,67.7722,712900,0.0,1.0
2000-01-25,83.0,84.19,82.38,83.88,69.538,749300,0.0,1.0
2000-01-26,84.13,88.5,84.13,88.25,73.1608,1086600,0.0,1.0
2000-01-27,88.25,89.94,87.63,89.0,73.7826,702000,0.0,1.0
2000-01-28,87.5,88.0,86.13,87.0,72.1245,776800,0.0,1.0
2000-01-31,87.0,91.69,86.5,91.63,75.9629,801800,0.0,1.0
2000-02-01,92.88,93.0,90.5,91.25,75.6479,813100,0.0,1.0
2000-02-02,90.75,91.63,88.63,91.13,75.5484,964700,0.0,1.0
2000-02-03,90.0,91.13,84.81,85.38,70.7815,2213300,0.0,1.0
2000-02-04,84.69,85.31,83.56,84.69,70.2095,1451700,0.0,1.0
2000-02-07,84.44,86.5,83.5,85.75,71.0883,929800,0.0,1.0
2000-02-08,85.75,89.63,85.75,89.44,74.1473,1024800,0.0,1.0
2000-02-09,89.44,89.44,86.56,86.75,71.9173,397100,0.0,1.0
2000-02-10,86.75,87.31,85.5,86.63,71.8178,503200,0.0,1.0
2000-02-11,86.44,88.75,85.0,85.13,70.5743,856900,0.0,1.0
2000-02-14,85.13,86.88,84.63,86.5,71.71,627800,0.0,1.0
2000-02-15,86.25,86.63,85.13,86.5,71.71,542400,0.0,1.0
2000-02-16,86.75,87.31,82.88,82.94,68.7587,720300,0.0,1.0
2000-02-17,84.75,84.75,81.13,82.13,68.0872,895500,0.0,1.0
2000-02-18,84.5,84.5,80.75,80.81,66.9929,925500,0.0,1.0
2000-02-22,81.25,82.38,80.69,81.56,67.6147,720100,0.0,1.0
2000-02-23,81.31,87.0,81.06,85.75,71.0883,702900,0.0,1.0
2000-02-24,85.81,89.94,85.5,89.63,74.3048,1199800,0.0,1.0
2000-02-25,89.44,94.0,88.25,89.25,73.9898,1333000,0.0,1.0
2000-02-28,89.25,89.25,87.0,88.0,72.9535,518000,0.0,1.0
2000-02-29,88.75,92.5,88.0,92.5,76.6841,1381200,0.0,1.0
2000-03-01,93.25,96.75,93.19,94.75,78.5494,1488900,0.0,1.0
2000-03-02,95.25,97.88,94.13,96.25,79.7929,1819200,0.0,1.0
2000-03-03,97.0,102.5,96.75,102.5,84.9743,2295900,0.0,1.0
2000-03-06,102.8,105.3,102.4,103.7,85.9691,1421000,0.0,1.0
2000-03-07,103.9,105.8,102.4,104.9,86.9639,1041300,0.0,1.0
2000-03-08,105.0,105.4,99.69,101.8,84.394,1041100,0.0,1.0
2000-03-09,101.8,108.2,101.3,107.2,88.8707,535500,0.0,1.0
2000-03-10,109.8,119.0,108.5,112.3,93.0987,2034400,0.0,1.0
2000-03-13,107.5,115.5,106.5,110.4,91.5235,1454200,0.0,1.0
2000-03-14,111.5,112.9,103.5,104.8,86.881,653100,0.0,1.0
2000-03-15,102.5,105.5,101.4,103.6,85.8862,700300,0.0,1.0
2000-03-16,103.9,105.0,99.25,103.3,85.6375,2024800,0.0,1.0
2000-03-17,104.1,117.4,103.3,116.5,96.5805,2099400,0.0,1.0
2000-03-20,117.6,123.0,112.6,113.4,94.0106,2254000,0.0,1.0
2000-03-21,111.0,119.8,106.5,118.3,98.0728,2692800,0.0,1.0
2000-03-22,114.9,117.9,114.8,117.1,97.078,1258900,0.0,1.0
2000-03-23,116.5,119.0,115.1,119.0,98.6531,1656900,0.0,1.0
2000-03-24,119.0,128.0,117.7,121.3,100.5598,1934400,0.0,1.0
2000-03-27,118.3,119.4,111.8,112.0,92.85,1315000,0.0,1.0
2000-03-28,109.5,115.5,108.5,113.3,93.9277,1649400,0.0,1.0
