,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,68.62,69.19,63.81,65.19,45.8886,12030800,0.0,1.0
2000-01-04,64.0,64.31,57.0,58.5,41.1794,8774500,0.0,1.0
2000-01-05,61.75,63.0,61.0,61.75,43.4671,6931400,0.0,1.0
2000-01-06,61.63,62.0,60.0,60.0,42.2352,6603400,0.0,1.0
2000-01-07,61.75,63.5,60.75,63.5,44.699,6201600,0.0,1.0
2000-01-10,62.0,63.56,62.0,63.19,44.4807,5453000,0.0,1.0
2000-01-11,63.44,63.63,61.25,61.56,43.3334,4371500,0.0,1.0
2000-01-12,61.56,62.06,60.69,61.06,42.9814,4599400,0.0,1.0
2000-01-13,62.13,62.5,61.5,62.13,43.7346,4538900,0.0,1.0
2000-01-14,62.38,62.44,61.19,61.94,43.6008,4578000,0.0,1.0
2000-01-18,61.25,61.25,60.13,60.5,42.5872,5322000,0.0,1.0
2000-01-19,60.13,62.44,60.13,61.88,43.5586,5176400,0.0,1.0
2000-01-20,61.56,61.75,59.88,60.81,42.8054,7213400,0.0,1.0
2000-01-21,61.5,61.5,59.44,60.0,42.2352,6682900,0.0,1.0
2000-01-24,60.94,60.94,56.69,58.0,40.8274,7339600,0.0,1.0
2000-01-25,57.0,57.13,54.88,56.13,39.5111,10252400,0.0,1.0
2000-01-26,55.94,57.69,55.06,57.38,40.391,8468400,0.0,1.0
2000-01-27,57.88,59.5,56.19,58.25,41.0034,6915900,0.0,1.0
2000-01-28,57.0,57.44,55.5,55.63,39.1591,7425100,0.0,1.0
2000-01-31,56.5,56.81,55.06,56.63,39.863,5958600,0.0,1.0
2000-02-01,56.94,62.0,56.81,62.0,43.6431,10950500,0.0,1.0
2000-02-02,61.0,61.5,59.63,60.75,42.7632,5862100,0.0,1.0
2000-02-03,60.5,60.63,59.0,60.5,42.5872,4008800,0.0,1.0
2000-02-04,61.0,61.5,60.31,61.12,43.0236,4063900,0.0,1.0
2000-02-07,61.0,61.0,59.0,59.0,41.5313,3796600,0.0,1.0
2000-02-08,59.75,61.44,59.56,61.0,42.9392,4501700,0.0,1.0
2000-02-09,61.31,61.31,58.75,58.75,41.3553,5289700,0.0,1.0
2000-02-10,59.0,59.94,58.38,59.56,41.9255,3644900,0.0,1.0
2000-02-11,59.5,60.5,59.19,60.06,42.2775,4647100,0.0,1.0
2000-02-14,59.5,60.5,59.44,60.31,42.4535,3173900,0.0,1.0
2000-02-15,60.06,60.19,59.06,59.75,42.0593,3531100,0.0,1.0
2000-02-16,58.75,59.38,55.75,57.25,40.2995,6829800,0.0,1.0
2000-02-17,57.25,57.44,53.56,54.5,38.3637,10785700,0.0,1.0
