,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,112.44,116.0,111.87,116.0,83.3807,10347700,0.0,1.0
2000-01-04,114.0,114.5,110.87,112.06,80.5487,8227800,0.0,1.0
2000-01-05,112.94,119.75,112.12,116.0,83.3807,12733200,0.0,1.0
2000-01-06,118.0,118.94,113.5,114.0,81.9431,7971900,0.0,1.0
2000-01-07,117.25,117.94,110.62,113.5,81.5837,11856700,0.0,1.0
2000-01-10,117.25,119.37,115.37,118.0,84.8183,8540500,0.0,1.0
2000-01-11,117.87,121.12,116.62,119.0,85.5371,7873300,0.0,1.0
2000-01-12,119.62,122.0,118.25,119.5,85.8965,6803800,0.0,1.0
2000-01-13,119.94,121.0,115.75,118.25,84.998,8489700,0.0,1.0
2000-01-14,120.94,123.31,117.5,119.62,85.9828,10956600,0.0,1.0
2000-01-18,119.69,119.75,115.0,115.75,83.201,7643900,0.0,1.0
2000-01-19,115.56,122.0,112.69,119.5,85.8965,8634500,0.0,1.0
2000-01-20,123.0,124.75,119.0,119.0,85.5371,17783400,0.0,1.0
2000-01-21,121.87,123.0,119.94,121.5,87.3341,7868700,0.0,1.0
2000-01-24,121.87,122.87,116.56,121.5,87.3341,6499200,0.0,1.0
2000-01-25,116.75,119.5,116.0,119.12,85.6234,6936900,0.0,1.0
2000-01-26,119.06,119.94,116.0,116.75,83.9198,4895100,0.0,1.0
2000-01-27,118.0,118.44,111.62,113.5,81.5837,8324600,0.0,1.0
2000-01-28,112.75,114.19,110.06,111.56,80.1893,6669400,0.0,1.0
2000-01-31,111.37,112.81,109.62,112.25,80.6852,6202700,0.0,1.0
2000-02-01,112.37,113.44,109.12,110.0,79.068,7304700,0.0,1.0
2000-02-02,112.0,115.81,110.37,113.5,81.5837,7707700,0.0,1.0
2000-02-03,115.0,117.5,114.06,117.12,84.1858,6213800,0.0,1.0
2000-02-04,118.19,118.44,114.81,115.62,83.1076,5405300,0.0,1.0
2000-02-07,116.0,116.87,113.12,114.12,82.0294,5779500,0.0,1.0
2000-02-08,116.94,119.0,116.19,118.81,85.4868,5464300,0.12,1.0
2000-02-09,119.0,119.75,117.0,117.37,84.4507,5374700,0.0,1.0
2000-02-10,117.69,119.12,116.87,119.12,85.7099,4446600,0.0,1.0
2000-02-11,119.06,119.44,114.56,115.37,83.0117,5749400,0.0,1.0
2000-02-14,116.0,116.37,114.5,116.06,83.5081,4544000,0.0,1.0
2000-02-15,115.87,117.44,113.87,117.12,84.2708,5177500,0.0,1.0
2000-02-16,116.5,117.31,115.25,115.75,83.2851,3966900,0.0,1.0
2000-02-17,116.5,118.87,115.75,116.75,84.0046,5237500,0.0,1.0
2000-02-18,115.25,115.94,111.5,112.5,80.9466,7673400,0.0,1.0
2000-02-22,112.0,113.44,108.75,111.0,79.8673,7654800,0.0,1.0
2000-02-23,110.5,110.5,108.5,108.75,78.2484,7435300,0.0,1.0
2000-02-24,108.81,111.0,108.19,110.5,79.5076,9112000,0.0,1.0
2000-02-25,109.87,109.87,104.94,108.0,77.7088,10312200,0.0,1.0
2000-02-28,104.62,106.5,103.94,104.5,75.1904,8479900,0.0,1.0
2000-02-29,105.56,105.56,100.94,102.75,73.9312,10484900,0.0,1.0
2000-03-01,102.0,105.5,100.06,100.25,72.1324,10807800,0.0,1.0
2000-03-02,100.5,105.44,99.5,103.12,74.1975,11192900,0.0,1.0
2000-03-03,107.25,110.0,106.06,108.0,77.7088,10162800,0.0,1.0
2000-03-06,109.94,111.0,101.0,103.06,74.1543,10747400,0.0,1.0
2000-03-07,106.0,107.0,101.69,103.0,74.1111,10035100,0.0,1.0
2000-03-08,103.0,106.87,102.75,106.25,76.4496,8376400,0.0,1.0
2000-03-09,106.5,108.0,104.12,108.0,77.7088,6334100,0.0,1.0
2000-03-10,107.62,109.0,105.0,105.25,75.7301,7093200,0.0,1.0
2000-03-13,104.0,109.0,102.5,107.69,77.4857,7871000,0.0,1.0
2000-03-14,107.75,110.0,107.37,108.62,78.1549,7973700,0.0,1.0
2000-03-15,107.5,108.25,106.12,107.0,76.9892,5665900,0.0,1.0
2000-03-16,109.0,109.81,107.87,109.0,78.4283,6622500,0.0,1.0
2000-03-17,108.25,111.69,107.69,110.0,79.1478,8857300,0.0,1.0
2000-03-20,110.0,113.37,109.94,112.75,81.1265,6563500,0.0,1.0
2000-03-21,112.81,114.69,111.94,113.5,81.6661,6771600,0.0,1.0
