,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,74.75,75.38,72.12,72.87,27.419,8012800,0.0,1.0
2000-01-04,70.62,71.19,69.19,70.88,26.8245,7815600,0.41,1.0
2000-01-05,70.25,72.56,69.0,70.44,26.658,5809667,0.0,1.0
2000-01-06,70.12,72.94,69.75,71.44,27.0364,5579467,0.0,1.0
2000-01-07,72.63,73.5,71.0,72.75,27.5322,4381267,0.0,1.0
2000-01-10,72.75,73.38,71.5,71.5,27.0591,3149000,0.0,1.0
2000-01-11,70.0,70.44,68.25,69.81,26.4196,5603667,0.0,1.0
2000-01-12,69.69,70.88,69.5,70.25,26.5861,4847867,0.0,1.0
2000-01-13,71.13,72.5,70.56,71.31,26.9872,4612600,0.0,1.0
2000-01-14,73.94,75.75,72.81,73.88,27.9599,6487867,0.0,1.0
2000-01-18,73.94,74.5,70.25,71.0,26.8699,3531067,0.0,1.0
2000-01-19,72.25,75.38,72.25,74.13,28.0545,10489800,0.0,1.0
2000-01-20,75.38,76.0,72.75,74.06,28.028,5180200,0.0,1.0
2000-01-21,73.88,74.0,72.63,72.94,27.6041,3440400,0.0,1.0
2000-01-24,74.37,74.56,72.19,73.0,27.6268,4306067,0.0,1.0
2000-01-25,73.0,75.75,73.0,74.62,28.2399,5053267,0.0,1.0
2000-01-26,75.38,79.0,75.0,78.44,29.6856,5591067,0.0,1.0
2000-01-27,79.44,81.5,78.56,80.69,30.5371,5443867,0.0,1.0
2000-01-28,79.56,79.56,76.62,76.69,29.0233,5000000,0.0,1.0
2000-01-31,76.81,81.5,76.81,80.69,30.5371,4773467,0.0,1.0
2000-02-01,82.44,84.5,81.31,83.75,31.6952,6434000,0.0,1.0
2000-02-02,83.0,84.19,81.38,82.38,31.1767,4750800,0.0,1.0
2000-02-03,83.5,84.87,80.25,83.19,31.4832,6133467,0.0,1.0
2000-02-04,82.5,83.31,81.56,81.75,30.9383,3410067,0.0,1.0
2000-02-07,82.19,83.37,81.75,82.19,31.1048,3122800,0.0,1.0
2000-02-08,84.06,86.13,84.0,85.06,32.1909,4212400,0.0,1.0
2000-02-09,84.94,86.37,82.44,82.88,31.3659,6545667,0.0,1.0
2000-02-10,83.13,83.75,81.38,83.13,31.4605,4587000,0.0,1.0
2000-02-11,83.25,85.0,82.0,82.62,31.2675,4701667,0.0,1.0
2000-02-14,82.25,83.44,79.06,79.06,29.9202,3936467,0.0,1.0
2000-02-15,80.06,82.5,79.62,81.06,30.6771,5977000,0.0,1.0
2000-02-16,81.0,82.19,79.0,79.5,30.0867,3219800,0.0,1.0
2000-02-17,80.62,81.5,77.81,78.38,29.6629,3810800,0.0,1.0
2000-02-18,78.06,78.56,74.56,74.75,28.2891,5414200,0.0,1.0
2000-02-22,76.0,78.87,75.12,77.25,29.2352,4712400,0.0,1.0
2000-02-23,77.37,79.19,76.56,77.37,29.2806,2968600,0.0,1.0
2000-02-24,77.25,77.56,74.62,76.0,28.7622,3466600,0.0,1.0
2000-02-25,76.62,78.75,74.88,75.87,28.713,3096200,0.0,1.0
2000-02-28,76.75,80.25,76.38,77.94,29.4964,4034000,0.0,1.0
2000-02-29,77.69,81.0,77.69,79.62,30.1322,4111267,0.0,1.0
