,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,57.31,58.0,55.25,56.25,17.419,5498500,0.0,1.0
2000-01-04,55.75,56.81,55.63,56.44,17.4778,3654000,0.0,1.0
2000-01-05,56.44,57.44,56.06,57.06,17.6698,4728700,0.0,1.0
2000-01-06,57.06,57.69,56.56,57.0,17.6512,3564600,0.0,1.0
2000-01-07,58.5,60.75,57.88,60.75,18.8125,5737000,0.0,1.0
2000-01-10,60.5,60.94,58.75,58.81,18.2117,4361900,0.0,1.0
2000-01-11,60.94,61.25,60.13,60.81,18.8311,4699000,0.0,1.0
2000-01-12,60.81,61.81,60.44,61.5,19.0448,4194900,0.0,1.0
2000-01-13,61.44,61.44,60.44,60.56,18.7537,3053000,0.0,1.0
2000-01-14,61.94,61.94,60.69,61.06,18.9085,3756600,0.0,1.0
2000-01-18,61.31,65.0,61.06,65.0,20.1286,9175400,0.0,1.0
2000-01-19,65.0,65.25,63.75,65.25,20.206,6406700,0.0,1.0
2000-01-20,65.31,65.94,65.13,65.88,20.4011,5769900,0.0,1.0
2000-01-21,66.75,66.88,65.75,66.88,20.7108,5692900,0.0,1.0
2000-01-24,66.0,66.75,63.56,64.88,20.0915,5653000,0.0,1.0
2000-01-25,64.0,66.06,62.88,65.88,20.4011,4859300,0.0,1.0
2000-01-26,64.25,65.5,62.75,63.06,19.5278,11861900,0.0,1.0
2000-01-27,62.63,62.69,58.44,59.5,18.4254,8775400,0.0,1.0
2000-01-28,59.44,59.56,56.94,56.94,17.6327,5437600,0.0,1.0
2000-01-31,57.06,58.75,56.56,57.44,17.7875,5367300,0.0,1.0
2000-02-01,57.75,58.38,56.31,58.13,18.0012,4057300,0.0,1.0
2000-02-02,57.56,57.88,56.38,56.38,17.4592,3582000,0.0,1.0
2000-02-03,56.5,56.75,55.06,55.25,17.1093,4732200,0.0,1.0
2000-02-04,55.25,57.75,55.25,56.25,17.419,5750900,0.0,1.0
