,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,39.94,40.06,39.5,39.63,24.8532,4520600,0.0,1.0
2000-01-04,39.31,39.56,38.38,38.81,24.339,4216500,0.0,1.0
2000-01-05,38.81,40.38,38.81,39.63,24.8532,5231600,0.0,1.0
2000-01-06,39.13,39.38,38.69,38.88,24.3829,4809400,0.0,1.0
2000-01-07,39.0,40.0,38.88,39.88,25.01,5124700,0.0,1.0
2000-01-10,40.0,41.0,39.75,40.06,25.1229,4113900,0.0,1.0
2000-01-11,40.13,41.5,40.13,41.0,25.7124,5440200,0.0,1.0
2000-01-12,40.94,43.06,40.63,42.75,26.8099,8090000,0.0,1.0
2000-01-13,42.69,43.63,41.88,42.31,26.5339,5700200,0.0,1.0
2000-01-14,42.81,42.81,41.88,42.61,26.7221,3365400,0.0,1.0
2000-01-18,42.38,42.5,41.19,41.5,26.0259,3401100,0.0,1.0
2000-01-19,41.0,42.63,41.0,42.38,26.5778,3344700,0.0,1.0
2000-01-20,42.56,42.56,41.0,42.56,26.6907,3309700,0.0,1.0
2000-01-21,41.63,41.88,40.44,41.06,25.75,3722600,0.0,1.0
2000-01-24,41.25,41.44,39.5,39.5,24.7717,3593500,0.0,1.0
2000-01-25,39.75,40.25,39.19,39.81,24.9661,3304500,0.0,1.0
2000-01-26,39.63,39.63,34.69,35.75,22.4199,16703200,0.0,1.0
2000-01-27,36.0,37.94,35.88,37.63,23.599,12082200,0.0,1.0
2000-01-28,37.13,37.44,36.38,36.75,23.0471,4444200,0.0,1.0
2000-01-31,37.25,38.0,37.13,37.38,23.4422,4838300,0.0,1.0
2000-02-01,37.44,37.56,36.5,36.63,22.9718,4679500,0.0,1.0
2000-02-02,36.63,36.75,35.38,35.5,22.2632,5769100,0.0,1.0
2000-02-03,35.56,36.19,34.44,35.0,21.9496,9225700,0.0,1.0
2000-02-04,35.88,35.88,34.62,35.12,22.0249,7752200,0.0,1.0
2000-02-07,35.25,35.63,34.0,34.94,21.912,9992900,0.0,1.0
2000-02-08,36.0,37.63,35.5,36.31,22.7711,12144800,0.0,1.0
2000-02-09,36.69,36.69,35.38,35.88,22.5015,5915400,0.0,1.0
2000-02-10,35.5,36.25,35.13,35.5,22.2632,5353400,0.0,1.0
2000-02-11,35.06,35.44,34.81,34.94,21.912,3920500,0.0,1.0
2000-02-14,35.31,35.31,33.31,33.88,21.2472,4426400,0.0,1.0
2000-02-15,33.75,34.13,33.44,33.75,21.1657,4669200,0.0,1.0
2000-02-16,33.75,34.44,33.25,33.38,20.9336,3804900,0.0,1.0
2000-02-17,33.56,34.06,33.38,33.75,21.1657,4272000,0.0,1.0
2000-02-18,33.56,33.69,32.31,32.5,20.3818,5494900,0.0,1.0
2000-02-22,32.25,33.19,32.19,32.31,20.2626,4479500,0.0,1.0
2000-02-23,32.44,33.38,32.38,32.63,20.4633,4927400,0.0,1.0
2000-02-24,32.13,32.38,31.0,31.38,19.6794,6154300,0.0,1.0
2000-02-25,31.5,31.81,30.75,31.0,19.4411,4551200,0.0,1.0
2000-02-28,31.25,31.69,30.63,31.13,19.5226,3880600,0.0,1.0
2000-02-29,31.75,32.44,31.56,31.75,19.9114,4883900,0.0,1.0
2000-03-01,31.88,31.94,31.13,31.25,19.5979,4969800,0.0,1.0
2000-03-02,31.13,31.44,30.75,30.88,19.3658,4884600,0.0,1.0
2000-03-03,31.0,32.31,30.56,32.31,20.2626,5193900,0.0,1.0
2000-03-06,32.5,32.5,31.13,31.56,19.7923,4175100,0.0,1.0
2000-03-07,31.5,31.56,29.81,29.88,18.7387,6183300,0.0,1.0
2000-03-08,30.38,31.25,30.0,30.75,19.2843,4015900,0.0,1.0
2000-03-09,30.63,32.0,30.0,32.0,20.0682,4779200,0.0,1.0
2000-03-10,31.44,32.38,31.0,31.75,19.9114,4819200,0.0,1.0
2000-03-13,32.0,32.44,31.31,32.44,20.3441,5659700,0.0,1.0
2000-03-14,32.44,32.5,30.06,30.5,19.1275,5235700,0.0,1.0
2000-03-15,30.69,32.88,30.44,32.5,20.3818,7044600,0.0,1.0
2000-03-16,33.38,34.38,32.75,34.06,21.3601,8241900,0.0,1.0
2000-03-17,35.0,35.19,33.75,33.81,21.2033,5463000,0.0,1.0
2000-03-20,34.25,34.88,34.13,34.56,21.6737,2736000,0.0,1.0
2000-03-21,34.75,35.5,34.5,35.25,22.1064,4239900,0.0,1.0
2000-03-22,35.25,35.75,35.0,35.25,22.1064,3754000,0.0,1.0
2000-03-23,34.0,35.94,33.94,35.19,22.0688,4034900,0.0,1.0
2000-03-24,35.12,35.94,34.69,34.81,21.8304,3188100,0.0,1.0
2000-03-27,34.19,35.19,34.13,34.75,21.7928,2189900,0.0,1.0
2000-03-28,34.0,35.38,34.0,35.13,22.0311,2963500,0.0,1.0
2000-03-29,34.88,37.06,34.81,36.81,23.0847,5292800,0.0,1.0
2000-03-30,36.81,38.25,36.81,37.63,23.599,4939100,0.0,1.0
2000-03-31,37.88,37.94,36.81,37.38,23.4422,3738300,0.0,1.0
2000-04-03,37.81,38.63,37.56,38.5,24.1446,4459400,0.0,1.0
2000-04-04,38.69,39.31,37.69,38.53,24.1634,5145500,0.0,1.0
2000-04-05,38.0,38.63,37.25,38.56,24.1822,4143600,0.0,1.0
2000-04-06,37.75,38.06,36.88,37.0,23.2039,4124100,0.0,1.0
2000-04-07,36.38,37.31,36.13,37.0,23.2039,3155400,0.0,1.0
2000-04-10,36.88,36.94,35.88,36.38,22.815,3234600,0.0,1.0
2000-04-11,36.13,37.75,35.88,37.69,23.6366,3354100,0.0,1.0
2000-04-12,37.25,38.19,36.31,36.31,22.7711,4548200,0.0,1.0
