,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,96.06,96.44,94.06,94.38,30.4583,1086700,0.0,1.0
2000-01-04,92.88,94.81,90.63,90.63,29.2481,1356900,0.0,1.0
2000-01-05,91.13,95.31,91.13,95.25,30.739,1849700,0.0,1.0
2000-01-06,94.31,102.5,94.31,100.8,32.5301,2987900,0.0,1.0
2000-01-07,101.1,103.8,99.94,102.8,33.1756,2050600,0.0,1.0
2000-01-10,100.4,103.5,100.0,102.3,33.0142,1931900,0.0,1.0
2000-01-11,100.8,102.5,100.5,100.5,32.4333,1178800,0.0,1.0
2000-01-12,101.9,103.6,100.8,100.8,32.5301,1434200,0.0,1.0
2000-01-13,101.3,101.9,100.4,100.8,32.5301,1122200,0.0,1.0
2000-01-14,100.8,100.9,98.94,99.31,32.0493,1270900,0.0,1.0
2000-01-18,97.25,99.25,97.13,97.13,31.3457,1057400,0.0,1.0
2000-01-19,97.75,99.94,97.75,98.81,31.8879,1314100,0.0,1.0
2000-01-20,99.06,99.38,94.5,95.13,30.7003,1552300,0.0,1.0
2000-01-21,95.25,96.56,94.56,94.94,30.639,2245900,0.0,1.0
2000-01-24,95.81,95.81,91.63,92.75,29.9322,1485500,0.0,1.0
2000-01-25,94.88,94.88,90.25,91.38,29.4901,1845600,0.0,1.0
2000-01-26,95.88,97.5,95.31,96.31,31.0811,3510400,0.0,1.0
2000-01-27,97.19,98.31,96.06,96.25,31.0618,1457400,0.0,1.0
2000-01-28,95.75,95.81,92.25,92.25,29.7709,1873700,0.0,1.0
2000-01-31,92.25,97.38,92.06,93.63,30.2162,1641400,0.0,1.0
2000-02-01,94.38,96.19,93.75,94.13,30.3776,1321100,0.0,1.0
2000-02-02,93.19,94.0,92.0,92.5,29.8516,1462100,0.0,1.0
2000-02-03,91.94,92.13,90.0,91.69,29.5902,1760300,0.0,1.0
2000-02-04,91.94,92.44,89.06,89.06,28.7414,1646700,0.0,1.0
2000-02-07,89.25,89.38,86.63,87.63,28.2799,1967700,0.0,1.0
2000-02-08,87.63,90.19,87.44,87.69,28.2993,1442000,0.0,1.0
2000-02-09,88.63,89.0,87.5,87.63,28.2799,1300200,0.0,1.0
2000-02-10,87.25,87.25,85.31,86.0,27.7539,2010000,0.0,1.0
2000-02-11,85.38,86.5,81.31,82.94,26.7664,2245800,0.0,1.0
2000-02-14,83.25,84.75,82.38,82.88,26.747,1678200,0.0,1.0
2000-02-15,83.75,90.56,83.5,89.13,28.764,1868000,0.0,1.0
2000-02-16,88.38,90.38,87.56,88.31,28.4994,1290900,0.0,1.0
2000-02-17,89.0,91.88,88.94,89.63,28.9254,1702700,0.0,1.0
2000-02-18,89.88,90.69,86.38,87.56,28.2573,1432100,0.0,1.0
2000-02-22,87.75,90.44,86.5,90.13,29.0867,1442300,0.0,1.0
2000-02-23,91.38,93.94,90.81,92.31,29.9774,2230400,0.58,1.0
2000-02-24,91.88,92.13,89.56,91.0,29.552,1900100,0.0,1.0
2000-02-25,88.13,89.31,85.19,85.75,27.8471,1813600,0.0,1.0
2000-02-28,86.94,88.88,85.0,86.44,28.0712,1538300,0.0,1.0
2000-02-29,85.31,89.19,84.63,88.19,28.6395,1382700,0.0,1.0
2000-03-01,87.19,87.75,85.06,86.13,27.9705,1445800,0.0,1.0
2000-03-02,86.13,87.75,85.69,86.06,27.9477,1093000,0.0,1.0
2000-03-03,87.75,94.63,87.5,89.5,29.0649,2290500,0.0,1.0
2000-03-06,89.31,91.25,87.25,87.25,28.3342,1026300,0.0,1.0
2000-03-07,88.25,88.88,82.0,82.75,26.8728,2597800,0.0,1.0
2000-03-08,82.88,84.25,81.0,82.56,26.8111,2346600,0.0,1.0
2000-03-09,80.81,81.94,80.5,80.94,26.285,1629100,0.0,1.0
2000-03-10,80.63,82.69,80.38,81.5,26.4669,2875800,0.0,1.0
2000-03-13,79.0,80.5,78.75,79.0,25.655,1893900,0.0,1.0
2000-03-14,79.19,80.0,78.56,79.13,25.6972,1578300,0.0,1.0
