,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,68.63,68.63,67.5,67.63,33.621,5978800,0.0,1.0
2000-01-04,67.0,67.81,64.75,65.25,32.4378,7533100,0.0,1.0
2000-01-05,65.06,68.88,65.06,68.25,33.9292,7598300,0.0,1.0
2000-01-06,67.81,69.19,67.69,68.38,33.9938,4760500,0.0,1.0
2000-01-07,69.81,75.25,69.63,74.94,37.255,10373300,0.0,1.0
2000-01-10,74.75,74.81,72.13,72.75,36.1663,5726800,0.0,1.0
2000-01-11,72.06,73.69,71.38,72.81,36.1961,5023300,0.0,1.0
2000-01-12,73.63,75.19,73.44,74.44,37.0064,4990400,0.0,1.0
2000-01-13,74.81,76.13,73.81,74.75,37.1605,5353500,0.0,1.0
2000-01-14,75.25,75.94,72.69,74.13,36.8523,5540200,0.0,1.0
2000-01-18,73.13,73.56,70.56,70.81,35.2018,5299700,0.0,1.0
2000-01-19,71.75,72.69,71.25,71.5,35.5448,4761600,0.0,1.0
2000-01-20,71.94,73.19,71.44,72.94,36.2607,4986300,0.0,1.0
2000-01-21,74.5,74.5,71.56,72.44,36.0122,7928900,0.0,1.0
2000-01-24,73.0,73.0,69.06,70.25,34.9234,5189100,0.0,1.0
2000-01-25,71.13,72.0,70.63,70.88,35.2366,5446100,0.0,1.0
2000-01-26,71.0,73.0,70.63,72.81,36.1961,5357500,0.0,1.0
2000-01-27,73.13,75.44,73.0,74.13,36.8523,7747200,0.0,1.0
2000-01-28,75.5,78.44,75.25,76.38,37.9708,9823000,0.0,1.0
2000-01-31,75.69,79.0,74.56,78.63,39.0894,8006300,0.0,1.0
2000-02-01,77.38,77.94,75.5,76.81,38.1846,5026400,0.0,1.0
2000-02-02,77.31,78.38,75.94,76.88,38.2194,4642700,0.0,1.0
2000-02-03,76.31,76.69,75.38,76.25,37.9062,3874000,0.0,1.0
2000-02-04,76.88,76.88,74.94,75.06,37.3146,4262100,0.0,1.0
2000-02-07,74.25,75.44,73.75,75.25,37.4091,4170200,0.0,1.0
2000-02-08,75.5,75.88,75.06,75.44,37.5035,3939200,0.0,1.0
2000-02-09,74.13,74.19,70.88,71.38,35.4852,6927300,0.0,1.0
2000-02-10,70.0,70.25,68.0,69.0,34.302,7019500,0.0,1.0
2000-02-11,67.63,68.13,64.31,65.25,32.4378,9213400,0.0,1.0
2000-02-14,65.5,66.44,64.0,66.06,32.8405,8933100,0.0,1.0
2000-02-15,65.75,66.63,65.13,65.63,32.6267,6377100,0.0,1.0
2000-02-16,65.5,67.19,65.25,65.5,32.5621,5137400,0.0,1.0
2000-02-17,66.38,66.69,63.13,63.25,31.4435,6936900,0.0,1.0
2000-02-18,63.44,64.38,61.56,62.0,30.8221,6617100,0.0,1.0
2000-02-22,62.5,65.5,61.81,65.5,32.5621,9199400,0.0,1.0
2000-02-23,66.0,66.0,63.13,63.13,31.3839,7728500,0.0,1.0
2000-02-24,63.31,63.31,60.69,62.0,30.8221,9066800,0.0,1.0
2000-02-25,61.06,61.5,59.19,60.19,29.9223,7701300,0.0,1.0
