,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,117.37,118.62,112.0,116.56,38.4516,26614200,0.0,1.0
2000-01-04,113.56,117.12,112.25,112.62,37.1519,27059500,0.0,1.0
2000-01-05,111.12,116.37,109.37,113.81,37.5445,32029800,0.0,1.0
2000-01-06,112.19,113.87,108.37,110.0,36.2876,27488300,0.0,1.0
2000-01-07,108.62,112.25,107.31,111.44,36.7626,31006800,0.0,1.0
2000-01-10,113.44,113.69,111.37,112.25,37.0298,22481800,0.0,1.0
2000-01-11,111.5,114.25,108.69,109.37,36.0798,23371800,0.0,1.0
2000-01-12,108.5,108.87,104.44,105.81,34.9054,33266200,0.0,1.0
2000-01-13,104.37,108.62,101.5,107.81,35.5651,41572000,0.0,1.0
2000-01-14,107.19,113.94,105.75,112.25,37.0298,36708200,0.0,1.0
2000-01-18,111.81,116.5,111.75,115.31,38.0393,40741800,0.0,1.0
2000-01-19,110.5,111.5,106.0,107.0,35.2979,48784100,0.0,1.0
2000-01-20,107.06,109.69,105.87,106.0,34.968,28174900,0.0,1.0
2000-01-21,107.0,107.25,103.25,103.75,34.2258,34208100,0.0,1.0
2000-01-24,103.8,105.69,100.81,101.25,33.4011,31798800,0.0,1.0
2000-01-25,101.0,103.87,99.56,102.81,33.9157,29911600,0.0,1.0
2000-01-26,102.44,103.5,99.12,99.37,32.7809,24682500,0.0,1.0
2000-01-27,99.89,101.19,97.25,98.75,32.5764,31827400,0.0,1.0
2000-01-28,98.12,100.25,97.25,98.25,32.4114,29112700,0.0,1.0
2000-01-31,97.62,98.19,94.87,97.87,32.2861,36597100,0.0,1.0
2000-02-01,98.5,103.25,97.69,102.94,33.9586,35098300,0.0,1.0
2000-02-02,102.44,103.94,100.5,100.81,33.2559,24957800,0.0,1.0
2000-02-03,102.06,104.19,100.12,103.62,34.1829,24593000,0.0,1.0
2000-02-04,104.37,108.0,104.14,106.56,35.1528,27682700,0.0,1.0
2000-02-07,106.81,106.87,104.25,106.62,35.1726,20002900,0.0,1.0
2000-02-08,106.44,110.0,106.44,109.94,36.2678,28114500,0.0,1.0
2000-02-09,109.44,109.44,103.87,104.0,34.3083,27545000,0.0,1.0
2000-02-10,103.89,106.56,102.5,106.0,34.968,27263900,0.0,1.0
2000-02-11,104.87,104.87,99.12,99.94,32.9689,57779500,0.0,1.0
2000-02-14,101.23,101.75,99.06,99.62,32.8634,40514300,0.0,1.0
2000-02-15,99.75,100.0,98.12,98.56,32.5137,35513800,0.0,1.0
2000-02-16,99.25,100.19,97.12,97.62,32.2036,32601300,0.0,1.0
2000-02-17,98.5,99.69,97.14,99.62,32.8634,40171700,0.0,1.0
2000-02-18,100.0,100.06,94.87,95.06,31.3591,39531500,0.0,1.0
2000-02-22,95.12,97.12,92.81,93.81,30.9467,33148100,0.0,1.0
2000-02-23,93.5,95.75,92.06,94.25,31.0919,37923600,0.0,1.0
