,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,107.8,107.9,107.1,107.2,33.0716,2137500,0.0,1.0
2000-01-04,106.4,108.4,103.8,105.1,32.4238,2135400,0.0,1.0
2000-01-05,104.9,105.4,103.0,104.2,32.1461,2549200,0.0,1.0
2000-01-06,105.1,109.4,105.1,107.9,33.2876,3262100,0.0,1.0
2000-01-07,109.6,117.0,109.2,116.5,35.9407,4916000,0.0,1.0
2000-01-10,115.8,117.3,114.4,115.9,35.7556,3431000,0.0,1.0
2000-01-11,115.4,117.8,114.4,117.8,36.3418,2210900,0.0,1.0
2000-01-12,116.6,118.4,116.1,117.0,36.095,3115800,0.0,1.0
2000-01-13,116.9,117.0,114.6,115.0,35.4779,2642600,0.0,1.0
2000-01-14,115.5,117.0,115.4,117.0,36.095,2452200,0.0,1.0
2000-01-18,116.9,118.0,116.1,116.9,36.0641,2228400,0.0,1.0
2000-01-19,114.0,116.0,113.6,115.4,35.7001,2776700,0.32,1.0
2000-01-20,114.0,114.3,107.6,112.6,34.8339,5115900,0.0,1.0
2000-01-21,112.6,112.6,99.5,102.7,31.7712,12189400,0.0,1.0
2000-01-24,96.0,108.88,94.81,96.0,29.6985,14277300,0.0,1.0
2000-01-25,103.6,103.7,97.0,97.5,30.1625,8548900,0.0,1.0
2000-01-26,99.0,100.8,98.81,100.6,31.1216,5121600,0.0,1.0
2000-01-27,102.0,104.4,101.2,104.1,32.2043,4494500,0.0,1.0
2000-01-28,103.7,103.7,99.38,100.3,31.0287,4791700,0.0,1.0
2000-01-31,100.3,101.1,98.38,101.1,31.2762,2259100,0.0,1.0
2000-02-01,100.7,100.9,98.75,99.5,30.7813,2022100,0.0,1.0
2000-02-02,99.75,99.94,98.38,98.63,30.5121,1960400,0.0,1.0
2000-02-03,99.81,99.81,96.69,97.81,30.2584,3129800,0.0,1.0
2000-02-04,97.63,97.69,94.0,94.75,29.3118,3823900,0.0,1.0
2000-02-07,94.0,94.81,92.56,93.25,28.8478,3232200,0.0,1.0
2000-02-08,94.0,95.88,92.81,95.75,29.6212,3393900,0.0,1.0
2000-02-09,95.25,95.88,93.75,94.0,29.0798,3127900,0.0,1.0
2000-02-10,93.75,94.69,90.06,91.44,28.2878,2633900,0.0,1.0
2000-02-11,91.31,93.94,91.31,93.75,29.0024,2667500,0.0,1.0
2000-02-14,93.69,93.81,91.0,91.88,28.4239,2626100,0.0,1.0
2000-02-15,92.5,95.81,92.13,95.75,29.6212,3432000,0.0,1.0
2000-02-16,95.81,96.25,93.0,94.05,29.0952,2657300,0.0,1.0
2000-02-17,94.0,95.0,93.0,94.19,29.1386,2341200,0.0,1.0
2000-02-18,93.81,94.44,92.0,93.63,28.9653,2325800,0.0,1.0
2000-02-22,92.31,93.44,90.06,92.88,28.7333,2613400,0.0,1.0
2000-02-23,92.88,92.88,90.13,90.63,28.0372,2678500,0.0,1.0
2000-02-24,90.38,90.88,86.56,88.5,27.3783,3611600,0.0,1.0
2000-02-25,88.75,89.0,85.13,85.13,26.3358,3588600,0.0,1.0
2000-02-28,85.81,90.0,85.0,88.38,27.3412,3540800,0.0,1.0
2000-02-29,89.5,89.88,87.25,87.88,27.1865,3330900,0.0,1.0
2000-03-01,88.0,88.69,86.88,88.25,27.301,2076800,0.0,1.0
2000-03-02,88.0,88.44,86.69,87.31,27.0102,1782900,0.0,1.0
2000-03-03,87.81,89.81,87.0,88.44,27.3597,2451100,0.0,1.0
2000-03-06,88.38,88.44,86.63,87.44,27.0504,1834300,0.0,1.0
