,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,33.25,33.25,33.0,33.0,20.5256,336400,0.0,1.0
2000-01-04,32.5,33.0,32.19,32.56,20.252,494400,0.0,1.0
2000-01-05,32.56,33.31,32.56,32.88,20.451,736000,0.0,1.0
2000-01-06,32.31,33.38,31.81,32.94,20.4883,660400,0.0,1.0
2000-01-07,33.44,34.75,33.31,34.25,21.3031,594700,0.0,1.0
2000-01-10,34.75,34.75,33.13,33.63,20.9175,389900,0.0,1.0
2000-01-11,33.38,33.75,32.88,33.25,20.6811,812900,0.0,1.0
2000-01-12,33.0,33.63,32.75,33.31,20.7185,561500,0.0,1.0
2000-01-13,33.31,34.19,33.31,34.0,21.1476,589600,0.0,1.0
2000-01-14,33.94,34.69,33.63,34.0,21.1476,599300,0.0,1.0
2000-01-18,33.75,33.75,32.5,32.75,20.3701,945900,0.0,1.0
2000-01-19,32.5,33.25,32.38,32.81,20.4075,988100,0.0,1.0
2000-01-20,32.75,32.81,32.25,32.63,20.2955,943400,0.0,1.0
2000-01-21,32.0,32.06,31.0,31.5,19.5927,1000300,0.0,1.0
2000-01-24,31.63,32.44,31.31,32.13,19.9845,586500,0.0,1.0
2000-01-25,32.13,32.81,31.25,31.38,19.518,609700,0.0,1.0
2000-01-26,31.44,32.44,31.19,32.38,20.14,503300,0.0,1.0
2000-01-27,32.0,32.38,29.81,30.56,19.008,1316500,0.0,1.0
2000-01-28,30.06,30.19,29.31,30.0,18.6597,814900,0.0,1.0
2000-01-31,29.81,30.19,29.13,30.19,18.7779,612200,0.0,1.0
2000-02-01,30.0,30.0,27.5,29.31,18.2305,1023000,0.0,1.0
2000-02-02,29.38,29.38,27.5,27.88,17.3411,1416900,0.0,1.0
2000-02-03,27.88,27.88,26.38,26.63,16.5636,1374600,0.0,1.0
2000-02-04,26.75,27.19,25.75,26.75,16.6382,1507200,0.0,1.0
2000-02-07,26.75,27.0,26.25,26.63,16.5636,1126800,0.0,1.0
2000-02-08,26.75,26.81,26.13,26.31,16.3645,1073900,0.0,1.0
2000-02-09,26.25,26.44,25.31,25.44,15.8234,1127900,0.0,1.0
2000-02-10,25.0,25.25,24.19,24.5,15.2387,3271100,0.0,1.0
2000-02-11,24.56,24.75,23.75,24.38,15.1641,680900,0.0,1.0
2000-02-14,24.25,24.56,24.06,24.25,15.0832,436300,0.0,1.0
2000-02-15,24.5,24.63,24.19,24.31,15.1206,689700,0.0,1.0
2000-02-16,24.31,24.94,24.31,24.5,15.2387,1297000,0.0,1.0
2000-02-17,24.88,25.13,24.25,24.63,15.3196,562200,0.0,1.0
2000-02-18,24.56,24.69,23.13,23.63,14.6976,529900,0.0,1.0
2000-02-22,23.63,24.5,23.06,23.88,14.8531,966400,0.0,1.0
2000-02-23,23.75,24.13,23.5,23.75,14.7722,1101500,0.0,1.0
2000-02-24,23.63,23.75,22.25,22.75,14.1503,803000,0.0,1.0
2000-02-25,23.5,23.75,22.81,22.88,14.2311,545200,0.0,1.0
2000-02-28,23.19,23.63,23.06,23.06,14.3431,971800,0.0,1.0
2000-02-29,23.13,23.56,22.25,22.38,13.9201,1211500,0.0,1.0
2000-03-01,22.5,23.25,21.75,22.56,14.0321,1397000,0.0,1.0
2000-03-02,22.56,23.06,22.06,22.63,14.0756,1166300,0.0,1.0
2000-03-03,22.56,23.44,22.31,22.56,14.0321,668600,0.0,1.0
2000-03-06,22.31,22.69,22.19,22.44,13.9574,793900,0.0,1.0
2000-03-07,22.44,22.69,22.06,22.06,13.7211,885100,0.0,1.0
2000-03-08,22.13,22.5,21.38,21.75,13.5283,661200,0.0,1.0
2000-03-09,21.38,23.19,21.31,22.75,14.1503,1607800,0.0,1.0
2000-03-10,22.75,23.25,22.63,23.0,14.3058,634300,0.0,1.0
2000-03-13,22.75,22.75,22.25,22.5,13.9948,1183300,0.0,1.0
2000-03-14,22.5,23.5,22.13,22.31,13.8766,1030100,0.0,1.0
2000-03-15,22.75,24.5,22.69,23.88,14.8531,853100,0.0,1.0
2000-03-16,24.5,27.38,24.5,27.19,16.9119,1798200,0.0,1.0
2000-03-17,27.19,27.75,26.13,26.63,16.5636,1410200,0.0,1.0
2000-03-20,26.75,27.0,26.13,26.31,16.3645,720700,0.0,1.0
2000-03-21,26.06,27.75,26.06,27.56,17.142,934700,0.0,1.0
2000-03-22,27.13,27.88,26.88,27.38,17.0301,794500,0.0,1.0
2000-03-23,27.06,29.25,27.06,28.25,17.5712,1290000,0.0,1.0
2000-03-24,28.88,29.94,28.62,29.5,18.3487,754100,0.0,1.0
2000-03-27,29.25,29.56,29.06,29.5,18.3487,1205100,0.0,1.0
2000-03-28,29.44,30.81,29.44,30.0,18.6597,1754800,0.0,1.0
2000-03-29,29.63,30.0,29.56,29.94,18.7903,775000,0.27,1.0
2000-03-30,30.5,33.0,30.31,32.63,20.4785,1717400,0.0,1.0
2000-03-31,32.69,34.31,32.63,34.13,21.4199,2262800,0.0,1.0
2000-04-03,34.0,34.38,33.44,34.0,21.3383,1440600,0.0,1.0
2000-04-04,34.88,35.0,32.81,33.0,20.7107,1644700,0.0,1.0
2000-04-05,33.13,33.5,32.69,32.69,20.5162,754000,0.0,1.0
2000-04-06,32.94,33.0,31.75,32.25,20.24,1125800,0.0,1.0
2000-04-07,33.0,33.13,31.63,31.88,20.0078,626200,0.0,1.0
2000-04-10,32.0,32.31,31.5,32.13,20.1647,512100,0.0,1.0
2000-04-11,31.88,32.44,31.63,32.31,20.2777,557300,0.0,1.0
2000-04-12,33.0,33.25,32.5,32.5,20.3969,1086300,0.0,1.0
2000-04-13,32.75,32.94,32.13,32.88,20.6354,729200,0.0,1.0
2000-04-14,32.25,32.25,29.88,30.0,18.828,756600,0.0,1.0
2000-04-17,31.0,31.0,29.63,30.06,18.8656,996200,0.0,1.0
2000-04-18,30.0,31.0,29.69,30.88,19.3802,622600,0.0,1.0
2000-04-19,30.56,30.63,29.63,29.88,18.7526,678400,0.0,1.0
2000-04-20,29.75,30.88,29.31,30.69,19.261,1593500,0.0,1.0
2000-04-24,30.88,31.25,30.25,31.13,19.5371,1222800,0.0,1.0
2000-04-25,31.13,33.13,31.13,33.0,20.7107,1421500,0.0,1.0
2000-04-26,33.5,33.5,32.5,32.75,20.5538,976300,0.0,1.0
2000-04-27,32.25,33.5,31.63,33.25,20.8676,1988700,0.0,1.0
2000-04-28,33.5,36.38,33.06,35.63,22.3613,1365100,0.0,1.0
2000-05-01,35.69,36.88,34.81,35.25,22.1228,1281500,0.0,1.0
2000-05-02,35.56,35.75,34.88,35.44,22.2421,1008000,0.0,1.0
2000-05-03,35.44,35.5,33.56,33.63,21.1061,567800,0.0,1.0
2000-05-04,33.88,34.31,32.88,33.88,21.263,741800,0.0,1.0
2000-05-05,34.0,34.0,32.75,33.69,21.1438,385500,0.0,1.0
2000-05-08,33.69,34.75,33.63,33.81,21.2191,552700,0.0,1.0
2000-05-09,34.25,34.5,33.44,34.0,21.3383,733000,0.0,1.0
2000-05-10,34.13,34.63,33.5,34.25,21.4952,460700,0.0,1.0
2000-05-11,34.25,35.38,33.63,35.25,22.1228,764000,0.0,1.0
2000-05-12,35.44,35.5,34.5,35.5,22.2797,706000,0.0,1.0
2000-05-15,35.56,37.25,35.5,37.06,23.2588,1472000,0.0,1.0
2000-05-16,37.13,38.13,36.75,37.75,23.6918,1424900,0.0,1.0
2000-05-17,37.75,37.75,36.63,36.75,23.0642,1012400,0.0,1.0
2000-05-18,36.75,37.69,36.75,37.19,23.3404,761900,0.0,1.0
2000-05-19,37.25,37.38,35.88,36.38,22.832,687200,0.0,1.0
2000-05-22,36.63,37.75,36.19,37.63,23.6165,941300,0.0,1.0
2000-05-23,37.5,37.88,36.81,37.81,23.7295,919900,0.0,1.0
2000-05-24,37.63,38.75,37.63,38.5,24.1625,1314600,0.0,1.0
2000-05-25,38.31,38.44,37.25,37.88,23.7734,1094300,0.0,1.0
2000-05-26,37.63,37.63,36.88,37.13,23.3027,669200,0.0,1.0
2000-05-30,37.0,38.19,36.94,37.81,23.7295,626700,0.0,1.0
2000-05-31,37.88,37.88,37.06,37.13,23.3027,860200,0.0,1.0
2000-06-01,37.25,38.56,36.94,38.38,24.0872,1107800,0.0,1.0
2000-06-02,38.63,39.19,38.5,39.19,24.5956,572100,0.0,1.0
2000-06-05,39.0,39.25,38.25,38.75,24.3194,1033800,0.0,1.0
2000-06-06,38.38,38.75,37.94,38.63,24.2441,930900,0.0,1.0
2000-06-07,38.63,39.38,38.63,38.88,24.401,914800,0.0,1.0
2000-06-08,38.0,38.63,37.13,37.88,23.7734,1054300,0.0,1.0
2000-06-09,37.81,38.44,37.81,38.31,24.0433,388100,0.0,1.0
2000-06-12,38.5,38.63,37.25,37.4,23.4722,449200,0.0,1.0
2000-06-13,37.5,38.06,37.31,37.94,23.8111,489900,0.0,1.0
2000-06-14,37.94,37.94,36.94,37.5,23.5349,685200,0.0,1.0
2000-06-15,37.44,37.81,36.56,37.75,23.6918,788700,0.0,1.0
2000-06-16,37.88,38.19,37.19,37.44,23.4973,1792400,0.0,1.0
2000-06-19,36.88,38.69,36.5,37.94,23.8111,902700,0.0,1.0
2000-06-20,37.69,37.69,35.38,35.38,22.2044,855300,0.0,1.0
2000-06-21,35.88,36.06,34.75,34.94,21.9283,683800,0.0,1.0
2000-06-22,35.06,35.13,33.75,34.19,21.4576,1187300,0.0,1.0
2000-06-23,34.69,35.75,34.56,35.0,21.9659,569500,0.0,1.0
2000-06-26,34.75,35.5,34.38,34.94,21.9283,558200,0.0,1.0
2000-06-27,35.13,35.56,34.94,35.06,22.0036,1018900,0.0,1.0
2000-06-28,35.0,36.19,34.88,35.59,22.5057,1245100,0.27,1.0
2000-06-29,35.63,36.5,35.31,36.38,23.0052,749300,0.0,1.0
2000-06-30,36.13,36.13,33.75,34.13,21.5824,969700,0.0,1.0
2000-07-03,34.0,35.0,34.0,34.63,21.8986,376800,0.0,1.0
2000-07-05,34.38,36.0,34.38,35.75,22.6069,837800,0.0,1.0
2000-07-06,36.0,36.13,34.88,35.56,22.4867,435600,0.0,1.0
2000-07-07,35.38,36.56,35.25,36.5,23.0811,380900,0.0,1.0
2000-07-10,36.5,37.06,36.5,36.63,23.1633,380600,0.0,1.0
2000-07-11,37.0,37.25,36.69,37.19,23.5175,492600,0.0,1.0
