,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,62.5,62.5,62.5,62.5,21.5332,1070200,0.0,1.0
2000-01-04,61.13,62.44,59.0,59.94,20.6512,1683500,0.0,1.0
2000-01-05,59.94,60.25,59.0,59.38,20.4583,1952300,0.0,1.0
2000-01-06,58.5,61.81,56.88,61.56,21.2094,3074300,0.0,1.0
2000-01-07,61.56,64.69,60.63,64.0,22.05,1997500,0.0,1.0
2000-01-10,64.0,65.25,63.69,64.63,22.2671,1230100,0.0,1.0
2000-01-11,64.38,64.44,62.94,63.13,21.7503,1105000,0.0,1.0
2000-01-12,63.19,65.5,63.13,64.56,22.2429,1266100,0.0,1.0
2000-01-13,64.19,65.88,64.0,65.25,22.4807,1053200,0.0,1.0
2000-01-14,65.25,65.25,63.0,63.81,21.9845,1520400,0.0,1.0
2000-01-18,63.0,63.44,60.19,62.75,21.6193,2437300,0.0,1.0
2000-01-19,62.38,63.5,60.44,60.69,20.9096,1810600,0.0,1.0
2000-01-20,61.06,61.31,58.06,59.31,20.4342,1920100,0.0,1.0
2000-01-21,59.5,61.0,58.06,60.63,20.8889,2266200,0.0,1.0
2000-01-24,62.5,63.75,59.5,60.0,20.6719,2722200,0.0,1.0
2000-01-25,59.38,59.63,56.0,56.88,19.5969,2589100,0.0,1.0
2000-01-26,56.88,58.0,55.38,57.0,19.6383,2205600,0.0,1.0
2000-01-27,57.0,57.38,54.0,55.19,19.0147,1936900,0.0,1.0
2000-01-28,54.94,55.13,51.5,52.25,18.0018,3582700,0.0,1.0
2000-01-31,52.63,53.75,52.31,52.94,18.2395,2047400,0.0,1.0
2000-02-01,53.5,54.0,52.56,53.69,18.4979,2634800,0.0,1.0
2000-02-02,53.88,54.31,53.19,53.75,18.5186,1532100,0.0,1.0
2000-02-03,54.25,54.38,51.5,52.94,18.2395,2221000,0.0,1.0
2000-02-04,53.0,53.5,50.0,51.38,17.702,3376400,0.0,1.0
2000-02-07,51.19,52.0,50.31,51.19,17.6366,3696200,0.0,1.0
2000-02-08,51.0,51.63,49.94,51.0,17.5711,2409800,0.0,1.0
2000-02-09,51.88,52.56,50.5,50.63,17.4436,2759300,0.0,1.0
2000-02-10,50.75,51.69,49.75,50.13,17.2714,1741800,0.0,1.0
2000-02-11,50.13,51.06,47.56,48.38,16.6684,1994000,0.0,1.0
2000-02-14,48.81,51.5,48.81,50.31,17.3334,2336200,0.0,1.0
2000-02-15,50.63,52.88,49.63,52.44,18.0672,3246000,0.0,1.0
2000-02-16,52.69,53.88,52.0,52.13,18.0293,1933100,0.2,1.0
2000-02-17,54.0,54.63,52.0,54.13,18.721,1993100,0.0,1.0
2000-02-18,54.25,54.5,51.88,52.38,18.1158,1468500,0.0,1.0
2000-02-22,53.63,54.44,51.31,53.5,18.5031,1443900,0.0,1.0
2000-02-23,53.5,54.38,52.75,52.75,18.2438,1819500,0.0,1.0
2000-02-24,52.88,53.13,50.19,50.88,17.597,2425000,0.0,1.0
2000-02-25,50.5,51.13,49.88,50.06,17.3134,2174800,0.0,1.0
2000-02-28,50.75,51.75,50.0,51.06,17.6593,3538800,0.0,1.0
2000-02-29,52.0,52.0,50.5,50.94,17.6178,1620800,0.0,1.0
2000-03-01,50.94,51.13,48.75,50.81,17.5728,1831400,0.0,1.0
2000-03-02,50.75,51.38,49.63,50.81,17.5728,1655800,0.0,1.0
2000-03-03,50.56,52.94,50.0,51.81,17.9187,1598000,0.0,1.0
2000-03-06,52.31,52.69,49.25,50.0,17.2927,1653100,0.0,1.0
2000-03-07,50.13,51.56,48.75,50.5,17.4656,1660800,0.0,1.0
2000-03-08,50.5,50.5,49.0,49.25,17.0333,1670700,0.0,1.0
2000-03-09,48.5,49.0,46.5,48.06,16.6217,2221100,0.0,1.0
2000-03-10,47.81,49.5,46.94,48.88,16.9053,2015800,0.0,1.0
2000-03-13,48.5,49.44,48.19,49.0,16.9468,1488900,0.0,1.0
2000-03-14,49.56,50.63,49.56,49.94,17.2719,2409500,0.0,1.0
2000-03-15,50.06,55.5,49.38,53.88,18.6346,3096800,0.0,1.0
2000-03-16,54.88,57.94,54.25,57.0,19.7136,3333200,0.0,1.0
2000-03-17,56.0,58.38,54.19,54.63,18.894,2693700,0.0,1.0
2000-03-20,54.63,57.81,53.94,56.13,19.4127,1754100,0.0,1.0
2000-03-21,55.75,57.81,55.25,56.75,19.6272,1721000,0.0,1.0
2000-03-22,57.5,58.25,55.38,55.81,19.3021,2630500,0.0,1.0
2000-03-23,55.88,58.38,55.0,58.38,20.1909,1749800,0.0,1.0
2000-03-24,57.5,59.0,56.5,57.06,19.7344,1649100,0.0,1.0
2000-03-27,58.88,58.88,57.0,57.44,19.8658,1489800,0.0,1.0
2000-03-28,57.0,58.25,57.0,57.81,19.9938,1204400,0.0,1.0
2000-03-29,57.38,58.25,56.31,57.63,19.9315,1150600,0.0,1.0
2000-03-30,57.5,62.0,57.5,61.38,21.2285,2079700,0.0,1.0
2000-03-31,60.0,64.5,59.75,63.19,21.8545,2788700,0.0,1.0
2000-04-03,63.19,63.88,59.75,61.88,21.4014,2141200,0.0,1.0
2000-04-04,63.0,63.88,59.56,63.19,21.8545,1552000,0.0,1.0
2000-04-05,62.25,62.75,60.5,61.0,21.097,1359600,0.0,1.0
2000-04-06,61.06,62.63,60.75,61.5,21.27,1157100,0.0,1.0
2000-04-07,61.5,61.88,60.0,60.94,21.0763,1233100,0.0,1.0
2000-04-10,60.94,64.0,60.75,64.0,22.1346,1832600,0.0,1.0
2000-04-11,62.88,65.75,62.69,64.25,22.2211,2288500,0.0,1.0
2000-04-12,64.13,65.25,64.13,64.25,22.2211,2377600,0.0,1.0
2000-04-13,64.13,64.69,60.81,60.88,21.0555,2370700,0.0,1.0
2000-04-14,57.13,59.0,56.06,56.25,19.4542,2530800,0.0,1.0
2000-04-17,58.0,59.69,57.63,59.56,20.599,1390500,0.0,1.0
2000-04-18,58.75,60.38,56.81,58.06,20.0802,1350400,0.0,1.0
2000-04-19,59.13,62.44,58.75,61.13,21.142,1513700,0.0,1.0
2000-04-20,60.0,64.63,59.88,64.06,22.1554,2239000,0.0,1.0
2000-04-24,65.0,66.13,64.0,64.88,22.439,2592800,0.0,1.0
2000-04-25,65.0,65.69,63.31,64.56,22.3283,1655500,0.0,1.0
2000-04-26,64.19,64.5,60.63,60.63,20.9691,1864600,0.0,1.0
2000-04-27,60.5,62.81,60.0,62.0,21.4429,1144900,0.0,1.0
2000-04-28,62.0,62.88,60.75,62.19,21.5086,697600,0.0,1.0
2000-05-01,61.44,63.63,61.0,62.0,21.4429,1153900,0.0,1.0
2000-05-02,62.44,63.88,61.56,62.75,21.7023,1505000,0.0,1.0
2000-05-03,61.25,62.19,60.56,61.31,21.2043,769200,0.0,1.0
2000-05-04,61.44,62.25,60.0,61.75,21.3564,1611500,0.0,1.0
2000-05-05,62.0,65.94,61.63,65.31,22.5877,1693100,0.0,1.0
2000-05-08,65.06,66.94,61.94,62.25,21.5294,1888700,0.0,1.0
2000-05-09,62.38,63.5,61.56,62.5,21.6158,1204200,0.0,1.0
2000-05-10,62.94,63.5,59.0,59.75,20.6647,2153100,0.0,1.0
2000-05-11,61.63,64.5,61.38,63.5,21.9617,1312700,0.0,1.0
2000-05-12,63.63,64.88,62.88,64.25,22.2211,1210200,0.0,1.0
2000-05-15,63.5,65.0,63.5,64.06,22.1554,1138900,0.0,1.0
2000-05-16,64.88,66.44,64.31,66.19,22.892,1089100,0.0,1.0
2000-05-17,65.75,65.75,64.63,65.19,22.6153,1082600,0.2,1.0
2000-05-18,64.94,65.88,64.38,64.89,22.5113,924000,0.0,1.0
2000-05-19,63.5,63.88,61.63,62.38,21.6405,1080500,0.0,1.0
2000-05-22,63.0,63.0,61.63,61.94,21.4879,1726800,0.0,1.0
2000-05-23,62.44,62.44,60.44,60.81,21.0959,1615400,0.0,1.0
2000-05-24,61.88,61.88,59.0,59.88,20.7732,2363400,0.0,1.0
2000-05-25,59.88,59.88,58.44,59.38,20.5998,1858400,0.0,1.0
2000-05-26,60.13,60.13,58.38,58.94,20.4471,839400,0.0,1.0
2000-05-30,58.69,59.56,57.75,59.0,20.4679,1773500,0.0,1.0
2000-05-31,58.94,60.13,58.69,59.44,20.6206,1418400,0.0,1.0
2000-06-01,59.0,61.88,58.06,61.69,21.4011,1639300,0.0,1.0
2000-06-02,62.81,64.88,62.63,63.13,21.9007,1564700,0.0,1.0
2000-06-05,61.13,61.56,59.75,60.75,21.075,1223900,0.0,1.0
2000-06-06,60.75,61.94,60.13,61.56,21.356,943500,0.0,1.0
2000-06-07,61.63,62.25,59.88,60.0,20.8149,968100,0.0,1.0
2000-06-08,58.0,58.25,56.0,56.94,19.7533,3592300,0.0,1.0
2000-06-09,57.5,59.31,57.38,58.69,20.3604,1928000,0.0,1.0
2000-06-12,58.75,59.13,58.25,58.27,20.2147,882400,0.0,1.0
2000-06-13,58.75,58.81,57.0,57.19,19.84,1342800,0.0,1.0
2000-06-14,58.0,60.25,58.0,59.75,20.7281,1613600,0.0,1.0
2000-06-15,59.81,61.75,58.94,59.63,20.6865,1087800,0.0,1.0
2000-06-16,59.13,60.25,58.19,58.88,20.4263,1806400,0.0,1.0
2000-06-19,59.25,59.31,56.31,57.38,19.9059,2140900,0.0,1.0
2000-06-20,57.0,57.13,55.13,55.63,19.2988,2726100,0.0,1.0
2000-06-21,57.13,57.44,55.38,56.88,19.7325,1393500,0.0,1.0
2000-06-22,58.0,58.0,55.63,56.5,19.6007,1320100,0.0,1.0
2000-06-23,56.5,57.25,55.81,57.06,19.7949,775900,0.0,1.0
2000-06-26,57.75,58.0,56.5,57.06,19.7949,750000,0.0,1.0
2000-06-27,57.0,58.13,56.31,56.5,19.6007,1517800,0.0,1.0
2000-06-28,56.5,57.69,56.19,56.73,19.6804,1284100,0.0,1.0
2000-06-29,56.06,56.13,54.19,54.5,18.9068,1736200,0.0,1.0
2000-06-30,54.94,58.98,54.0,58.88,20.4263,2536100,0.0,1.0
2000-07-03,57.5,57.56,55.38,56.69,19.6666,848300,0.0,1.0
