,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2000-01-03,68.38,69.0,65.5,66.81,47.8754,8369900,0.0,1.0
2000-01-04,65.5,65.81,64.19,64.31,46.0839,6745100,0.0,1.0
2000-01-05,63.88,64.38,62.19,62.81,45.009,7018700,0.0,1.0
2000-01-06,63.0,64.56,62.69,63.69,45.6396,6544500,0.0,1.0
2000-01-07,64.5,68.94,64.5,68.5,49.0864,7976900,0.0,1.0
2000-01-10,67.25,67.5,65.63,67.25,48.1907,6714300,0.0,1.0
2000-01-11,67.06,67.75,65.63,66.25,47.4741,4943300,0.0,1.0
2000-01-12,66.19,66.75,65.06,65.06,46.6214,4085000,0.0,1.0
2000-01-13,66.0,66.13,65.0,65.13,46.6715,5021000,0.0,1.0
2000-01-14,64.0,65.94,64.0,64.5,46.2201,6312200,0.0,1.0
2000-01-18,63.19,66.44,63.06,65.56,46.9797,6442200,0.0,1.0
2000-01-19,65.25,65.81,64.0,64.06,45.9048,4819900,0.0,1.0
2000-01-20,64.44,64.5,62.5,63.38,45.4175,5738100,0.0,1.0
2000-01-21,63.94,63.94,62.06,62.44,44.7439,6952500,0.0,1.0
2000-01-24,63.44,63.44,57.5,59.38,42.5511,7799900,0.0,1.0
2000-01-25,59.81,61.19,59.5,61.13,43.8052,6403800,0.0,1.0
2000-01-26,61.13,62.06,60.0,61.94,44.3856,4538400,0.0,1.0
2000-01-27,61.31,61.5,57.88,59.13,42.372,7323300,0.0,1.0
2000-01-28,58.88,58.88,53.5,55.13,39.5056,14029400,0.0,1.0
2000-01-31,54.56,55.5,54.13,54.75,39.2333,7972700,0.0,1.0
2000-02-01,55.0,59.5,54.94,58.69,42.0567,8359000,0.0,1.0
2000-02-02,58.88,59.69,57.94,58.38,41.8345,6034600,0.0,1.0
2000-02-03,58.38,58.81,56.25,58.38,41.8345,6999000,0.0,1.0
2000-02-04,57.94,57.94,56.0,56.31,40.3512,6549700,0.0,1.0
2000-02-07,56.63,56.63,54.63,55.75,39.9499,6043700,0.0,1.0
2000-02-08,57.31,59.69,56.88,59.5,42.6371,8576100,0.0,1.0
2000-02-09,60.0,60.13,57.31,57.81,41.4261,8216600,0.0,1.0
2000-02-10,57.63,58.38,56.81,57.0,40.8457,4591600,0.0,1.0
2000-02-11,57.44,57.5,55.63,56.06,40.1721,4816700,0.0,1.0
2000-02-14,56.69,58.88,56.5,58.88,42.1928,5803600,0.0,1.0
2000-02-15,56.94,58.0,55.0,58.0,41.5622,9712100,0.0,1.0
2000-02-16,56.5,56.5,52.69,52.75,37.8001,13585800,0.0,1.0
2000-02-17,52.94,53.5,48.0,48.38,34.6686,24766700,0.0,1.0
2000-02-18,48.5,49.5,47.25,47.75,34.2172,19394400,0.0,1.0
2000-02-22,49.25,49.31,46.75,48.13,34.4895,12342600,0.0,1.0
2000-02-23,48.44,48.5,46.75,47.0,33.6797,12874400,0.0,1.0
2000-02-24,47.0,47.88,43.44,47.88,34.3103,19431900,0.0,1.0
2000-02-25,44.31,45.31,43.63,44.5,31.8883,16908500,0.0,1.0
2000-02-28,44.56,46.94,44.56,46.19,33.0993,17836100,0.0,1.0
2000-02-29,47.94,49.75,47.94,48.75,34.9338,17197200,0.0,1.0
2000-03-01,49.88,50.0,47.5,49.0,35.1129,10165800,0.0,1.0
2000-03-02,52.75,52.88,50.44,50.56,36.2308,15542700,0.0,1.0
2000-03-03,52.13,53.31,51.5,52.63,37.7142,10790800,0.0,1.0
2000-03-06,52.63,52.69,48.63,50.5,36.1878,10493600,0.0,1.0
2000-03-07,49.63,49.63,47.13,47.56,34.081,9724700,0.0,1.0
2000-03-08,47.31,49.31,45.63,48.31,34.6185,10018700,0.0,1.0
2000-03-09,49.0,49.44,46.88,48.94,35.0699,7944900,0.0,1.0
2000-03-10,49.75,49.75,47.44,47.94,34.3533,7005500,0.0,1.0
2000-03-13,46.25,47.94,45.88,47.69,34.1742,7727900,0.0,1.0
2000-03-14,47.0,48.81,46.31,47.75,34.2172,9985000,0.0,1.0
